id,departure_airport_id,arrival_airport_id,departure_time,arrival_time,airline,flight_no,price,number_of_stops,is_first_flight,second_flight_destination,second_flight_no,original_price,origin_code,shortcut,pure_date,cheapest_price,epic,month,new,created_at,updated_at
17740066,45,145,2014-11-12 20:55:00,2014-11-12 22:00:00,American Airlines,3143,18760,1,t,158,2817,31810,ATL,t,11/12/2014,10210,,November,t,2014-08-17 02:17:45.434845,2014-08-17 02:20:40.023172
17671574,45,718,2014-10-21 08:45:00,2014-10-21 11:00:00,Delta Air Lines,1086,19084,1,t,372,4880,21610,ATL,t,10/21/2014,14010,,October,t,2014-08-17 00:52:44.316991,2014-08-17 00:54:49.818952
17732519,45,809,2014-11-10 14:50:00,2014-11-10 16:53:00,American Airlines,4377,19760,1,t,458,4856,33710,ATL,t,11/10/2014,16060,,November,t,2014-08-17 02:08:45.904068,2014-08-17 02:12:23.902602
17622728,45,719,2014-10-06 12:11:00,2014-10-06 14:29:00,United,485,13360,1,t,817,4908,24910,ATL,t,10/06/2014,14160,,October,t,2014-08-16 23:56:26.951925,2014-08-16 23:59:16.013435
17745469,45,1026,2014-11-14 06:40:00,2014-11-14 08:46:00,Air Canada,8618,22830,1,t,223,177,30060,ATL,t,11/14/2014,24344,,November,t,2014-08-17 02:24:28.141031,2014-08-17 02:28:37.977871
17624222,45,1026,2014-10-06 11:35:00,2014-10-06 13:41:00,United,8107,21526,1,t,372,8708,30060,ATL,t,10/06/2014,28760,t,October,t,2014-08-16 23:57:35.274307,2014-08-16 23:59:16.038205
17624225,45,1026,2014-10-06 19:30:00,2014-10-06 21:36:00,United,8111,21526,1,t,372,8270,30060,ATL,t,10/06/2014,28760,t,October,t,2014-08-16 23:57:35.288224,2014-08-16 23:59:16.053596
17624223,45,1026,2014-10-06 17:05:00,2014-10-06 19:11:00,United,8109,21526,1,t,372,8442,30060,ATL,t,10/06/2014,28760,t,October,t,2014-08-16 23:57:35.278786,2014-08-16 23:59:16.071537
17648198,45,526,2014-10-14 10:30:00,2014-10-14 11:40:00,AirTran Airways,14,14660,1,t,144,5057,19110,ATL,t,10/14/2014,10560,,October,t,2014-08-17 00:26:06.696794,2014-08-17 00:29:08.918219
17713949,45,174,2014-11-04 13:45:00,2014-11-04 15:00:00,American Airlines,1473,13160,1,t,435,2466,37710,ATL,t,11/04/2014,11210,,November,t,2014-08-17 01:45:41.007987,2014-08-17 01:48:59.361536
17553722,45,137,2014-09-14 10:40:00,2014-09-14 11:57:00,US Airways,657,11910,1,t,284,4167,32210,ATL,t,09/14/2014,18060,t,September,t,2014-08-16 22:31:21.704467,2014-08-16 22:33:09.758614
17552354,45,145,2014-09-14 20:08:00,2014-09-14 21:17:00,United,5566,17860,1,t,435,3448,31810,ATL,t,09/14/2014,18560,,September,t,2014-08-16 22:29:47.793044,2014-08-16 22:33:09.790642
17713946,45,145,2014-11-04 18:00:00,2014-11-04 19:04:00,United,5180,12260,1,t,435,3448,31810,ATL,t,11/04/2014,6210,,November,t,2014-08-17 01:45:40.990759,2014-08-17 01:48:59.447444
17700376,45,145,2014-10-30 15:55:00,2014-10-30 16:55:00,American Airlines,4236,23560,1,t,355,2808,31810,ATL,t,10/30/2014,7209,,October,t,2014-08-17 01:28:28.664632,2014-08-17 01:30:01.358061
17713947,45,145,2014-11-04 19:55:00,2014-11-04 21:00:00,United,5566,12260,1,t,435,3448,31810,ATL,t,11/04/2014,6210,,November,t,2014-08-17 01:45:40.996765,2014-08-17 01:48:59.926766
17552364,45,145,2014-09-14 09:30:00,2014-09-14 10:28:00,US Airways,8489,19760,1,t,435,3600,31810,ATL,t,09/14/2014,18560,,September,t,2014-08-16 22:29:47.838871,2014-08-16 22:33:09.805906
17552372,45,145,2014-09-14 19:35:00,2014-09-14 20:41:00,US Airways,8006,22760,1,t,435,8478,32810,ATL,t,09/14/2014,18560,,September,t,2014-08-16 22:29:47.878157,2014-08-16 22:33:09.815253
17552747,45,809,2014-09-14 19:45:00,2014-09-14 21:45:00,US Airways,2014,13360,1,t,817,3456,20510,ATL,t,09/14/2014,15210,,September,t,2014-08-16 22:30:18.693458,2014-08-16 22:33:09.822905
17586506,45,1026,2014-09-24 11:35:00,2014-09-24 13:41:00,United,8107,21526,1,t,372,8708,30060,ATL,t,09/24/2014,23591,t,September,t,2014-08-16 23:10:23.350059,2014-08-16 23:12:20.862734
17586510,45,1026,2014-09-24 19:30:00,2014-09-24 21:36:00,United,8111,21526,1,t,372,8270,30060,ATL,t,09/24/2014,23591,t,September,t,2014-08-16 23:10:23.368936,2014-08-16 23:12:20.878018
17586507,45,1026,2014-09-24 17:05:00,2014-09-24 19:11:00,United,8109,21526,1,t,372,8442,30060,ATL,t,09/24/2014,23591,t,September,t,2014-08-16 23:10:23.354577,2014-08-16 23:12:20.886006
17678860,45,1026,2014-10-24 06:00:00,2014-10-24 08:06:00,Air Canada,8618,22830,1,t,223,175,30060,ATL,t,10/24/2014,23591,,October,t,2014-08-17 01:02:46.209162,2014-08-17 01:06:48.110179
17576656,45,809,2014-09-21 08:30:00,2014-09-21 10:30:00,US Airways,613,15360,1,t,899,3359,20510,ATL,t,09/21/2014,15210,,September,t,2014-08-16 22:58:42.368773,2014-08-16 23:00:15.003592
17682008,45,174,2014-10-25 07:10:00,2014-10-25 08:30:00,US Airways,1521,18010,1,t,114,1037,52510,ATL,t,10/25/2014,11210,,October,t,2014-08-17 01:07:08.891478,2014-08-17 01:10:37.329328
17643113,45,1026,2014-10-12 11:35:00,2014-10-12 13:41:00,Air Canada,8620,19806,1,t,780,460,30060,ATL,t,10/12/2014,28760,t,October,t,2014-08-17 00:20:03.14312,2014-08-17 00:21:35.391669
17581857,45,137,2014-09-23 17:15:00,2014-09-23 18:31:00,American Airlines,5403,19210,1,t,660,1919,32210,ATL,t,09/23/2014,13860,,September,t,2014-08-16 23:05:08.843133,2014-08-16 23:08:13.148823
17643114,45,1026,2014-10-12 17:10:00,2014-10-12 19:16:00,Air Canada,8624,19806,1,t,780,470,30060,ATL,t,10/12/2014,28760,t,October,t,2014-08-17 00:20:03.149847,2014-08-17 00:21:34.742443
17643109,45,1026,2014-10-12 06:00:00,2014-10-12 08:06:00,Air Canada,8618,19806,1,t,780,446,30060,ATL,t,10/12/2014,28760,t,October,t,2014-08-17 00:20:03.122224,2014-08-17 00:21:34.750761
17498402,45,809,2014-08-27 12:40:00,2014-08-27 14:45:00,US Airways,2044,14160,1,t,899,854,33710,ATL,t,08/27/2014,18460,t,August,t,2014-08-16 21:15:44.921662,2014-08-16 21:17:25.205673
17475702,45,410,2014-08-20 18:01:00,2014-08-20 19:15:00,United,3917,14410,1,t,366,4582,36410,ATL,t,08/20/2014,19210,t,August,t,2014-08-16 20:46:10.146178,2014-08-16 20:48:18.019141
17608246,45,137,2014-10-01 07:00:00,2014-10-01 08:11:00,US Airways,461,11910,1,t,284,3832,32210,ATL,t,10/01/2014,13860,,October,t,2014-08-16 23:37:38.753623,2014-08-16 23:39:46.752124
17611915,45,809,2014-10-02 10:50:00,2014-10-02 12:47:00,American Airlines,1847,31060,1,t,461,4803,33710,ATL,t,10/02/2014,14160,,October,t,2014-08-16 23:41:49.063911,2014-08-16 23:43:28.147215
17643115,45,1026,2014-10-12 19:30:00,2014-10-12 21:36:00,Air Canada,8628,19806,1,t,780,472,30060,ATL,t,10/12/2014,28760,t,October,t,2014-08-17 00:20:03.154964,2014-08-17 00:21:34.758797
17682011,45,811,2014-10-25 07:55:00,2014-10-25 09:11:00,US Airways,435,18010,1,t,114,605,20610,ATL,t,10/25/2014,15860,,October,t,2014-08-17 01:07:08.90826,2014-08-17 01:10:37.42837
17741470,45,718,2014-11-12 14:45:00,2014-11-12 17:00:00,Delta Air Lines,1786,19084,1,t,372,5387,21610,ATL,t,11/12/2014,14010,,November,t,2014-08-17 02:18:54.298297,2014-08-17 02:20:40.083698
17675653,45,145,2014-10-23 15:55:00,2014-10-23 16:55:00,American Airlines,4236,19160,1,t,947,1377,31810,ATL,t,10/23/2014,8210,,October,t,2014-08-17 00:58:26.407163,2014-08-17 01:02:39.549518
