id,departure_airport_id,arrival_airport_id,departure_time,arrival_time,airline,flight_no,price,number_of_stops,is_first_flight,second_flight_destination,second_flight_no,original_price,origin_code,shortcut,pure_date,cheapest_price,epic,month,new,created_at,updated_at
25101454,92,145,2014-11-08 08:00:00,2014-11-08 09:45:00,American Airlines,1323,14160,1,t,759,3246,17610,BOS,t,11/08/2014,7809,,November,t,2014-08-17 11:23:55.042508,2014-08-17 11:24:47.426638
25004647,92,660,2014-10-05 11:05:00,2014-10-05 14:29:00,American Airlines,1509,12060,1,t,774,2312,27110,BOS,t,10/05/2014,15060,t,October,t,2014-08-17 09:24:48.737925,2014-08-17 09:26:59.363395
25004919,92,410,2014-10-05 08:30:00,2014-10-05 11:36:00,United,330,16810,1,t,716,1283,38810,BOS,t,10/05/2014,14860,,October,t,2014-08-17 09:25:02.17571,2014-08-17 09:26:59.370985
25004001,92,809,2014-10-05 07:30:00,2014-10-05 09:05:00,American Airlines,1793,13660,1,t,137,73,16910,BOS,t,10/05/2014,5410,,October,t,2014-08-17 09:24:10.724045,2014-08-17 09:26:59.378113
25003693,92,174,2014-10-05 09:25:00,2014-10-05 12:40:00,US Airways,1027,32169,1,t,118,1211,39810,BOS,t,10/05/2014,12710,,October,t,2014-08-17 09:23:55.210702,2014-08-17 09:26:59.385287
24937964,92,174,2014-09-11 07:00:00,2014-09-11 10:20:00,American Airlines,1651,10060,1,t,410,1415,15810,BOS,t,09/11/2014,12710,t,September,t,2014-08-17 08:02:01.30921,2014-08-17 08:03:56.502897
24939159,92,174,2014-09-11 17:35:00,2014-09-11 20:50:00,American Airlines,1124,14160,1,t,759,2274,17810,BOS,t,09/11/2014,12710,,September,t,2014-08-17 08:02:55.750613,2014-08-17 08:03:56.513097
24936417,92,174,2014-09-11 18:45:00,2014-09-11 21:50:00,American Airlines,1506,16160,1,t,188,1069,20810,BOS,t,09/11/2014,12710,,September,t,2014-08-17 08:00:44.494531,2014-08-17 08:03:56.529686
24937056,92,45,2014-09-11 13:30:00,2014-09-11 16:16:00,Delta Air Lines,981,9760,1,t,1156,856,16410,BOS,t,09/11/2014,14510,t,September,t,2014-08-17 08:01:15.180665,2014-08-17 08:03:56.544277
24977701,92,174,2014-09-25 07:00:00,2014-09-25 10:20:00,American Airlines,1651,10060,1,t,411,1071,15810,BOS,t,09/25/2014,12710,t,September,t,2014-08-17 08:52:44.981543,2014-08-17 08:54:09.549452
24977148,92,174,2014-09-25 13:25:00,2014-09-25 16:30:00,American Airlines,2251,14860,1,t,410,1622,17810,BOS,t,09/25/2014,12710,,September,t,2014-08-17 08:52:06.411356,2014-08-17 08:54:09.559825
24977705,92,174,2014-09-25 17:35:00,2014-09-25 20:50:00,American Airlines,1124,14860,1,t,411,330,17810,BOS,t,09/25/2014,12710,,September,t,2014-08-17 08:52:45.003057,2014-08-17 08:54:09.574644
24976922,92,45,2014-09-25 07:15:00,2014-09-25 10:11:00,Delta Air Lines,1501,10160,1,t,294,1826,20410,BOS,t,09/25/2014,14660,t,September,t,2014-08-17 08:51:56.235134,2014-08-17 08:54:09.581997
24897634,92,718,2014-08-28 06:00:00,2014-08-28 07:14:00,American Airlines,2133,17260,1,t,474,3422,26710,BOS,t,08/28/2014,15160,,August,t,2014-08-17 07:11:43.921105,2014-08-17 07:14:47.787995
24905320,92,137,2014-08-30 05:00:00,2014-08-30 07:05:00,US Airways,1980,12760,1,t,708,852,16310,BOS,t,08/30/2014,14160,,August,t,2014-08-17 07:21:44.823134,2014-08-17 07:22:38.105214
24905323,92,137,2014-08-30 06:10:00,2014-08-30 08:29:00,US Airways,535,12760,1,t,708,858,16310,BOS,t,08/30/2014,14160,,August,t,2014-08-17 07:21:44.838474,2014-08-17 07:22:38.120365
