id,departure_airport_id,arrival_airport_id,departure_time,arrival_time,airline,flight_no,price,number_of_stops,is_first_flight,second_flight_destination,second_flight_no,original_price,origin_code,shortcut,pure_date,cheapest_price,epic,month,new,created_at,updated_at
18712435,54,174,2014-10-15 19:10:00,2014-10-15 21:30:00,US Airways,1106,21260,1,t,236,1053,24010,BWI,t,10/15/2014,11710,,October,f,2014-08-16 18:59:04.038884,2014-08-17 16:01:05.072679
18712431,54,188,2014-10-15 16:08:00,2014-10-15 18:02:00,United,1032,18160,1,t,236,6037,21410,BWI,t,10/15/2014,15560,,October,f,2014-08-16 18:59:04.017351,2014-08-17 16:01:05.090306
18718041,54,174,2014-10-17 16:00:00,2014-10-17 18:25:00,US Airways,140,25360,1,t,606,1568,30810,BWI,t,10/17/2014,13710,,October,f,2014-08-16 19:07:20.147959,2014-08-17 16:01:05.113277
18718027,54,145,2014-10-17 06:00:00,2014-10-17 07:05:00,American Airlines,4345,14160,1,t,606,2829,20610,BWI,t,10/17/2014,13710,,October,f,2014-08-16 19:07:20.048001,2014-08-17 16:01:05.13361
18730505,54,918,2014-10-23 16:40:00,2014-10-23 19:23:00,Delta Air Lines,1189,19160,1,t,924,5713,23710,BWI,t,10/23/2014,22360,t,October,f,2014-08-16 19:24:10.252181,2014-08-17 16:01:05.147266
18730496,54,811,2014-10-23 19:59:00,2014-10-23 21:48:00,US Airways,1853,17760,1,t,924,426,29110,BWI,t,10/23/2014,22260,t,October,f,2014-08-16 19:24:10.205836,2014-08-17 16:01:05.172481
18677373,54,45,2014-09-27 07:35:00,2014-09-27 09:30:00,AirTran Airways,1111,10260,1,t,993,5844,16110,BWI,t,09/27/2014,14160,t,September,f,2014-08-16 18:08:15.566326,2014-08-17 16:01:05.198599
18677372,54,45,2014-09-27 06:25:00,2014-09-27 08:15:00,AirTran Airways,196,10260,1,t,993,5844,16110,BWI,t,09/27/2014,14160,t,September,f,2014-08-16 18:08:15.558551,2014-08-17 16:01:05.21807
18790674,54,137,2014-08-25 13:50:00,2014-08-25 15:15:00,US Airways,1745,10410,1,t,660,761,17710,BWI,t,08/25/2014,13160,t,August,t,2014-08-17 16:35:50.617958,2014-08-17 16:40:01.750406
18770236,54,45,2014-11-12 10:15:00,2014-11-12 12:10:00,Delta Air Lines,1925,10160,1,t,294,1826,16110,BWI,t,11/12/2014,14160,t,November,f,2014-08-16 20:20:35.338147,2014-08-17 16:01:06.038383
18770241,54,45,2014-11-12 11:10:00,2014-11-12 13:03:00,Delta Air Lines,2025,10160,1,t,294,1626,16110,BWI,t,11/12/2014,14160,t,November,f,2014-08-16 20:20:35.363317,2014-08-17 16:01:06.053209
18770244,54,45,2014-11-12 12:45:00,2014-11-12 14:40:00,Delta Air Lines,2125,10160,1,t,294,1527,16110,BWI,t,11/12/2014,14160,t,November,f,2014-08-16 20:20:35.379155,2014-08-17 16:01:06.067664
18770204,54,190,2014-11-12 13:00:00,2014-11-12 14:36:00,Delta Air Lines,1536,8660,1,t,92,1622,11410,BWI,t,11/12/2014,11410,t,November,f,2014-08-16 20:20:32.205401,2014-08-17 16:01:06.085772
18770391,54,45,2014-11-12 14:00:00,2014-11-12 15:55:00,Delta Air Lines,1495,10410,1,t,708,337,16110,BWI,t,11/12/2014,14160,t,November,f,2014-08-16 20:20:42.315058,2014-08-17 16:01:06.106451
18770523,54,665,2014-11-12 14:45:00,2014-11-12 16:20:00,Delta Air Lines,1451,12560,1,t,663,927,50210,BWI,t,11/12/2014,13160,,November,f,2014-08-16 20:20:52.179393,2014-08-17 16:01:06.118646
18770551,54,45,2014-11-12 15:15:00,2014-11-12 17:10:00,Delta Air Lines,2325,10360,1,t,282,1766,16110,BWI,t,11/12/2014,14160,t,November,f,2014-08-16 20:20:53.182286,2014-08-17 16:01:06.138481
18770552,54,45,2014-11-12 16:30:00,2014-11-12 18:20:00,Delta Air Lines,1425,10360,1,t,282,1766,16110,BWI,t,11/12/2014,14160,t,November,f,2014-08-16 20:20:53.187733,2014-08-17 16:01:06.152462
18823750,54,174,2014-09-10 14:15:00,2014-09-10 16:35:00,US Airways,1368,18869,1,t,118,1211,47510,BWI,t,09/10/2014,11710,,September,t,2014-08-17 17:46:47.962699,2014-08-17 17:50:11.861479
18769852,54,918,2014-11-12 16:45:00,2014-11-12 19:25:00,Delta Air Lines,1189,15160,1,t,590,779,23710,BWI,t,11/12/2014,22360,t,November,f,2014-08-16 20:20:12.653105,2014-08-17 16:01:06.170169
18770526,54,665,2014-11-12 16:55:00,2014-11-12 18:30:00,Delta Air Lines,917,12560,1,t,663,2336,50210,BWI,t,11/12/2014,13160,,November,f,2014-08-16 20:20:52.201264,2014-08-17 16:01:06.185811
18817466,54,145,2014-09-07 05:50:00,2014-09-07 06:58:00,US Airways,8496,11260,1,t,137,2890,18010,BWI,t,09/07/2014,13710,t,September,t,2014-08-17 17:34:10.297746,2014-08-17 17:37:31.618792
18783821,54,719,2014-08-21 18:58:00,2014-08-21 20:20:00,United,4811,13160,1,t,107,3894,34010,BWI,t,08/21/2014,32060,t,August,t,2014-08-17 16:18:50.266961,2014-08-17 16:21:41.775978
18811346,54,174,2014-09-04 07:00:00,2014-09-04 09:20:00,US Airways,1373,17060,1,t,61,3613,47510,BWI,t,09/04/2014,12210,,September,t,2014-08-17 17:19:23.581178,2014-08-17 17:24:16.280067
18811349,54,174,2014-09-04 08:35:00,2014-09-04 10:55:00,US Airways,1077,17060,1,t,61,3039,47510,BWI,t,09/04/2014,12210,,September,t,2014-08-17 17:19:23.634425,2014-08-17 17:24:16.306081
18790675,54,137,2014-08-25 15:35:00,2014-08-25 17:04:00,US Airways,1767,10410,1,t,660,761,17710,BWI,t,08/25/2014,13160,t,August,t,2014-08-17 16:35:50.65218,2014-08-17 16:40:01.772101
18790676,54,137,2014-08-25 17:15:00,2014-08-25 18:41:00,US Airways,1871,10410,1,t,660,1919,17710,BWI,t,08/25/2014,13160,t,August,t,2014-08-17 16:35:50.673371,2014-08-17 16:40:01.791054
18790677,54,717,2014-08-25 07:06:00,2014-08-25 08:20:00,Delta Air Lines,6052,10560,1,t,660,441,38310,BWI,t,08/25/2014,22560,t,August,t,2014-08-17 16:35:50.689499,2014-08-17 16:40:01.822659
18801769,54,145,2014-08-30 12:15:00,2014-08-30 13:25:00,American Airlines,3058,14160,1,t,606,2929,28510,BWI,t,08/30/2014,10710,,August,t,2014-08-17 16:57:39.229778,2014-08-17 17:00:55.966478
18801771,54,174,2014-08-30 16:00:00,2014-08-30 18:25:00,American Airlines,140,14160,1,t,606,1568,36310,BWI,t,08/30/2014,14010,,August,t,2014-08-17 16:57:39.256309,2014-08-17 17:00:56.608552
18828951,54,145,2014-09-12 18:10:00,2014-09-12 19:24:00,American Airlines,3035,18660,1,t,49,1398,24610,BWI,t,09/12/2014,11710,,September,t,2014-08-17 17:56:26.740385,2014-08-17 17:57:59.934997
18832478,54,717,2014-09-14 18:12:00,2014-09-14 19:40:00,Delta Air Lines,6053,22760,1,t,107,2885,27710,BWI,t,09/14/2014,26560,t,September,t,2014-08-17 18:03:57.15804,2014-08-17 18:07:00.555032
18832470,54,145,2014-09-14 17:31:00,2014-09-14 18:38:00,United,1003,10360,1,t,107,246,16010,BWI,t,09/14/2014,13710,t,September,t,2014-08-17 18:03:57.035808,2014-08-17 18:06:59.812916
18735058,54,717,2014-10-26 14:55:00,2014-10-26 16:15:00,US Airways,6360,13160,1,t,137,1919,27710,BWI,t,10/26/2014,17560,t,October,f,2014-08-16 19:32:25.415233,2014-08-17 16:01:05.423686
18740990,54,918,2014-10-29 07:40:00,2014-10-29 10:24:00,Delta Air Lines,2560,15160,1,t,590,1683,23710,BWI,t,10/29/2014,22360,t,October,f,2014-08-16 19:40:56.208228,2014-08-17 16:01:05.439927
18730540,54,924,2014-10-23 06:15:00,2014-10-23 09:09:00,United,753,19760,1,t,766,5336,23710,BWI,t,10/23/2014,17610,,October,f,2014-08-16 19:24:14.608609,2014-08-17 16:01:05.465214
18700808,54,145,2014-10-09 18:10:00,2014-10-09 19:24:00,US Airways,6365,11260,1,t,137,759,34510,BWI,t,10/09/2014,13710,t,October,f,2014-08-16 18:42:22.638298,2014-08-17 16:01:05.488481
18730527,54,174,2014-10-23 07:05:00,2014-10-23 09:25:00,US Airways,1373,20560,1,t,223,1428,24010,BWI,t,10/23/2014,12710,,October,f,2014-08-16 19:24:12.365698,2014-08-17 16:01:05.501493
18741009,54,174,2014-10-29 08:35:00,2014-10-29 10:55:00,American Airlines,1077,15360,1,t,590,1063,24010,BWI,t,10/29/2014,11710,,October,f,2014-08-16 19:40:56.302134,2014-08-17 16:01:05.515943
18741014,54,188,2014-10-29 16:07:00,2014-10-29 18:13:00,United,1038,15360,1,t,590,1602,21410,BWI,t,10/29/2014,15560,,October,f,2014-08-16 19:40:56.325082,2014-08-17 16:01:05.529632
18741007,54,811,2014-10-29 07:05:00,2014-10-29 09:12:00,US Airways,584,15360,1,t,590,561,29110,BWI,t,10/29/2014,22260,t,October,f,2014-08-16 19:40:56.292864,2014-08-17 16:01:05.730709
18706413,54,45,2014-10-12 12:30:00,2014-10-12 14:30:00,Delta Air Lines,2125,12060,1,t,774,1110,16110,BWI,t,10/12/2014,14810,t,October,f,2014-08-16 18:50:38.76396,2014-08-17 16:01:05.76053
18735050,54,145,2014-10-26 18:10:00,2014-10-26 19:24:00,US Airways,6365,11260,1,t,137,759,18010,BWI,t,10/26/2014,13710,t,October,f,2014-08-16 19:32:25.372354,2014-08-17 16:01:05.798944
18700807,54,717,2014-10-09 14:55:00,2014-10-09 16:15:00,US Airways,6360,11260,1,t,137,425,27710,BWI,t,10/09/2014,16560,t,October,f,2014-08-16 18:42:22.629221,2014-08-17 16:01:05.813607
18689023,54,145,2014-10-03 10:20:00,2014-10-03 11:30:00,US Airways,3545,19460,1,t,158,8657,27210,BWI,t,10/03/2014,11710,,October,f,2014-08-16 18:25:16.688454,2014-08-17 16:01:05.858246
18817477,54,45,2014-09-07 09:30:00,2014-09-07 11:19:00,Delta Air Lines,1925,11260,1,t,137,2133,16110,BWI,t,09/07/2014,14160,t,September,t,2014-08-17 17:34:10.420318,2014-08-17 17:37:30.749548
18811365,54,174,2014-09-04 16:00:00,2014-09-04 18:25:00,US Airways,140,17060,1,t,61,3154,47510,BWI,t,09/04/2014,12210,,September,t,2014-08-17 17:19:23.88419,2014-08-17 17:24:16.457237
18811375,54,410,2014-09-04 18:05:00,2014-09-04 20:18:00,United,1411,15210,1,t,590,697,52010,BWI,t,09/04/2014,16910,,September,t,2014-08-17 17:19:25.778989,2014-08-17 17:24:16.527837
18811377,54,620,2014-09-04 18:01:00,2014-09-04 20:27:00,United,1717,15360,1,t,590,1507,27110,BWI,t,09/04/2014,19010,t,September,t,2014-08-17 17:19:25.837051,2014-08-17 17:24:16.630369
18790693,54,45,2014-08-25 14:00:00,2014-08-25 15:52:00,Delta Air Lines,1495,10560,1,t,660,2160,17810,BWI,t,08/25/2014,17810,t,August,t,2014-08-17 16:35:50.983799,2014-08-17 16:40:02.059627
18790694,54,45,2014-08-25 15:15:00,2014-08-25 17:10:00,Delta Air Lines,2325,10560,1,t,660,2160,17810,BWI,t,08/25/2014,17810,t,August,t,2014-08-17 16:35:50.997219,2014-08-17 16:40:02.085215
18790695,54,45,2014-08-25 17:45:00,2014-08-25 19:44:00,Delta Air Lines,1553,10560,1,t,660,1949,17810,BWI,t,08/25/2014,17810,t,August,t,2014-08-17 16:35:51.008432,2014-08-17 16:40:02.116594
