id,departure_airport_id,arrival_airport_id,departure_time,arrival_time,airline,flight_no,price,number_of_stops,is_first_flight,second_flight_destination,second_flight_no,original_price,origin_code,shortcut,pure_date,cheapest_price,epic,month,new,created_at,updated_at
6583003,899,,2014-10-05 07:00:00,,United,6276,14160,1,t,633,3679,,,,10/05/2014,,,October,,2014-08-17 19:31:28.709265,2014-08-17 19:31:28.709265
6431133,899,718,2014-11-05 10:00:00,2014-11-05 11:23:00,US Airways,2174,10484,1,t,1026,8431,24710,DCA,t,11/05/2014,24710,t,November,f,2014-08-16 20:46:25.383685,2014-08-17 16:01:22.551055
6431136,899,718,2014-11-05 11:00:00,2014-11-05 12:15:00,US Airways,2176,10484,1,t,1026,8431,24710,DCA,t,11/05/2014,24710,t,November,f,2014-08-16 20:46:25.400802,2014-08-17 16:01:22.561349
6583004,899,,2014-10-05 07:55:00,,United,219,14160,1,t,633,3679,,,,10/05/2014,,,October,,2014-08-17 19:31:28.720311,2014-08-17 19:31:28.720311
6583005,899,,2014-10-05 08:35:00,,American Airlines,1409,14160,1,t,633,3032,,,,10/05/2014,,,October,,2014-08-17 19:31:28.728507,2014-08-17 19:31:28.728507
6438763,899,718,2014-11-08 11:00:00,2014-11-08 12:13:00,US Airways,2176,11260,1,t,660,1856,24710,DCA,t,11/08/2014,24710,t,November,f,2014-08-16 20:57:24.47843,2014-08-17 16:01:22.57135
6583006,899,,2014-10-05 09:50:00,,American Airlines,40,14160,1,t,633,3032,,,,10/05/2014,,,October,,2014-08-17 19:31:28.736917,2014-08-17 19:31:28.736917
6426762,899,145,2014-11-03 07:00:00,2014-11-03 08:07:00,United,6307,20760,1,t,633,3679,34510,DCA,t,11/03/2014,11360,,November,f,2014-08-16 20:39:40.489697,2014-08-17 16:01:22.68088
6583007,899,,2014-10-05 10:45:00,,United,617,15060,1,t,633,3946,,,,10/05/2014,,,October,,2014-08-17 19:31:28.745297,2014-08-17 19:31:28.745297
6583008,899,,2014-10-05 07:00:00,,United,6276,17660,1,t,633,6525,,,,10/05/2014,,,October,,2014-08-17 19:31:28.753502,2014-08-17 19:31:28.753502
6583009,899,,2014-10-05 07:55:00,,United,219,17660,1,t,633,6525,,,,10/05/2014,,,October,,2014-08-17 19:31:28.761586,2014-08-17 19:31:28.761586
6583010,899,,2014-10-05 19:00:00,,United,174,17660,1,t,633,3620,,,,10/05/2014,,,October,,2014-08-17 19:31:28.770418,2014-08-17 19:31:28.770418
6583011,899,,2014-10-05 20:00:00,,United,1570,17660,1,t,633,3620,,,,10/05/2014,,,October,,2014-08-17 19:31:28.778604,2014-08-17 19:31:28.778604
6358603,899,137,2014-10-07 15:30:00,2014-10-07 17:02:00,American Airlines,896,34610,1,t,685,5103,48710,DCA,t,10/07/2014,15060,,October,f,2014-08-16 19:03:22.1391,2014-08-17 16:01:22.438383
6357968,899,620,2014-10-07 08:45:00,2014-10-07 11:30:00,Alaska Airlines,1248,18260,1,t,828,557,63310,DCA,t,10/07/2014,15460,,October,f,2014-08-16 19:02:43.893432,2014-08-17 16:01:22.451262
6583012,899,,2014-10-05 09:50:00,,American Airlines,40,18060,1,t,633,3100,,,,10/05/2014,,,October,,2014-08-17 19:31:28.78738,2014-08-17 19:31:28.78738
6583013,899,,2014-10-05 13:50:00,,American Airlines,1452,18060,1,t,633,3003,,,,10/05/2014,,,October,,2014-08-17 19:31:28.79585,2014-08-17 19:31:28.79585
6379334,899,660,2014-10-16 07:20:00,2014-10-16 10:01:00,American Airlines,1553,10660,1,t,774,1525,15510,DCA,t,10/16/2014,10410,,October,f,2014-08-16 19:34:31.168135,2014-08-17 16:01:22.74733
6432108,899,809,2014-11-05 06:00:00,2014-11-05 06:58:00,American Airlines,3948,10660,1,t,642,4579,32810,DCA,t,11/05/2014,15160,t,November,f,2014-08-16 20:47:12.156433,2014-08-17 16:01:22.497759
6432117,899,809,2014-11-05 06:30:00,2014-11-05 07:28:00,American Airlines,3955,17160,1,t,642,4579,32810,DCA,t,11/05/2014,15160,,November,f,2014-08-16 20:47:12.397068,2014-08-17 16:01:22.515953
6432109,899,809,2014-11-05 07:41:00,2014-11-05 08:55:00,American Airlines,4491,10660,1,t,642,4579,32810,DCA,t,11/05/2014,15160,t,November,f,2014-08-16 20:47:12.161567,2014-08-17 16:01:22.526372
6431072,899,190,2014-11-05 19:00:00,2014-11-05 20:40:00,Delta Air Lines,2145,8760,1,t,92,1822,36410,DCA,t,11/05/2014,14247,t,November,f,2014-08-16 20:46:22.461616,2014-08-17 16:01:22.536507
6438765,899,145,2014-11-08 17:00:00,2014-11-08 18:15:00,American Airlines,1575,11260,1,t,660,1178,34510,DCA,t,11/08/2014,11360,,November,f,2014-08-16 20:57:24.489228,2014-08-17 16:01:22.615943
6438368,899,718,2014-11-07 17:00:00,2014-11-07 18:25:00,US Airways,2188,13960,1,t,474,8262,24710,DCA,t,11/07/2014,24710,t,November,f,2014-08-16 20:55:44.522686,2014-08-17 16:01:22.641784
6583014,899,,2014-10-05 09:45:00,,United,609,20760,1,t,633,6525,,,,10/05/2014,,,October,,2014-08-17 19:31:28.803953,2014-08-17 19:31:28.803953
