id,departure_airport_id,arrival_airport_id,departure_time,arrival_time,airline,flight_no,price,number_of_stops,is_first_flight,second_flight_destination,second_flight_no,original_price,origin_code,shortcut,pure_date,cheapest_price,epic,month,new,created_at,updated_at
18377403,188,145,2014-09-29 06:00:00,2014-09-29 09:23:00,US Airways,8308,17060,1,t,663,8576,36810,DEN,t,09/29/2014,10210,,September,t,2014-08-17 10:03:36.936029,2014-08-17 10:05:11.419661
18311926,188,174,2014-08-31 14:40:00,2014-08-31 17:35:00,American Airlines,1086,14060,1,t,759,2256,26210,DEN,t,08/31/2014,6210,,August,t,2014-08-17 08:40:17.447209,2014-08-17 08:43:39.208865
18377597,188,145,2014-09-29 10:10:00,2014-09-29 13:31:00,United,1425,17560,1,t,718,686,36810,DEN,t,09/29/2014,10210,,September,t,2014-08-17 10:03:47.554591,2014-08-17 10:05:11.427398
18376721,188,660,2014-09-29 14:15:00,2014-09-29 20:06:00,American Airlines,1424,13660,1,t,45,2388,16310,DEN,t,09/29/2014,15010,,September,t,2014-08-17 10:03:00.982269,2014-08-17 10:05:11.434699
18376697,188,137,2014-09-29 08:15:00,2014-09-29 13:28:00,American Airlines,2068,25510,1,t,138,4704,57610,DEN,t,09/29/2014,21960,,September,t,2014-08-17 10:02:59.673424,2014-08-17 10:05:11.442294
18289445,188,1101,2014-08-20 08:12:00,2014-08-20 10:12:00,United,6214,31319,1,t,1116,8463,82089,DEN,t,08/20/2014,21126,,August,t,2014-08-17 08:09:08.878747,2014-08-17 08:09:44.614153
18289446,188,1101,2014-08-20 19:41:00,2014-08-20 21:41:00,United,1698,31319,1,t,1116,8471,82089,DEN,t,08/20/2014,21126,,August,t,2014-08-17 08:09:08.884167,2014-08-17 08:09:44.62813
18460972,188,145,2014-11-05 15:45:00,2014-11-05 19:05:00,American Airlines,4347,18660,1,t,138,2644,36810,DEN,t,11/05/2014,8210,,November,t,2014-08-17 11:47:30.100023,2014-08-17 11:49:37.749313
18284556,188,410,2014-08-18 07:30:00,2014-08-18 10:53:00,United,1464,51060,1,t,347,1494,57310,DEN,t,08/18/2014,15760,,August,t,2014-08-17 08:03:26.741778,2014-08-17 08:04:25.75493
18448034,188,145,2014-10-30 11:50:00,2014-10-30 15:10:00,American Airlines,1127,11060,1,t,526,4323,36810,DEN,t,10/30/2014,10210,,October,t,2014-08-17 11:30:30.414379,2014-08-17 11:32:01.544261
