id,departure_airport_id,arrival_airport_id,departure_time,arrival_time,airline,flight_no,price,number_of_stops,is_first_flight,second_flight_destination,second_flight_no,original_price,origin_code,shortcut,pure_date,cheapest_price,epic,month,new,created_at,updated_at
18218705,719,137,2014-11-05 13:20:00,2014-11-05 15:08:00,American Airlines,1745,22110,1,t,275,4713,50510,EWR,t,11/05/2014,12560,,November,t,2014-08-17 05:31:13.738101,2014-08-17 05:36:25.271368
18219935,719,145,2014-11-05 07:59:00,2014-11-05 09:36:00,United,312,13760,1,t,975,5251,41810,EWR,t,11/05/2014,14160,,November,t,2014-08-17 05:33:22.597934,2014-08-17 05:36:25.343516
18219086,719,410,2014-11-05 07:29:00,2014-11-05 10:27:00,United,1102,13410,1,t,49,3737,17410,EWR,t,11/05/2014,13810,,November,t,2014-08-17 05:32:07.20476,2014-08-17 05:36:25.398975
18219084,719,145,2014-11-05 16:50:00,2014-11-05 18:35:00,United,708,11660,1,t,49,1217,41810,EWR,t,11/05/2014,14160,t,November,t,2014-08-17 05:32:07.158358,2014-08-17 05:36:25.495476
18219085,719,145,2014-11-05 18:00:00,2014-11-05 19:44:00,United,1177,11660,1,t,49,1217,41810,EWR,t,11/05/2014,14160,t,November,t,2014-08-17 05:32:07.178113,2014-08-17 05:36:25.531483
18024760,719,137,2014-08-19 18:29:00,2014-08-19 20:29:00,American Airlines,423,36010,1,t,135,5103,104909,EWR,t,08/19/2014,37460,,August,t,2014-08-16 23:19:05.918648,2014-08-16 23:21:07.181677
18024087,719,809,2014-08-19 06:00:00,2014-08-19 07:00:00,American Airlines,3976,45210,1,t,708,1913,88710,EWR,t,08/19/2014,16360,,August,t,2014-08-16 23:18:15.803496,2014-08-16 23:21:07.258225
18023327,719,924,2014-08-19 15:23:00,2014-08-19 18:36:00,United,1047,30370,1,t,114,6414,51510,EWR,t,08/19/2014,24910,,August,t,2014-08-16 23:16:44.248905,2014-08-16 23:21:08.025517
18029148,719,137,2014-08-21 18:29:00,2014-08-21 20:29:00,American Airlines,423,35110,1,t,469,5066,104909,EWR,t,08/21/2014,22660,,August,t,2014-08-16 23:28:21.247852,2014-08-16 23:30:45.104393
18165824,719,137,2014-10-15 08:10:00,2014-10-15 10:04:00,US Airways,826,11110,1,t,138,4998,50510,EWR,t,10/15/2014,13559,t,October,t,2014-08-17 03:51:57.685502,2014-08-17 03:56:10.587622
18167235,719,809,2014-10-15 06:50:00,2014-10-15 07:50:00,US Airways,3904,10484,1,t,1026,4086,39610,EWR,t,10/15/2014,9660,,October,t,2014-08-17 03:53:40.50709,2014-08-17 03:56:10.604632
18166350,719,137,2014-10-15 05:00:00,2014-10-15 06:42:00,US Airways,2061,11510,1,t,49,485,50510,EWR,t,10/15/2014,13559,t,October,t,2014-08-17 03:52:39.899971,2014-08-17 03:56:10.621623
18166173,719,137,2014-10-15 13:20:00,2014-10-15 15:08:00,US Airways,1745,11710,1,t,716,1802,50510,EWR,t,10/15/2014,13559,,October,t,2014-08-17 03:52:19.952918,2014-08-17 03:56:10.668794
18166175,719,137,2014-10-15 15:00:00,2014-10-15 16:52:00,US Airways,1915,11710,1,t,716,1781,50510,EWR,t,10/15/2014,13559,,October,t,2014-08-17 03:52:19.975164,2014-08-17 03:56:10.688247
18119773,719,45,2014-09-26 11:44:00,2014-09-26 14:00:00,Delta Air Lines,346,12410,1,t,708,337,26610,EWR,t,09/26/2014,14160,,September,t,2014-08-17 02:23:00.347955,2014-08-17 02:25:48.532204
18120510,719,45,2014-09-26 13:00:00,2014-09-26 15:25:00,Delta Air Lines,1798,11560,1,t,774,1110,26610,EWR,t,09/26/2014,14160,t,September,t,2014-08-17 02:23:45.390725,2014-08-17 02:25:48.550995
18120512,719,45,2014-09-26 18:10:00,2014-09-26 20:44:00,Delta Air Lines,2537,11560,1,t,774,1769,26610,EWR,t,09/26/2014,14160,t,September,t,2014-08-17 02:23:45.408083,2014-08-17 02:25:48.598913
18165964,719,137,2014-10-15 17:25:00,2014-10-15 19:16:00,US Airways,802,13010,1,t,275,5004,50510,EWR,t,10/15/2014,13559,,October,t,2014-08-17 03:52:05.822711,2014-08-17 03:56:10.709787
18220098,719,137,2014-11-05 17:25:00,2014-11-05 19:16:00,American Airlines,1974,35110,1,t,469,5083,50510,EWR,t,11/05/2014,12560,,November,t,2014-08-17 05:33:38.184649,2014-08-17 05:36:25.548071
18219335,719,145,2014-11-05 13:15:00,2014-11-05 14:50:00,US Airways,8466,18060,1,t,947,41,41810,EWR,t,11/05/2014,14160,,November,t,2014-08-17 05:32:24.153816,2014-08-17 05:36:25.69599
18167312,719,137,2014-10-15 13:20:00,2014-10-15 15:08:00,American Airlines,1745,20610,1,t,48,4973,50510,EWR,t,10/15/2014,13559,,October,t,2014-08-17 03:53:44.072362,2014-08-17 03:56:10.803301
18029741,719,809,2014-08-21 06:50:00,2014-08-21 07:50:00,US Airways,3727,31260,1,t,357,3972,39610,EWR,t,08/21/2014,36660,t,August,t,2014-08-16 23:29:02.126082,2014-08-16 23:30:45.313748
18029422,719,809,2014-08-21 18:29:00,2014-08-21 19:29:00,US Airways,4042,47960,1,t,54,1817,55110,EWR,t,08/21/2014,36660,,August,t,2014-08-16 23:28:39.745377,2014-08-16 23:30:45.343884
18029746,719,137,2014-08-21 13:10:00,2014-08-21 14:58:00,American Airlines,1791,37810,1,t,357,4674,104909,EWR,t,08/21/2014,22660,,August,t,2014-08-16 23:29:02.173654,2014-08-16 23:30:45.361528
18057255,719,811,2014-09-01 10:25:00,2014-09-01 12:35:00,American Airlines,1281,28760,1,t,1218,2708,33810,EWR,t,09/01/2014,19510,,September,t,2014-08-17 00:23:36.263072,2014-08-17 00:25:14.342136
18167690,719,45,2014-10-15 09:00:00,2014-10-15 11:33:00,Delta Air Lines,2558,11560,1,t,774,897,26610,EWR,t,10/15/2014,14160,t,October,t,2014-08-17 03:54:10.581538,2014-08-17 03:56:11.001036
18195089,719,145,2014-10-26 06:15:00,2014-10-26 07:45:00,US Airways,8524,26760,1,t,282,8143,41810,EWR,t,10/26/2014,18060,,October,t,2014-08-17 04:46:10.275323,2014-08-17 04:48:13.702818
18219428,719,811,2014-11-05 10:29:00,2014-11-05 13:39:00,American Airlines,1281,19160,1,t,934,1682,21610,EWR,t,11/05/2014,18110,,November,t,2014-08-17 05:32:39.440083,2014-08-17 05:36:25.798712
18219720,719,660,2014-11-05 05:59:00,2014-11-05 08:50:00,American Airlines,1205,16670,1,t,708,3470,21610,EWR,t,11/05/2014,14810,,November,t,2014-08-17 05:33:08.07623,2014-08-17 05:36:25.850826
18119503,719,811,2014-09-26 10:25:00,2014-09-26 12:35:00,American Airlines,1281,19160,1,t,934,1682,21610,EWR,t,09/26/2014,18110,,September,t,2014-08-17 02:22:34.506313,2014-08-17 02:25:48.801287
18220676,719,145,2014-11-05 06:15:00,2014-11-05 07:45:00,US Airways,8524,26760,1,t,282,8143,41810,EWR,t,11/05/2014,14160,,November,t,2014-08-17 05:34:24.111551,2014-08-17 05:36:25.915852
