id,departure_airport_id,arrival_airport_id,departure_time,arrival_time,airline,flight_no,price,number_of_stops,is_first_flight,second_flight_destination,second_flight_no,original_price,origin_code,shortcut,pure_date,cheapest_price,epic,month,new,created_at,updated_at
7030933,408,924,2014-10-02 22:53:00,2014-10-03 07:02:00,United,1722,27530,1,t,947,791,108680,HNL,t,10/02/2014,25530,,October,t,2014-08-17 11:14:11.402231,2014-08-17 11:14:46.225004
7050507,408,924,2014-11-15 07:25:00,2014-11-15 14:35:00,United,72,37078,1,t,811,1707,113680,HNL,t,11/15/2014,38830,,November,t,2014-08-17 11:52:34.121043,2014-08-17 11:53:13.671931
7050485,408,918,2014-11-15 21:55:00,2014-11-16 07:11:00,Delta Air Lines,1104,35613,1,t,927,4622,102889,HNL,t,11/15/2014,38030,t,November,t,2014-08-17 11:52:32.294953,2014-08-17 11:53:13.814761
7050495,408,811,2014-11-15 23:50:00,2014-11-16 08:47:00,American Airlines,675,43530,1,t,927,415,173730,HNL,t,11/15/2014,35630,,November,t,2014-08-17 11:52:32.40291,2014-08-17 11:53:14.222072
7027519,408,924,2014-09-25 22:53:00,2014-09-26 07:02:00,United,1722,20784,1,t,1101,1764,108680,HNL,t,09/25/2014,25530,t,September,t,2014-08-17 11:07:10.180115,2014-08-17 11:08:12.910137
7042643,408,620,2014-10-29 20:55:00,2014-10-30 05:10:00,US Airways,298,22030,1,t,923,3126,39380,HNL,t,10/29/2014,31030,t,October,t,2014-08-17 11:37:23.80105,2014-08-17 11:38:03.493669
7050481,408,620,2014-11-15 22:45:00,2014-11-16 06:10:00,Delta Air Lines,1212,29614,1,t,927,4516,45680,HNL,t,11/15/2014,39830,t,November,t,2014-08-17 11:52:32.245487,2014-08-17 11:53:13.652069
7015824,408,620,2014-08-30 06:25:00,2014-08-30 15:03:00,United,1231,36730,1,t,305,6330,45680,HNL,t,08/30/2014,42629,t,August,t,2014-08-17 10:45:07.110263,2014-08-17 10:45:33.212784
7015827,408,620,2014-08-30 20:45:00,2014-08-31 04:53:00,United,534,36730,1,t,305,6246,45680,HNL,t,08/30/2014,42629,t,August,t,2014-08-17 10:45:07.140873,2014-08-17 10:45:33.343572
7012405,408,811,2014-08-23 22:50:00,2014-08-24 07:41:00,American Airlines,675,61636,1,t,114,605,173730,HNL,t,08/23/2014,42480,,August,t,2014-08-17 10:37:44.587013,2014-08-17 10:38:46.483603
7010223,408,620,2014-08-18 07:15:00,2014-08-18 15:40:00,American Airlines,270,33386,1,t,1101,8195,48080,HNL,t,08/18/2014,39380,t,August,t,2014-08-17 10:31:57.882635,2014-08-17 10:32:47.514002
7015849,408,620,2014-08-30 20:55:00,2014-08-31 05:10:00,US Airways,298,34280,1,t,878,3084,45680,HNL,t,08/30/2014,42629,t,August,t,2014-08-17 10:45:08.668983,2014-08-17 10:45:33.395272
7015848,408,924,2014-08-30 12:59:00,2014-08-30 21:00:00,United,724,34280,1,t,878,6220,113680,HNL,t,08/30/2014,39280,t,August,t,2014-08-17 10:45:08.659771,2014-08-17 10:45:33.429938
7042618,408,620,2014-10-29 06:00:00,2014-10-29 14:34:00,United,1231,22030,1,t,923,6338,39380,HNL,t,10/29/2014,31030,t,October,t,2014-08-17 11:37:23.543288,2014-08-17 11:38:03.525729
7046704,408,811,2014-11-07 23:50:00,2014-11-08 08:47:00,American Airlines,675,33386,1,t,1101,506,155280,HNL,t,11/07/2014,29980,,November,t,2014-08-17 11:45:19.677353,2014-08-17 11:46:11.315307
7042626,408,620,2014-10-29 07:25:00,2014-10-29 15:55:00,US Airways,270,22030,1,t,923,8049,39380,HNL,t,10/29/2014,31030,t,October,t,2014-08-17 11:37:23.6172,2014-08-17 11:38:03.558199
7042627,408,620,2014-10-29 11:00:00,2014-10-29 19:20:00,United,1221,22030,1,t,923,5477,39380,HNL,t,10/29/2014,31030,t,October,t,2014-08-17 11:37:23.627199,2014-08-17 11:38:03.574428
7042629,408,620,2014-10-29 11:59:00,2014-10-29 20:41:00,Delta Air Lines,612,22030,1,t,923,5771,39380,HNL,t,10/29/2014,31030,t,October,t,2014-08-17 11:37:23.649159,2014-08-17 11:38:03.590182
7042636,408,620,2014-10-29 20:45:00,2014-10-30 05:05:00,United,534,22030,1,t,923,6323,39380,HNL,t,10/29/2014,31030,t,October,t,2014-08-17 11:37:23.712623,2014-08-17 11:38:03.623257
7034939,408,924,2014-10-11 12:48:00,2014-10-11 20:54:00,United,1720,43730,1,t,590,1118,113680,HNL,t,10/11/2014,25530,,October,t,2014-08-17 11:22:07.696256,2014-08-17 11:22:24.155242
7023782,408,620,2014-09-16 20:45:00,2014-09-17 04:53:00,United,534,21230,1,t,828,6211,39380,HNL,t,09/16/2014,32830,t,September,t,2014-08-17 10:59:20.255316,2014-08-17 10:59:35.254804
7050524,408,620,2014-11-15 12:00:00,2014-11-15 19:20:00,United,1221,28030,1,t,673,5352,45680,HNL,t,11/15/2014,39830,t,November,t,2014-08-17 11:52:36.087534,2014-08-17 11:53:14.082383
7019887,408,620,2014-09-08 20:55:00,2014-09-09 05:10:00,US Airways,298,22030,1,t,927,2759,39380,HNL,t,09/08/2014,33830,t,September,t,2014-08-17 10:52:13.898003,2014-08-17 10:52:52.85049
7019877,408,620,2014-09-08 07:25:00,2014-09-08 15:55:00,US Airways,270,22030,1,t,927,2707,39380,HNL,t,09/08/2014,33830,t,September,t,2014-08-17 10:52:13.789605,2014-08-17 10:52:52.400045
7015888,408,620,2014-08-30 20:55:00,2014-08-31 05:10:00,Alaska Airlines,1871,40030,1,t,937,2474,45680,HNL,t,08/30/2014,42629,t,August,t,2014-08-17 10:45:11.720317,2014-08-17 10:45:33.242824
7023827,408,620,2014-09-17 06:25:00,2014-09-17 15:03:00,United,1231,20784,1,t,1101,6483,39380,HNL,t,09/17/2014,32830,t,September,t,2014-08-17 10:59:37.845379,2014-08-17 11:00:20.247206
7023828,408,924,2014-09-17 20:55:00,2014-09-18 04:48:00,United,396,20784,1,t,1101,784,108680,HNL,t,09/17/2014,25530,t,September,t,2014-08-17 10:59:37.861035,2014-08-17 11:00:20.262763
7023834,408,924,2014-09-17 22:50:00,2014-09-18 06:56:00,United,235,26366,1,t,1101,1071,108680,HNL,t,09/17/2014,25530,,September,t,2014-08-17 10:59:37.924763,2014-08-17 11:00:20.298961
7012456,408,811,2014-08-23 22:15:00,2014-08-24 07:06:00,American Airlines,693,58529,1,t,923,623,173730,HNL,t,08/23/2014,42480,,August,t,2014-08-17 10:37:52.352778,2014-08-17 10:38:46.501349
7031194,408,924,2014-10-03 20:55:00,2014-10-04 04:53:00,United,396,23784,1,t,1101,784,108680,HNL,t,10/03/2014,25530,,October,t,2014-08-17 11:14:51.81699,2014-08-17 11:15:44.389495
7031205,408,811,2014-10-03 22:15:00,2014-10-04 07:06:00,American Airlines,693,33386,1,t,1101,506,155280,HNL,t,10/03/2014,29630,,October,t,2014-08-17 11:14:51.992084,2014-08-17 11:15:44.467365
7042687,408,918,2014-10-29 21:00:00,2014-10-30 07:09:00,Delta Air Lines,1104,21230,1,t,947,1857,97780,HNL,t,10/29/2014,31030,t,October,t,2014-08-17 11:37:27.13162,2014-08-17 11:38:03.510419
7038945,408,924,2014-10-20 06:28:00,2014-10-20 14:32:00,United,72,21230,1,t,828,580,108680,HNL,t,10/20/2014,25530,t,October,t,2014-08-17 11:29:53.946351,2014-08-17 11:30:08.705646
7038946,408,924,2014-10-20 12:55:00,2014-10-20 20:56:00,United,724,21230,1,t,828,733,108680,HNL,t,10/20/2014,25530,t,October,t,2014-08-17 11:29:53.955639,2014-08-17 11:30:08.72136
7042693,408,620,2014-10-29 15:35:00,2014-10-30 00:12:00,Delta Air Lines,2579,26827,1,t,947,5723,39380,HNL,t,10/29/2014,31030,t,October,t,2014-08-17 11:37:27.186932,2014-08-17 11:38:03.753896
7027613,408,620,2014-09-25 06:30:00,2014-09-25 15:08:00,United,1231,22030,1,t,923,6341,39380,HNL,t,09/25/2014,31030,t,September,t,2014-08-17 11:07:19.838876,2014-08-17 11:08:13.134583
7027618,408,620,2014-09-25 12:00:00,2014-09-25 20:30:00,United,1221,22030,1,t,923,5611,39380,HNL,t,09/25/2014,31030,t,September,t,2014-08-17 11:07:19.902374,2014-08-17 11:08:13.176376
7050588,408,620,2014-11-15 21:55:00,2014-11-16 05:15:00,Alaska Airlines,1871,40030,1,t,937,2474,45680,HNL,t,11/15/2014,39830,,November,t,2014-08-17 11:52:50.506585,2014-08-17 11:53:14.142258
7046784,408,620,2014-11-07 21:45:00,2014-11-08 04:57:00,United,534,24030,1,t,923,6322,40680,HNL,t,11/07/2014,31030,t,November,t,2014-08-17 11:45:28.203397,2014-08-17 11:46:11.250988
7046781,408,620,2014-11-07 12:00:00,2014-11-07 19:20:00,United,1221,24030,1,t,923,5611,40680,HNL,t,11/07/2014,31030,t,November,t,2014-08-17 11:45:28.177842,2014-08-17 11:46:11.400604
7042729,408,811,2014-10-29 22:50:00,2014-10-30 07:41:00,US Airways,675,22030,1,t,927,599,30580,HNL,t,10/29/2014,29630,t,October,t,2014-08-17 11:37:30.411467,2014-08-17 11:38:03.43975
7038967,408,620,2014-10-20 07:25:00,2014-10-20 15:55:00,Alaska Airlines,1119,35530,1,t,918,721,39380,HNL,t,10/20/2014,31030,,October,t,2014-08-17 11:29:55.555908,2014-08-17 11:30:08.937329
7042717,408,620,2014-10-29 12:30:00,2014-10-29 21:05:00,US Airways,162,22030,1,t,927,5553,39380,HNL,t,10/29/2014,31030,t,October,t,2014-08-17 11:37:30.307626,2014-08-17 11:38:03.607644
7042719,408,620,2014-10-29 20:55:00,2014-10-30 05:10:00,American Airlines,298,22030,1,t,927,5509,39380,HNL,t,10/29/2014,31030,t,October,t,2014-08-17 11:37:30.325096,2014-08-17 11:38:03.475609
7019884,408,620,2014-09-08 20:55:00,2014-09-09 05:10:00,American Airlines,298,22030,1,t,927,2581,39380,HNL,t,09/08/2014,33830,t,September,t,2014-08-17 10:52:13.862495,2014-08-17 10:52:52.056276
7042726,408,811,2014-10-29 22:15:00,2014-10-30 07:06:00,US Airways,693,22030,1,t,927,599,30580,HNL,t,10/29/2014,29630,t,October,t,2014-08-17 11:37:30.38611,2014-08-17 11:38:03.638891
7020127,408,620,2014-09-08 21:45:00,2014-09-09 06:03:00,Delta Air Lines,1212,21230,1,t,828,5813,39380,HNL,t,09/08/2014,33830,t,September,t,2014-08-17 10:52:31.241569,2014-08-17 10:52:52.189141
7042711,408,620,2014-10-29 08:00:00,2014-10-29 16:25:00,Hawaiian Airlines,10,32430,1,t,947,2556,39380,HNL,t,10/29/2014,31030,,October,t,2014-08-17 11:37:27.358061,2014-08-17 11:38:03.789888
7038953,408,924,2014-10-20 22:53:00,2014-10-21 07:02:00,United,1722,21230,1,t,828,273,108680,HNL,t,10/20/2014,25530,t,October,t,2014-08-17 11:29:54.021092,2014-08-17 11:30:08.675061
7042716,408,620,2014-10-29 12:30:00,2014-10-29 21:05:00,American Airlines,162,22030,1,t,927,2578,39380,HNL,t,10/29/2014,31030,t,October,t,2014-08-17 11:37:30.29774,2014-08-17 11:38:03.807417
7015903,408,620,2014-08-30 22:15:00,2014-08-31 06:30:00,Hawaiian Airlines,4,40130,1,t,924,2560,42680,HNL,t,08/30/2014,42629,t,August,t,2014-08-17 10:45:13.701484,2014-08-17 10:45:33.531311
7027615,408,620,2014-09-25 07:25:00,2014-09-25 15:55:00,American Airlines,270,22030,1,t,923,2624,39380,HNL,t,09/25/2014,31030,t,September,t,2014-08-17 11:07:19.860157,2014-08-17 11:08:12.987394
7023849,408,924,2014-09-17 06:28:00,2014-09-17 14:32:00,United,72,33286,1,t,1116,6494,108680,HNL,t,09/17/2014,25530,,September,t,2014-08-17 10:59:39.183124,2014-08-17 11:00:20.425224
7042714,408,620,2014-10-29 07:25:00,2014-10-29 15:55:00,American Airlines,270,22030,1,t,927,5511,39380,HNL,t,10/29/2014,31030,t,October,t,2014-08-17 11:37:30.277756,2014-08-17 11:38:03.542671
7012492,408,811,2014-08-23 22:15:00,2014-08-24 07:06:00,US Airways,693,46044,1,t,947,560,51629,HNL,t,08/23/2014,42480,,August,t,2014-08-17 10:37:57.166542,2014-08-17 10:38:46.519426
7046795,408,811,2014-11-07 23:50:00,2014-11-08 08:47:00,US Airways,675,24030,1,t,923,1743,30580,HNL,t,11/07/2014,29980,t,November,t,2014-08-17 11:45:28.299383,2014-08-17 11:46:11.204533
7020175,408,620,2014-09-09 06:25:00,2014-09-09 15:03:00,United,1231,20784,1,t,1101,6483,39380,HNL,t,09/09/2014,33830,t,September,t,2014-08-17 10:52:55.274792,2014-08-17 10:53:50.409011
7020176,408,924,2014-09-09 20:55:00,2014-09-10 04:48:00,United,396,20784,1,t,1101,784,108680,HNL,t,09/09/2014,32830,t,September,t,2014-08-17 10:52:55.300967,2014-08-17 10:53:50.431898
7020177,408,924,2014-09-09 22:50:00,2014-09-10 06:56:00,United,235,20784,1,t,1101,784,108680,HNL,t,09/09/2014,32830,t,September,t,2014-08-17 10:52:55.311077,2014-08-17 10:53:50.489632
7046798,408,620,2014-11-07 23:52:00,2014-11-08 07:30:00,United,1233,24030,1,t,923,5346,40680,HNL,t,11/07/2014,31030,t,November,t,2014-08-17 11:45:28.323965,2014-08-17 11:46:11.275051
7046813,408,620,2014-11-07 06:25:00,2014-11-07 13:59:00,United,1231,35130,1,t,923,6338,40680,HNL,t,11/07/2014,31030,,November,t,2014-08-17 11:45:28.449882,2014-08-17 11:46:11.633539
7046814,408,811,2014-11-07 23:15:00,2014-11-08 08:12:00,American Airlines,693,36530,1,t,923,452,168680,HNL,t,11/07/2014,29980,,November,t,2014-08-17 11:45:28.457828,2014-08-17 11:46:11.655068
7010316,408,924,2014-08-18 20:55:00,2014-08-19 04:48:00,United,396,26430,1,t,923,284,108680,HNL,t,08/18/2014,36930,t,August,t,2014-08-17 10:32:07.287011,2014-08-17 10:32:47.745526
7010313,408,620,2014-08-18 11:20:00,2014-08-18 19:53:00,United,1221,26430,1,t,923,5611,48080,HNL,t,08/18/2014,39380,t,August,t,2014-08-17 10:32:07.17433,2014-08-17 10:32:47.944357
