id,departure_airport_id,arrival_airport_id,departure_time,arrival_time,airline,flight_no,price,number_of_stops,is_first_flight,second_flight_destination,second_flight_no,original_price,origin_code,shortcut,pure_date,cheapest_price,epic,month,new,created_at,updated_at
32796050,717,620,2014-09-24 10:00:00,2014-09-24 13:00:00,American Airlines,255,17160,1,t,590,952,26610,JFK,t,09/24/2014,15460,,September,t,2014-08-17 08:24:09.648504,2014-08-17 08:26:40.927653
32856555,717,45,2014-10-23 15:41:00,2014-10-23 18:20:00,Delta Air Lines,492,18060,1,t,294,1427,23610,JFK,t,10/23/2014,14610,,October,t,2014-08-17 09:55:51.326234,2014-08-17 09:58:46.731044
32796045,717,620,2014-09-24 08:30:00,2014-09-24 11:33:00,United,443,17160,1,t,590,256,20210,JFK,t,09/24/2014,15460,,September,t,2014-08-17 08:24:09.624564,2014-08-17 08:26:41.041649
32796039,717,620,2014-09-24 06:30:00,2014-09-24 09:33:00,United,398,17160,1,t,590,256,20210,JFK,t,09/24/2014,15460,,September,t,2014-08-17 08:24:09.595654,2014-08-17 08:26:41.049867
32750170,717,45,2014-09-01 22:55:00,2014-09-02 01:23:00,Delta Air Lines,2077,18240,1,t,939,681,33610,JFK,t,09/01/2014,15610,,September,t,2014-08-17 07:22:35.640162,2014-08-17 07:23:05.356192
32864985,717,45,2014-10-27 15:41:00,2014-10-27 18:20:00,Delta Air Lines,492,18060,1,t,294,2334,23610,JFK,t,10/27/2014,14610,,October,t,2014-08-17 10:07:50.942927,2014-08-17 10:11:13.94958
32796061,717,620,2014-09-24 11:00:00,2014-09-24 13:55:00,US Airways,19,20660,1,t,590,952,39510,JFK,t,09/24/2014,15460,,September,t,2014-08-17 08:24:09.701211,2014-08-17 08:26:41.075317
32891661,717,45,2014-11-08 06:30:00,2014-11-08 08:54:00,Delta Air Lines,479,12060,1,t,863,1803,23610,JFK,t,11/08/2014,14610,t,November,t,2014-08-17 10:45:50.99081,2014-08-17 10:46:47.949614
32726588,717,660,2014-08-21 11:00:00,2014-08-21 13:58:00,American Airlines,1646,28960,1,t,993,220,36710,JFK,t,08/21/2014,23810,,August,t,2014-08-17 06:44:24.670882,2014-08-17 06:45:21.419569
32732421,717,620,2014-08-24 07:00:00,2014-08-24 10:10:00,Delta Air Lines,424,25260,1,t,747,4452,35110,JFK,t,08/24/2014,35110,t,August,t,2014-08-17 06:54:05.731574,2014-08-17 06:56:08.313758
32773297,717,620,2014-09-13 08:00:00,2014-09-13 11:05:00,US Airways,33,17660,1,t,811,437,30810,JFK,t,09/13/2014,15460,,September,t,2014-08-17 07:52:50.108655,2014-08-17 07:55:09.117092
32832418,717,620,2014-10-11 09:00:00,2014-10-11 12:10:00,US Airways,1,18160,1,t,19,3124,30810,JFK,t,10/11/2014,20210,t,October,t,2014-08-17 09:21:30.808303,2014-08-17 09:22:47.713355
32773331,717,174,2014-09-13 16:15:00,2014-09-13 19:20:00,American Airlines,65,17160,1,t,590,1335,57010,JFK,t,09/13/2014,17010,,September,t,2014-08-17 07:52:57.407489,2014-08-17 07:55:09.139451
