id,departure_airport_id,arrival_airport_id,departure_time,arrival_time,airline,flight_no,price,number_of_stops,is_first_flight,second_flight_destination,second_flight_no,original_price,origin_code,shortcut,pure_date,cheapest_price,epic,month,new,created_at,updated_at
19700688,590,137,2014-10-29 07:45:00,2014-10-29 15:00:00,American Airlines,2070,28210,1,t,140,5006,48710,LAS,t,10/29/2014,17760,,October,f,2014-08-17 00:08:03.918176,2014-08-17 18:30:10.960136
19700690,590,137,2014-10-29 09:20:00,2014-10-29 16:41:00,American Airlines,1829,28210,1,t,140,5028,48710,LAS,t,10/29/2014,17760,,October,f,2014-08-17 00:08:03.927712,2014-08-17 18:30:10.974508
19700654,590,660,2014-10-29 00:30:00,2014-10-29 07:59:00,American Airlines,1674,14160,1,t,470,4286,17210,LAS,t,10/29/2014,17210,t,October,f,2014-08-17 00:08:02.751233,2014-08-17 18:30:10.984455
19692839,590,174,2014-10-26 10:55:00,2014-10-26 15:35:00,American Airlines,1524,26260,1,t,137,2238,32710,LAS,t,10/26/2014,11710,,October,f,2014-08-16 23:53:58.82348,2014-08-17 18:30:10.99571
19682217,590,660,2014-10-22 00:30:00,2014-10-22 07:59:00,American Airlines,1674,23660,1,t,470,4286,30510,LAS,t,10/22/2014,17210,,October,f,2014-08-16 23:37:23.335918,2014-08-17 18:30:11.008649
19575902,590,137,2014-09-11 22:55:00,2014-09-12 06:04:00,American Airlines,431,44710,1,t,140,3802,60310,LAS,t,09/11/2014,23110,,September,f,2014-08-16 20:37:10.116486,2014-08-17 18:30:11.026418
19587134,590,1026,2014-09-15 23:30:00,2014-09-16 06:45:00,WestJet Airlines,1119,15772,1,t,114,655,20328,LAS,t,09/15/2014,20328,t,September,f,2014-08-16 20:56:20.556094,2014-08-17 18:30:11.0462
19542586,590,45,2014-08-29 23:15:00,2014-08-30 06:07:00,Delta Air Lines,2102,18960,1,t,606,1863,21210,LAS,t,08/29/2014,21210,t,August,f,2014-08-16 19:34:37.855136,2014-08-17 18:30:11.059594
19714264,590,174,2014-11-03 06:00:00,2014-11-03 10:45:00,US Airways,1088,21069,1,t,118,1655,24910,LAS,t,11/03/2014,14310,,November,f,2014-08-17 00:27:04.128613,2014-08-17 18:30:11.072063
19573964,590,809,2014-09-10 09:00:00,2014-09-10 16:43:00,US Airways,677,24560,1,t,107,3768,49010,LAS,t,09/10/2014,13710,,September,f,2014-08-16 20:33:53.06094,2014-08-17 18:31:35.91573
19729234,590,174,2014-11-09 08:50:00,2014-11-09 13:30:00,American Airlines,2395,26610,1,t,677,1578,32710,LAS,t,11/09/2014,15710,,November,f,2014-08-17 00:48:44.531044,2014-08-17 18:31:35.946043
19765135,590,717,2014-08-25 16:05:00,2014-08-25 23:58:00,Delta Air Lines,1728,20110,1,t,708,457,41810,LAS,t,08/25/2014,18620,,August,t,2014-08-17 19:19:00.218777,2014-08-17 19:24:13.744202
19729235,590,717,2014-11-09 10:50:00,2014-11-09 18:50:00,American Airlines,120,26610,1,t,677,3451,32010,LAS,t,11/09/2014,16810,,November,f,2014-08-17 00:48:44.536043,2014-08-17 18:31:35.97378
19765579,590,660,2014-08-25 23:30:00,2014-08-26 07:01:00,US Airways,2364,31710,1,t,928,397,37010,LAS,t,08/25/2014,19010,,August,t,2014-08-17 19:19:30.786678,2014-08-17 19:24:13.759563
19730681,590,145,2014-11-09 06:15:00,2014-11-09 11:55:00,United,1252,24760,1,t,975,5251,28610,LAS,t,11/09/2014,22810,,November,f,2014-08-17 00:51:53.63366,2014-08-17 18:31:36.023888
19593827,590,137,2014-09-18 22:55:00,2014-09-19 06:04:00,US Airways,431,19010,1,t,294,525,48710,LAS,t,09/18/2014,17760,,September,f,2014-08-16 21:07:10.540448,2014-08-17 18:31:36.036041
19639186,590,809,2014-10-05 11:00:00,2014-10-05 18:45:00,US Airways,734,39660,1,t,827,5894,49010,LAS,t,10/05/2014,15160,,October,f,2014-08-16 22:26:32.934182,2014-08-17 18:31:36.056622
