id,departure_airport_id,arrival_airport_id,departure_time,arrival_time,airline,flight_no,price,number_of_stops,is_first_flight,second_flight_destination,second_flight_no,original_price,origin_code,shortcut,pure_date,cheapest_price,epic,month,new,created_at,updated_at
18110031,620,137,2014-08-29 22:45:00,2014-08-30 06:21:00,US Airways,696,29758,1,t,708,858,60610,LAX,t,08/29/2014,27810,,August,t,2014-08-17 07:52:45.971717,2014-08-17 08:00:19.560283
18110033,620,899,2014-08-29 12:25:00,2014-08-29 20:30:00,American Airlines,52,33235,1,t,708,733,60110,LAX,t,08/29/2014,31260,,August,t,2014-08-17 07:52:45.989578,2014-08-17 08:00:19.575054
18370545,620,145,2014-11-13 06:07:00,2014-11-13 12:10:00,United,1464,19160,1,t,863,1086,22410,LAX,t,11/13/2014,15210,,November,t,2014-08-17 15:16:26.317127,2014-08-17 15:20:58.11457
18379470,620,410,2014-11-15 13:52:00,2014-11-15 19:09:00,United,217,17510,1,t,150,4549,22110,LAX,t,11/15/2014,13210,,November,t,2014-08-17 15:29:35.654607,2014-08-17 15:33:09.775709
18110034,620,899,2014-08-29 12:25:00,2014-08-29 20:30:00,US Airways,52,33235,1,t,708,733,60110,LAX,t,08/29/2014,31260,,August,t,2014-08-17 07:52:46.000743,2014-08-17 08:00:19.590209
18211358,620,660,2014-09-28 00:20:00,2014-09-28 08:12:00,US Airways,258,22560,1,t,470,2632,34010,LAX,t,09/28/2014,19010,,September,t,2014-08-17 10:48:28.995206,2014-08-17 10:53:12.65371
18211480,620,660,2014-09-28 12:35:00,2014-09-28 20:27:00,American Airlines,252,21560,1,t,774,1334,26510,LAX,t,09/28/2014,19010,,September,t,2014-08-17 10:48:37.034213,2014-08-17 10:53:12.683808
18213679,620,137,2014-09-28 07:30:00,2014-09-28 15:09:00,American Airlines,704,38810,1,t,275,4700,58610,LAX,t,09/28/2014,23010,,September,t,2014-08-17 10:51:03.886448,2014-08-17 10:53:14.375459
18197039,620,410,2014-09-23 23:52:00,2014-09-24 05:06:00,United,1191,16219,1,t,360,1102,22110,LAX,t,09/23/2014,13210,,September,t,2014-08-17 10:24:42.227608,2014-08-17 10:26:22.017032
18214195,620,45,2014-09-28 12:40:00,2014-09-28 20:06:00,Delta Air Lines,101,30029,1,t,659,334,36810,LAX,t,09/28/2014,16160,,September,t,2014-08-17 10:51:29.016515,2014-08-17 10:53:14.462742
