id,departure_airport_id,arrival_airport_id,departure_time,arrival_time,airline,flight_no,price,number_of_stops,is_first_flight,second_flight_destination,second_flight_no,original_price,origin_code,shortcut,pure_date,cheapest_price,epic,month,new,created_at,updated_at
8715034,718,174,2014-09-10 15:45:00,2014-09-10 18:45:00,American Airlines,1120,12560,1,t,49,1645,57010,LGA,t,09/10/2014,14210,,September,t,2014-08-17 00:23:38.766668,2014-08-17 00:25:53.944531
8767316,718,660,2014-09-29 16:59:00,2014-09-29 20:14:00,US Airways,2258,9610,1,t,347,1007,14210,LGA,t,09/29/2014,14010,t,September,t,2014-08-17 01:40:49.457077,2014-08-17 01:44:22.222651
8767312,718,660,2014-09-29 08:10:00,2014-09-29 11:23:00,US Airways,2243,9610,1,t,347,1007,14210,LGA,t,09/29/2014,14010,t,September,t,2014-08-17 01:40:49.424227,2014-08-17 01:44:22.254389
8767317,718,660,2014-09-29 20:15:00,2014-09-29 23:22:00,US Airways,1589,10570,1,t,347,1552,14210,LGA,t,09/29/2014,14010,t,September,t,2014-08-17 01:40:49.465241,2014-08-17 01:44:22.386151
8767315,718,660,2014-09-29 15:29:00,2014-09-29 18:50:00,US Airways,2076,9610,1,t,347,1007,19710,LGA,t,09/29/2014,14010,t,September,t,2014-08-17 01:40:49.449172,2014-08-17 01:44:22.532247
8767690,718,137,2014-09-29 12:55:00,2014-09-29 14:59:00,US Airways,1845,12210,1,t,284,4256,22710,LGA,t,09/29/2014,14010,,September,t,2014-08-17 01:41:06.186359,2014-08-17 01:44:22.830543
8767691,718,137,2014-09-29 14:50:00,2014-09-29 16:52:00,US Airways,1908,12210,1,t,284,4129,22710,LGA,t,09/29/2014,14010,,September,t,2014-08-17 01:41:06.194187,2014-08-17 01:44:22.847199
8767698,718,137,2014-09-29 17:00:00,2014-09-29 19:04:00,American Airlines,1851,13210,1,t,284,4702,22710,LGA,t,09/29/2014,14010,,September,t,2014-08-17 01:41:06.260144,2014-08-17 01:44:23.061903
8767699,718,137,2014-09-29 17:53:00,2014-09-29 20:00:00,American Airlines,4398,13210,1,t,284,4702,22710,LGA,t,09/29/2014,14010,,September,t,2014-08-17 01:41:06.268102,2014-08-17 01:44:23.091609
8768248,718,899,2014-09-29 08:00:00,2014-09-29 09:20:00,American Airlines,2171,19660,1,t,986,4383,24710,LGA,t,09/29/2014,24710,t,September,t,2014-08-17 01:41:38.656516,2014-08-17 01:44:23.384696
8768199,718,92,2014-09-29 19:00:00,2014-09-29 20:12:00,US Airways,2160,10360,1,t,894,3819,24510,LGA,t,09/29/2014,9660,,September,t,2014-08-17 01:41:37.359868,2014-08-17 01:44:23.555079
8760214,718,899,2014-09-26 19:00:00,2014-09-26 20:16:00,US Airways,2193,21760,1,t,110,3482,24710,LGA,t,09/26/2014,24710,t,September,t,2014-08-17 01:29:29.637436,2014-08-17 01:32:19.181055
8768239,718,92,2014-09-29 06:00:00,2014-09-29 07:00:00,American Airlines,2134,15160,1,t,986,4905,24510,LGA,t,09/29/2014,9660,,September,t,2014-08-17 01:41:38.576856,2014-08-17 01:44:23.569093
8768233,718,92,2014-09-29 13:00:00,2014-09-29 14:11:00,US Airways,2148,9860,1,t,986,4355,24510,LGA,t,09/29/2014,9660,,September,t,2014-08-17 01:41:38.415583,2014-08-17 01:44:23.621461
8768234,718,92,2014-09-29 17:00:00,2014-09-29 18:18:00,US Airways,2156,9860,1,t,986,4367,24510,LGA,t,09/29/2014,9660,,September,t,2014-08-17 01:41:38.423332,2014-08-17 01:44:23.635932
8827431,718,137,2014-10-20 17:05:00,2014-10-20 19:09:00,US Airways,1851,16710,1,t,275,5004,22710,LGA,t,10/20/2014,22710,t,October,t,2014-08-17 03:09:53.912698,2014-08-17 03:12:58.428217
8768236,718,899,2014-09-29 21:00:00,2014-09-29 22:15:00,US Airways,2197,9860,1,t,986,3294,24710,LGA,t,09/29/2014,24710,t,September,t,2014-08-17 01:41:38.441321,2014-08-17 01:44:23.650934
