id,departure_airport_id,arrival_airport_id,departure_time,arrival_time,airline,flight_no,price,number_of_stops,is_first_flight,second_flight_destination,second_flight_no,original_price,origin_code,shortcut,pure_date,cheapest_price,epic,month,new,created_at,updated_at
2532794,618,811,2014-10-13 16:35:00,2014-10-13 17:57:00,American Airlines,5499,15360,1,t,1037,5395,19210,LGB,t,10/13/2014,10410,,October,t,2014-08-17 16:13:31.334241,2014-08-17 16:13:37.186941
2533006,618,811,2014-10-15 06:45:00,2014-10-15 08:09:00,American Airlines,5502,12760,1,t,1218,2672,21910,LGB,t,10/15/2014,10410,,October,t,2014-08-17 16:13:49.50323,2014-08-17 16:13:59.997226
2525296,618,918,2014-08-18 10:10:00,2014-08-18 12:56:00,Delta Air Lines,4644,18460,1,t,828,1194,26710,LGB,t,08/18/2014,22899,t,August,t,2014-08-17 16:00:19.988625,2014-08-17 16:00:25.306307
2525255,618,918,2014-08-18 07:00:00,2014-08-18 09:49:00,Delta Air Lines,4640,19160,1,t,89,4547,26710,LGB,t,08/18/2014,22899,t,August,t,2014-08-17 16:00:18.053278,2014-08-17 16:00:25.298869
2525297,618,918,2014-08-18 12:30:00,2014-08-18 15:14:00,Delta Air Lines,4589,18460,1,t,828,952,26710,LGB,t,08/18/2014,22899,t,August,t,2014-08-17 16:00:19.994381,2014-08-17 16:00:25.31378
2525254,618,811,2014-08-18 12:30:00,2014-08-18 13:47:00,US Airways,498,16560,1,t,89,572,18710,LGB,t,08/18/2014,18710,t,August,t,2014-08-17 16:00:18.047193,2014-08-17 16:00:25.320848
2525282,618,811,2014-08-18 06:45:00,2014-08-18 08:10:00,American Airlines,489,37060,1,t,1037,5551,44810,LGB,t,08/18/2014,18710,,August,t,2014-08-17 16:00:19.050219,2014-08-17 16:00:25.341042
2525279,618,811,2014-08-18 12:30:00,2014-08-18 13:47:00,American Airlines,498,32060,1,t,1037,2694,42810,LGB,t,08/18/2014,18710,,August,t,2014-08-17 16:00:19.035205,2014-08-17 16:00:25.349272
2525286,618,811,2014-08-18 16:35:00,2014-08-18 17:56:00,American Airlines,5526,37060,1,t,1037,5578,86010,LGB,t,08/18/2014,18710,,August,t,2014-08-17 16:00:19.074546,2014-08-17 16:00:25.356268
2525278,618,811,2014-08-18 10:05:00,2014-08-18 11:22:00,American Airlines,5504,32060,1,t,1037,2694,86010,LGB,t,08/18/2014,18710,,August,t,2014-08-17 16:00:19.030658,2014-08-17 16:00:25.36358
2525298,618,918,2014-08-18 18:25:00,2014-08-18 21:06:00,Delta Air Lines,4722,18460,1,t,828,1674,26710,LGB,t,08/18/2014,22899,t,August,t,2014-08-17 16:00:19.999691,2014-08-17 16:00:25.37041
2533087,618,811,2014-10-15 16:35:00,2014-10-15 17:57:00,American Airlines,5499,13560,1,t,828,671,19210,LGB,t,10/15/2014,10410,,October,t,2014-08-17 16:13:55.815431,2014-08-17 16:14:00.012809
2525358,618,811,2014-08-19 06:45:00,2014-08-19 08:07:00,American Airlines,489,22660,1,t,1218,2711,28610,LGB,t,08/19/2014,18710,,August,t,2014-08-17 16:00:27.175988,2014-08-17 16:00:46.605374
2525387,618,811,2014-08-19 16:35:00,2014-08-19 17:57:00,US Airways,2767,15560,1,t,89,449,18710,LGB,t,08/19/2014,18710,t,August,t,2014-08-17 16:00:29.16179,2014-08-17 16:00:46.624549
2525353,618,811,2014-08-19 12:30:00,2014-08-19 13:47:00,US Airways,498,12760,1,t,1218,2959,18710,LGB,t,08/19/2014,18710,t,August,t,2014-08-17 16:00:27.123423,2014-08-17 16:00:46.599092
2525406,618,811,2014-08-19 10:05:00,2014-08-19 11:19:00,American Airlines,5504,26060,1,t,1037,5475,28610,LGB,t,08/19/2014,18710,,August,t,2014-08-17 16:00:33.550441,2014-08-17 16:00:46.618176
2525428,618,918,2014-08-19 07:00:00,2014-08-19 09:49:00,Delta Air Lines,4640,17960,1,t,828,643,26710,LGB,t,08/19/2014,17460,,August,t,2014-08-17 16:00:40.751186,2014-08-17 16:00:46.580196
2533176,618,811,2014-10-16 06:45:00,2014-10-16 08:09:00,American Airlines,5502,14160,1,t,89,625,19210,LGB,t,10/16/2014,14710,,October,t,2014-08-17 16:14:03.567092,2014-08-17 16:14:11.76364
2525429,618,918,2014-08-19 10:10:00,2014-08-19 12:56:00,Delta Air Lines,4644,17960,1,t,828,1194,26710,LGB,t,08/19/2014,17460,,August,t,2014-08-17 16:00:40.756821,2014-08-17 16:00:46.586619
2525430,618,918,2014-08-19 16:35:00,2014-08-19 19:19:00,Delta Air Lines,4589,17960,1,t,828,1674,26710,LGB,t,08/19/2014,17460,,August,t,2014-08-17 16:00:40.765276,2014-08-17 16:00:46.593041
2525427,618,811,2014-08-19 12:30:00,2014-08-19 13:47:00,American Airlines,498,16960,1,t,828,409,22210,LGB,t,08/19/2014,18710,,August,t,2014-08-17 16:00:40.744765,2014-08-17 16:00:46.611492
2525478,618,811,2014-08-20 19:25:00,2014-08-20 20:40:00,US Airways,2829,12760,1,t,1218,2910,18710,LGB,t,08/20/2014,18710,t,August,t,2014-08-17 16:00:48.554659,2014-08-17 16:01:03.298942
2529999,618,811,2014-09-23 06:45:00,2014-09-23 08:09:00,American Airlines,5499,26360,1,t,1218,2685,28610,LGB,t,09/23/2014,10410,,September,t,2014-08-17 16:09:10.784174,2014-08-17 16:09:19.204213
2533228,618,811,2014-10-16 16:35:00,2014-10-16 17:57:00,American Airlines,5499,15160,1,t,828,671,19210,LGB,t,10/16/2014,14710,,October,t,2014-08-17 16:14:05.816868,2014-08-17 16:14:11.773706
2525522,618,918,2014-08-20 10:10:00,2014-08-20 12:56:00,Delta Air Lines,4644,19160,1,t,89,4564,26710,LGB,t,08/20/2014,17460,,August,t,2014-08-17 16:00:52.179982,2014-08-17 16:01:03.284692
2525485,618,811,2014-08-20 12:30:00,2014-08-20 13:47:00,American Airlines,498,26360,1,t,1218,2676,28610,LGB,t,08/20/2014,18710,,August,t,2014-08-17 16:00:48.593449,2014-08-17 16:01:03.306894
2525557,618,918,2014-08-20 07:00:00,2014-08-20 09:49:00,Delta Air Lines,4640,15160,1,t,828,643,26710,LGB,t,08/20/2014,17460,t,August,t,2014-08-17 16:00:54.832208,2014-08-17 16:01:03.27712
2525562,618,918,2014-08-20 12:30:00,2014-08-20 15:14:00,Delta Air Lines,4589,23160,1,t,828,952,26710,LGB,t,08/20/2014,17460,,August,t,2014-08-17 16:00:54.866726,2014-08-17 16:01:03.291414
2525548,618,811,2014-08-20 10:05:00,2014-08-20 11:19:00,American Airlines,5504,36060,1,t,1037,5406,86010,LGB,t,08/20/2014,18710,,August,t,2014-08-17 16:00:53.569411,2014-08-17 16:01:03.314777
2525558,618,918,2014-08-20 18:25:00,2014-08-20 21:06:00,Delta Air Lines,4722,15160,1,t,828,1674,26710,LGB,t,08/20/2014,17460,t,August,t,2014-08-17 16:00:54.842966,2014-08-17 16:01:03.321711
2530278,618,811,2014-09-25 10:05:00,2014-09-25 11:19:00,US Airways,2713,12060,1,t,918,450,14710,LGB,t,09/25/2014,10410,,September,t,2014-08-17 16:09:34.477065,2014-08-17 16:09:44.27697
2533503,618,811,2014-10-18 10:05:00,2014-10-18 11:19:00,US Airways,5409,11560,1,t,828,604,14710,LGB,t,10/18/2014,10410,,October,t,2014-08-17 16:14:31.339171,2014-08-17 16:14:36.028116
2527417,618,918,2014-09-03 11:15:00,2014-09-03 14:04:00,Delta Air Lines,4644,9160,1,t,828,952,12910,LGB,t,09/03/2014,8900,,September,t,2014-08-17 16:04:59.769102,2014-08-17 16:05:08.957325
2527418,618,918,2014-09-03 12:39:00,2014-09-03 15:30:00,Delta Air Lines,4589,9160,1,t,828,952,12910,LGB,t,09/03/2014,8900,,September,t,2014-08-17 16:04:59.773962,2014-08-17 16:05:08.965104
2525697,618,918,2014-08-21 07:00:00,2014-08-21 09:49:00,Delta Air Lines,4640,15660,1,t,828,643,26710,LGB,t,08/21/2014,17460,,August,t,2014-08-17 16:01:09.512165,2014-08-17 16:01:26.266193
2525698,618,918,2014-08-21 10:10:00,2014-08-21 12:56:00,Delta Air Lines,4644,15660,1,t,828,1194,26710,LGB,t,08/21/2014,17460,,August,t,2014-08-17 16:01:09.51789,2014-08-17 16:01:26.273372
2525696,618,811,2014-08-21 12:30:00,2014-08-21 13:47:00,US Airways,498,14160,1,t,828,409,18710,LGB,t,08/21/2014,18710,t,August,t,2014-08-17 16:01:09.505557,2014-08-17 16:01:26.279871
