id,departure_airport_id,arrival_airport_id,departure_time,arrival_time,airline,flight_no,price,number_of_stops,is_first_flight,second_flight_destination,second_flight_no,original_price,origin_code,shortcut,pure_date,cheapest_price,epic,month,new,created_at,updated_at
8773205,144,45,2014-09-14 09:45:00,2014-09-14 12:33:00,Delta Air Lines,2120,26560,1,t,993,2372,29810,MDW,t,09/14/2014,13810,,September,t,2014-08-17 03:50:06.621562,2014-08-17 03:50:28.45667
8764009,144,190,2014-08-25 16:45:00,2014-08-25 18:59:00,Delta Air Lines,5733,16160,1,t,84,5558,21010,MDW,t,08/25/2014,16510,,August,t,2014-08-17 03:36:36.49002,2014-08-17 03:36:51.832497
8763993,144,45,2014-08-25 10:25:00,2014-08-25 13:10:00,AirTran Airways,112,27760,1,t,817,2629,31410,MDW,t,08/25/2014,29810,t,August,t,2014-08-17 03:36:35.299884,2014-08-17 03:36:51.995688
8764020,144,774,2014-08-25 09:30:00,2014-08-25 13:00:00,AirTran Airways,127,43760,1,t,84,2521,53610,MDW,t,08/25/2014,16160,,August,t,2014-08-17 03:36:36.544182,2014-08-17 03:36:52.005466
8773241,144,774,2014-09-14 06:25:00,2014-09-14 09:55:00,AirTran Airways,144,27760,1,t,817,86,31410,MDW,t,09/14/2014,20660,,September,t,2014-08-17 03:50:09.644099,2014-08-17 03:50:28.466988
8760289,144,45,2014-08-18 15:43:00,2014-08-18 18:43:00,Delta Air Lines,1116,16160,1,t,158,1314,31410,MDW,t,08/18/2014,31410,t,August,t,2014-08-17 03:30:28.060069,2014-08-17 03:31:06.169141
8768318,144,45,2014-09-04 12:25:00,2014-09-04 15:19:00,Delta Air Lines,1648,14560,1,t,140,1339,18510,MDW,t,09/04/2014,18510,t,September,t,2014-08-17 03:43:32.467546,2014-08-17 03:44:01.496058
8768319,144,45,2014-09-04 13:42:00,2014-09-04 16:33:00,Delta Air Lines,2573,14560,1,t,140,1339,18510,MDW,t,09/04/2014,18510,t,September,t,2014-08-17 03:43:32.472632,2014-08-17 03:44:01.506034
8764122,144,774,2014-08-25 11:35:00,2014-08-25 15:05:00,AirTran Airways,231,19610,1,t,928,2738,25410,MDW,t,08/25/2014,16160,,August,t,2014-08-17 03:36:42.205975,2014-08-17 03:36:51.84254
8760419,144,45,2014-08-18 18:12:00,2014-08-18 21:11:00,Delta Air Lines,762,18060,1,t,707,1709,31410,MDW,t,08/18/2014,31410,t,August,t,2014-08-17 03:30:41.996583,2014-08-17 03:31:06.179867
8760394,144,45,2014-08-18 12:27:00,2014-08-18 15:25:00,Delta Air Lines,1648,28760,1,t,92,1100,31410,MDW,t,08/18/2014,31410,t,August,t,2014-08-17 03:30:34.236628,2014-08-17 03:31:06.189034
8787304,144,45,2014-10-13 13:35:00,2014-10-13 16:32:00,Delta Air Lines,2573,17360,1,t,158,1736,29810,MDW,t,10/13/2014,13810,,October,t,2014-08-17 04:10:10.009128,2014-08-17 04:10:42.489311
8787286,144,45,2014-10-13 09:49:00,2014-10-13 12:39:00,Delta Air Lines,2120,26160,1,t,140,1993,29810,MDW,t,10/13/2014,13810,,October,t,2014-08-17 04:10:09.182094,2014-08-17 04:10:42.499181
8768394,144,45,2014-09-04 14:55:00,2014-09-04 17:45:00,AirTran Airways,114,13160,1,t,92,239,18510,MDW,t,09/04/2014,18510,t,September,t,2014-08-17 03:43:38.349906,2014-08-17 03:44:01.514236
8764229,144,45,2014-08-26 06:00:00,2014-08-26 08:48:00,Delta Air Lines,2030,14560,1,t,140,5289,29810,MDW,t,08/26/2014,18860,t,August,t,2014-08-17 03:36:56.822255,2014-08-17 03:37:26.532119
8764230,144,45,2014-08-26 07:15:00,2014-08-26 10:09:00,Delta Air Lines,2031,14560,1,t,140,5289,29810,MDW,t,08/26/2014,18860,t,August,t,2014-08-17 03:36:56.827945,2014-08-17 03:37:26.541656
8764231,144,45,2014-08-26 09:52:00,2014-08-26 12:43:00,Delta Air Lines,2120,14560,1,t,140,4911,29810,MDW,t,08/26/2014,18860,t,August,t,2014-08-17 03:36:56.832784,2014-08-17 03:37:26.549498
8764232,144,45,2014-08-26 12:33:00,2014-08-26 15:30:00,Delta Air Lines,1648,14560,1,t,140,1339,29810,MDW,t,08/26/2014,18860,t,August,t,2014-08-17 03:36:56.837598,2014-08-17 03:37:26.557228
8764233,144,45,2014-08-26 13:53:00,2014-08-26 16:45:00,Delta Air Lines,2573,14560,1,t,140,1339,29810,MDW,t,08/26/2014,18860,t,August,t,2014-08-17 03:36:56.842066,2014-08-17 03:37:26.565366
8760561,144,774,2014-08-18 09:30:00,2014-08-18 13:00:00,AirTran Airways,127,36260,1,t,84,2521,48210,MDW,t,08/18/2014,25760,,August,t,2014-08-17 03:30:51.154379,2014-08-17 03:31:06.220722
8773501,144,45,2014-09-15 18:06:00,2014-09-15 20:57:00,Delta Air Lines,762,10260,1,t,158,1736,13810,MDW,t,09/15/2014,13810,t,September,t,2014-08-17 03:50:33.492006,2014-08-17 03:51:03.497236
8760600,144,45,2014-08-18 07:21:00,2014-08-18 10:14:00,Delta Air Lines,2031,23560,1,t,357,1556,31410,MDW,t,08/18/2014,31410,t,August,t,2014-08-17 03:30:54.850351,2014-08-17 03:31:06.196884
8760602,144,45,2014-08-18 13:45:00,2014-08-18 16:38:00,Delta Air Lines,2573,23560,1,t,357,1209,31410,MDW,t,08/18/2014,31410,t,August,t,2014-08-17 03:30:54.866153,2014-08-17 03:31:06.204795
8773499,144,45,2014-09-15 13:42:00,2014-09-15 16:33:00,Delta Air Lines,2573,10260,1,t,158,1347,13810,MDW,t,09/15/2014,13810,t,September,t,2014-08-17 03:50:33.481236,2014-08-17 03:51:03.474325
8773500,144,45,2014-09-15 15:23:00,2014-09-15 18:18:00,Delta Air Lines,1116,10260,1,t,158,1736,13810,MDW,t,09/15/2014,13810,t,September,t,2014-08-17 03:50:33.486441,2014-08-17 03:51:03.484138
8768632,144,45,2014-09-04 07:00:00,2014-09-04 09:45:00,AirTran Airways,214,15610,1,t,928,3160,18510,MDW,t,09/04/2014,18510,t,September,t,2014-08-17 03:43:54.702265,2014-08-17 03:44:01.522829
8760674,144,45,2014-08-18 06:00:00,2014-08-18 08:50:00,Delta Air Lines,2030,46110,1,t,672,361,49810,MDW,t,08/18/2014,31410,,August,t,2014-08-17 03:30:59.087753,2014-08-17 03:31:06.213655
8760679,144,774,2014-08-18 11:35:00,2014-08-18 15:05:00,AirTran Airways,231,29460,1,t,657,2192,48210,MDW,t,08/18/2014,25760,,August,t,2014-08-17 03:31:00.997635,2014-08-17 03:31:06.227922
8764484,144,45,2014-08-26 14:55:00,2014-08-26 17:45:00,AirTran Airways,114,12160,1,t,759,2399,29810,MDW,t,08/26/2014,18860,t,August,t,2014-08-17 03:37:08.267344,2014-08-17 03:37:26.59678
8764483,144,45,2014-08-26 07:00:00,2014-08-26 09:45:00,AirTran Airways,214,12160,1,t,759,2473,29810,MDW,t,08/26/2014,18860,t,August,t,2014-08-17 03:37:08.255039,2014-08-17 03:37:26.604162
8768393,144,45,2014-09-04 10:25:00,2014-09-04 13:10:00,AirTran Airways,112,13160,1,t,92,5919,18510,MDW,t,09/04/2014,18510,t,September,t,2014-08-17 03:43:38.345301,2014-08-17 03:44:01.533343
