id,departure_airport_id,arrival_airport_id,departure_time,arrival_time,airline,flight_no,price,number_of_stops,is_first_flight,second_flight_destination,second_flight_no,original_price,origin_code,shortcut,pure_date,cheapest_price,epic,month,new,created_at,updated_at
5588096,747,811,2014-09-25 09:50:00,2014-09-25 11:38:00,US Airways,2766,10060,1,t,918,450,15010,OAK,t,09/25/2014,15010,t,September,t,2014-08-17 00:48:13.089525,2014-08-17 00:48:28.088846
5576957,747,811,2014-08-18 12:25:00,2014-08-18 14:20:00,American Airlines,562,28760,1,t,828,409,33910,OAK,t,08/18/2014,26060,,August,t,2014-08-17 00:30:50.515261,2014-08-17 00:31:13.373857
5581708,747,918,2014-09-03 17:30:00,2014-09-03 20:16:00,Delta Air Lines,1374,9160,1,t,923,2546,16710,OAK,t,09/03/2014,13799,t,September,t,2014-08-17 00:39:17.997328,2014-08-17 00:39:29.254879
5581812,747,918,2014-09-04 11:35:00,2014-09-04 14:19:00,Delta Air Lines,1082,9660,1,t,947,1753,16710,OAK,t,09/04/2014,14460,t,September,t,2014-08-17 00:39:30.25649,2014-08-17 00:40:00.054296
5577038,747,811,2014-08-18 09:48:00,2014-08-18 11:40:00,American Airlines,5503,22860,1,t,620,2023,33910,OAK,t,08/18/2014,26060,t,August,t,2014-08-17 00:30:57.177637,2014-08-17 00:31:13.350259
5601999,747,811,2014-11-11 16:05:00,2014-11-11 18:57:00,US Airways,5565,8159,1,t,590,431,15010,OAK,t,11/11/2014,15010,t,November,t,2014-08-17 01:06:25.31949,2014-08-17 01:06:37.107132
5601983,747,811,2014-11-11 16:05:00,2014-11-11 18:57:00,American Airlines,5538,13260,1,t,620,630,16210,OAK,t,11/11/2014,15010,,November,t,2014-08-17 01:06:24.096075,2014-08-17 01:06:37.115293
5601977,747,811,2014-11-11 09:55:00,2014-11-11 12:43:00,US Airways,5407,8260,1,t,620,447,15010,OAK,t,11/11/2014,15010,t,November,t,2014-08-17 01:06:24.059292,2014-08-17 01:06:37.130197
5579607,747,947,2014-08-27 18:50:00,2014-08-27 20:39:00,Alaska Airlines,347,16934,1,t,541,2430,19110,OAK,t,08/27/2014,19110,t,August,t,2014-08-17 00:35:13.736485,2014-08-17 00:35:32.052147
5584733,747,811,2014-09-14 19:15:00,2014-09-14 21:06:00,US Airways,412,11560,1,t,828,586,15010,OAK,t,09/14/2014,15010,t,September,t,2014-08-17 00:43:49.742548,2014-08-17 00:44:14.868235
5579606,747,947,2014-08-27 09:45:00,2014-08-27 11:35:00,Alaska Airlines,365,15321,1,t,541,2670,19110,OAK,t,08/27/2014,19110,t,August,t,2014-08-17 00:35:13.730646,2014-08-17 00:35:32.043806
5601998,747,811,2014-11-11 12:30:00,2014-11-11 15:21:00,US Airways,562,8159,1,t,590,636,15010,OAK,t,11/11/2014,15010,t,November,t,2014-08-17 01:06:25.31502,2014-08-17 01:06:37.097887
5577034,747,811,2014-08-18 06:00:00,2014-08-18 07:59:00,American Airlines,652,22860,1,t,620,495,33910,OAK,t,08/18/2014,26060,t,August,t,2014-08-17 00:30:57.157368,2014-08-17 00:31:13.334687
5591307,747,811,2014-10-06 06:00:00,2014-10-06 07:53:00,US Airways,480,8159,1,t,590,561,15010,OAK,t,10/06/2014,15010,t,October,t,2014-08-17 00:52:28.925522,2014-08-17 00:52:41.024866
5579644,747,811,2014-08-27 16:05:00,2014-08-27 17:57:00,US Airways,2847,15160,1,t,620,509,20010,OAK,t,08/27/2014,16160,,August,t,2014-08-17 00:35:15.53593,2014-08-17 00:35:32.068825
5588141,747,811,2014-09-25 06:00:00,2014-09-25 07:53:00,US Airways,480,10160,1,t,792,2905,15010,OAK,t,09/25/2014,15010,t,September,t,2014-08-17 00:48:17.849524,2014-08-17 00:48:28.108843
5577099,747,811,2014-08-18 16:05:00,2014-08-18 18:01:00,American Airlines,5485,31060,1,t,918,2706,33910,OAK,t,08/18/2014,26060,,August,t,2014-08-17 00:30:59.7234,2014-08-17 00:31:13.395015
5577113,747,918,2014-08-18 10:25:00,2014-08-18 13:00:00,Delta Air Lines,1082,20960,1,t,923,2078,29210,OAK,t,08/18/2014,19960,,August,t,2014-08-17 00:31:00.779049,2014-08-17 00:31:13.318169
5577115,747,918,2014-08-18 18:28:00,2014-08-18 21:04:00,Delta Air Lines,1374,20960,1,t,923,1909,29210,OAK,t,08/18/2014,19960,,August,t,2014-08-17 00:31:00.789397,2014-08-17 00:31:13.326557
5577108,747,811,2014-08-18 09:48:00,2014-08-18 11:40:00,US Airways,2712,16160,1,t,923,679,33910,OAK,t,08/18/2014,26060,t,August,t,2014-08-17 00:31:00.749154,2014-08-17 00:31:13.342558
5577109,747,811,2014-08-18 12:25:00,2014-08-18 14:20:00,US Airways,562,16160,1,t,923,654,33910,OAK,t,08/18/2014,26060,t,August,t,2014-08-17 00:31:00.755468,2014-08-17 00:31:13.35953
5577111,747,811,2014-08-18 16:05:00,2014-08-18 18:01:00,US Airways,2879,18160,1,t,923,563,33910,OAK,t,08/18/2014,26060,t,August,t,2014-08-17 00:31:00.767032,2014-08-17 00:31:13.384216
5577110,747,811,2014-08-18 19:10:00,2014-08-18 21:04:00,US Airways,512,16160,1,t,923,475,33910,OAK,t,08/18/2014,26060,t,August,t,2014-08-17 00:31:00.761203,2014-08-17 00:31:13.405364
5577118,747,918,2014-08-18 06:05:00,2014-08-18 08:48:00,Delta Air Lines,1408,25360,1,t,923,2378,29210,OAK,t,08/18/2014,19960,,August,t,2014-08-17 00:31:00.809442,2014-08-17 00:31:13.41246
5577107,747,811,2014-08-18 06:00:00,2014-08-18 07:59:00,US Airways,652,16160,1,t,923,623,33910,OAK,t,08/18/2014,26060,t,August,t,2014-08-17 00:31:00.742342,2014-08-17 00:31:13.421633
5581990,747,918,2014-09-04 06:05:00,2014-09-04 08:52:00,Delta Air Lines,2526,9160,1,t,923,2378,16710,OAK,t,09/04/2014,14460,t,September,t,2014-08-17 00:39:49.940197,2014-08-17 00:40:00.072844
5582012,747,811,2014-09-04 16:05:00,2014-09-04 17:57:00,US Airways,2847,8660,1,t,792,2909,16210,OAK,t,09/04/2014,15160,t,September,t,2014-08-17 00:39:50.933221,2014-08-17 00:40:00.080724
5582010,747,811,2014-09-04 06:00:00,2014-09-04 07:53:00,US Airways,480,8660,1,t,792,2905,16210,OAK,t,09/04/2014,15160,t,September,t,2014-08-17 00:39:50.916141,2014-08-17 00:40:00.088423
5582011,747,811,2014-09-04 12:25:00,2014-09-04 14:16:00,US Airways,618,8660,1,t,792,2961,16210,OAK,t,09/04/2014,15160,t,September,t,2014-08-17 00:39:50.924504,2014-08-17 00:40:00.095841
5591613,747,811,2014-10-07 16:05:00,2014-10-07 17:57:00,US Airways,5462,8159,1,t,590,608,15010,OAK,t,10/07/2014,15010,t,October,t,2014-08-17 00:52:49.322028,2014-08-17 00:53:00.880764
5591611,747,811,2014-10-07 06:00:00,2014-10-07 07:53:00,US Airways,480,8159,1,t,590,561,15010,OAK,t,10/07/2014,15010,t,October,t,2014-08-17 00:52:49.31228,2014-08-17 00:53:00.86994
5581991,747,918,2014-09-04 17:30:00,2014-09-04 20:16:00,Delta Air Lines,1374,9160,1,t,923,2546,16710,OAK,t,09/04/2014,14460,t,September,t,2014-08-17 00:39:49.946436,2014-08-17 00:40:00.063613
5577237,747,918,2014-08-19 18:28:00,2014-08-19 21:07:00,Delta Air Lines,1374,19960,1,t,947,720,29210,OAK,t,08/19/2014,18960,,August,t,2014-08-17 00:31:14.912307,2014-08-17 00:31:35.316737
5577221,747,918,2014-08-19 06:05:00,2014-08-19 08:50:00,Delta Air Lines,2614,19960,1,t,947,2157,29210,OAK,t,08/19/2014,18960,,August,t,2014-08-17 00:31:14.79194,2014-08-17 00:31:35.296129
5577224,747,828,2014-08-19 09:15:00,2014-08-19 11:06:00,Alaska Airlines,2636,19960,1,t,947,2624,22910,OAK,t,08/19/2014,22910,t,August,t,2014-08-17 00:31:14.827425,2014-08-17 00:31:35.303637
5577229,747,828,2014-08-19 12:10:00,2014-08-19 13:58:00,Alaska Airlines,2644,19960,1,t,947,2162,22910,OAK,t,08/19/2014,22910,t,August,t,2014-08-17 00:31:14.859449,2014-08-17 00:31:35.310341
5588344,747,811,2014-09-26 12:25:00,2014-09-26 14:16:00,US Airways,618,8260,1,t,620,695,15010,OAK,t,09/26/2014,15010,t,September,t,2014-08-17 00:48:35.003512,2014-08-17 00:48:50.315223
5601994,747,811,2014-11-11 06:00:00,2014-11-11 08:56:00,US Airways,652,8159,1,t,590,478,15010,OAK,t,11/11/2014,15010,t,November,t,2014-08-17 01:06:25.296136,2014-08-17 01:06:37.122989
5579717,747,811,2014-08-27 12:25:00,2014-08-27 14:16:00,US Airways,618,13160,1,t,923,654,20010,OAK,t,08/27/2014,16160,t,August,t,2014-08-17 00:35:18.758713,2014-08-17 00:35:32.035366
5579716,747,811,2014-08-27 09:50:00,2014-08-27 11:38:00,US Airways,2766,13160,1,t,923,679,20010,OAK,t,08/27/2014,16160,t,August,t,2014-08-17 00:35:18.75215,2014-08-17 00:35:32.0603
5598512,747,811,2014-10-30 06:00:00,2014-10-30 07:53:00,US Airways,480,8260,1,t,620,495,15010,OAK,t,10/30/2014,15010,t,October,t,2014-08-17 01:01:53.330838,2014-08-17 01:02:06.411336
5588402,747,811,2014-09-26 06:00:00,2014-09-26 07:53:00,US Airways,480,11360,1,t,918,457,15010,OAK,t,09/26/2014,15010,t,September,t,2014-08-17 00:48:37.335138,2014-08-17 00:48:50.299836
