id,departure_airport_id,arrival_airport_id,departure_time,arrival_time,airline,flight_no,price,number_of_stops,is_first_flight,second_flight_destination,second_flight_no,original_price,origin_code,shortcut,pure_date,cheapest_price,epic,month,new,created_at,updated_at
9605981,145,718,2014-08-18 14:00:00,2014-08-18 17:15:00,American Airlines,366,35360,1,t,899,2193,42110,ORD,t,08/18/2014,26560,,August,t,2014-08-17 06:31:28.431742,2014-08-17 06:35:56.515599
9605983,145,718,2014-08-18 11:30:00,2014-08-18 14:37:00,Delta Air Lines,5942,36360,1,t,899,5921,42110,ORD,t,08/18/2014,26560,,August,t,2014-08-17 06:31:28.441391,2014-08-17 06:35:56.533142
9605979,145,718,2014-08-18 13:00:00,2014-08-18 16:15:00,American Airlines,368,35360,1,t,899,2193,42110,ORD,t,08/18/2014,26560,,August,t,2014-08-17 06:31:28.421929,2014-08-17 06:35:56.508682
9606009,145,92,2014-08-18 14:40:00,2014-08-18 18:00:00,American Airlines,1624,26060,1,t,717,1096,37610,ORD,t,08/18/2014,19210,,August,t,2014-08-17 06:31:33.802665,2014-08-17 06:35:56.603794
9606007,145,92,2014-08-18 12:35:00,2014-08-18 15:55:00,American Airlines,186,26060,1,t,717,1096,37610,ORD,t,08/18/2014,19210,,August,t,2014-08-17 06:31:33.792006,2014-08-17 06:35:56.589777
9606008,145,92,2014-08-18 13:45:00,2014-08-18 17:05:00,American Airlines,1299,26060,1,t,717,1096,37610,ORD,t,08/18/2014,19210,,August,t,2014-08-17 06:31:33.796686,2014-08-17 06:35:56.596487
9606055,145,899,2014-08-18 12:15:00,2014-08-18 15:05:00,American Airlines,1118,35360,1,t,660,1227,44510,ORD,t,08/18/2014,19860,,August,t,2014-08-17 06:31:36.36601,2014-08-17 06:35:56.646534
9606052,145,774,2014-08-18 10:55:00,2014-08-18 14:30:00,American Airlines,1693,35360,1,t,660,1678,46310,ORD,t,08/18/2014,25760,,August,t,2014-08-17 06:31:36.349507,2014-08-17 06:35:56.639238
9606116,145,718,2014-08-18 12:30:00,2014-08-18 15:38:00,Delta Air Lines,5944,28760,1,t,92,5890,42110,ORD,t,08/18/2014,26560,,August,t,2014-08-17 06:31:44.356191,2014-08-17 06:35:56.675276
9606183,145,620,2014-08-18 12:00:00,2014-08-18 14:15:00,US Airways,1657,26060,1,t,811,548,46510,ORD,t,08/18/2014,25860,,August,t,2014-08-17 06:31:48.98526,2014-08-17 06:35:56.724825
9606182,145,620,2014-08-18 10:10:00,2014-08-18 12:30:00,US Airways,1169,26060,1,t,811,2694,46510,ORD,t,08/18/2014,25860,,August,t,2014-08-17 06:31:48.980408,2014-08-17 06:35:56.716723
9606184,145,620,2014-08-18 15:20:00,2014-08-18 17:35:00,US Airways,1555,26060,1,t,811,2834,46510,ORD,t,08/18/2014,25860,,August,t,2014-08-17 06:31:48.990631,2014-08-17 06:35:56.733853
9606185,145,620,2014-08-18 17:00:00,2014-08-18 19:20:00,US Airways,2271,26060,1,t,811,2021,46510,ORD,t,08/18/2014,25860,,August,t,2014-08-17 06:31:48.996406,2014-08-17 06:35:56.741134
9606324,145,719,2014-08-18 13:42:00,2014-08-18 16:59:00,United,330,37360,1,t,1156,4833,41810,ORD,t,08/18/2014,23460,,August,t,2014-08-17 06:31:57.767483,2014-08-17 06:35:56.97114
9606348,145,137,2014-08-18 14:55:00,2014-08-18 17:50:00,American Airlines,5473,49410,1,t,275,5054,75810,ORD,t,08/18/2014,18560,,August,t,2014-08-17 06:31:59.824513,2014-08-17 06:35:57.025162
9606690,145,174,2014-08-18 15:00:00,2014-08-18 17:25:00,American Airlines,2331,34960,1,t,156,1163,38810,ORD,t,08/18/2014,27510,,August,t,2014-08-17 06:32:19.987071,2014-08-17 06:35:57.269356
9606689,145,174,2014-08-18 14:25:00,2014-08-18 16:50:00,American Airlines,2329,34960,1,t,156,1163,38810,ORD,t,08/18/2014,27510,,August,t,2014-08-17 06:32:19.981502,2014-08-17 06:35:56.846383
9606830,145,174,2014-08-18 12:15:00,2014-08-18 14:35:00,US Airways,2321,72860,1,t,321,8188,91510,ORD,t,08/18/2014,27510,,August,t,2014-08-17 06:32:26.383895,2014-08-17 06:35:57.390947
9607002,145,660,2014-08-18 05:30:00,2014-08-18 09:25:00,American Airlines,1342,21510,1,t,672,349,34510,ORD,t,08/18/2014,18860,,August,t,2014-08-17 06:32:37.382884,2014-08-17 06:35:57.152034
9607003,145,660,2014-08-18 05:30:00,2014-08-18 09:25:00,US Airways,1342,21510,1,t,672,349,34510,ORD,t,08/18/2014,18860,,August,t,2014-08-17 06:32:37.387449,2014-08-17 06:35:57.160112
9607005,145,660,2014-08-18 09:55:00,2014-08-18 14:00:00,US Airways,1370,21510,1,t,672,2397,34510,ORD,t,08/18/2014,18860,,August,t,2014-08-17 06:32:37.398141,2014-08-17 06:35:57.173806
9607007,145,660,2014-08-18 11:45:00,2014-08-18 15:50:00,US Airways,1044,21510,1,t,672,2397,34510,ORD,t,08/18/2014,18860,,August,t,2014-08-17 06:32:37.407456,2014-08-17 06:35:57.18791
9607009,145,660,2014-08-18 13:30:00,2014-08-18 17:35:00,US Airways,1618,21510,1,t,672,2397,34510,ORD,t,08/18/2014,18860,,August,t,2014-08-17 06:32:37.420222,2014-08-17 06:35:57.201408
9607001,145,137,2014-08-18 21:00:00,2014-08-18 23:52:00,US Airways,759,21360,1,t,672,826,31910,ORD,t,08/18/2014,18560,,August,t,2014-08-17 06:32:37.377931,2014-08-17 06:35:57.144959
9607060,145,717,2014-08-18 18:42:00,2014-08-18 22:00:00,Delta Air Lines,3522,46110,1,t,672,464,61610,ORD,t,08/18/2014,25910,,August,t,2014-08-17 06:32:37.691948,2014-08-17 06:35:57.261687
9607064,145,1026,2014-08-18 06:00:00,2014-08-18 08:34:00,Air Canada,7394,50380,1,t,672,1804,117456,ORD,t,08/18/2014,55010,t,August,t,2014-08-17 06:32:37.711222,2014-08-17 06:35:57.504711
