id,departure_airport_id,arrival_airport_id,departure_time,arrival_time,airline,flight_no,price,number_of_stops,is_first_flight,second_flight_destination,second_flight_no,original_price,origin_code,shortcut,pure_date,cheapest_price,epic,month,new,created_at,updated_at
11630598,923,174,2014-10-24 06:20:00,2014-10-24 11:20:00,American Airlines,1390,14860,1,t,922,1318,34810,SAN,t,10/24/2014,11710,,October,f,2014-08-16 20:33:19.599055,2014-08-17 15:30:12.032962
11772913,923,45,2014-10-01 22:30:00,2014-10-02 05:30:00,Delta Air Lines,2208,14160,1,t,174,2310,36810,SAN,t,10/01/2014,16010,,October,t,2014-08-17 18:14:57.094682,2014-08-17 18:17:51.798143
11630606,923,174,2014-10-24 13:05:00,2014-10-24 17:55:00,American Airlines,362,14860,1,t,922,2395,34810,SAN,t,10/24/2014,11710,,October,f,2014-08-16 20:33:19.677891,2014-08-17 15:30:12.058481
11701136,923,620,2014-08-28 20:05:00,2014-08-28 20:55:00,US Airways,3093,25460,1,t,19,2712,28710,SAN,t,08/28/2014,20310,,August,t,2014-08-17 16:13:30.292817,2014-08-17 16:15:33.138689
11630614,923,410,2014-10-24 15:04:00,2014-10-24 20:12:00,United,1074,16110,1,t,49,3501,21910,SAN,t,10/24/2014,12210,,October,f,2014-08-16 20:33:21.274779,2014-08-17 15:30:12.070295
11772697,923,660,2014-10-01 22:30:00,2014-10-02 06:14:00,American Airlines,1042,16160,1,t,45,4368,41610,SAN,t,10/01/2014,18510,t,October,t,2014-08-17 18:14:41.709853,2014-08-17 18:17:51.806217
11773453,923,660,2014-10-01 22:30:00,2014-10-02 06:14:00,US Airways,1042,27860,1,t,470,8397,41610,SAN,t,10/01/2014,18510,,October,t,2014-08-17 18:15:27.899133,2014-08-17 18:17:51.813557
11772718,923,145,2014-10-01 06:55:00,2014-10-01 12:55:00,American Airlines,130,15560,1,t,774,1221,20410,SAN,t,10/01/2014,14460,,October,t,2014-08-17 18:14:44.322653,2014-08-17 18:17:51.820849
11772520,923,809,2014-10-01 08:35:00,2014-10-01 16:44:00,US Airways,740,13760,1,t,827,3419,75110,SAN,t,10/01/2014,19160,t,October,t,2014-08-17 18:14:26.058335,2014-08-17 18:17:51.828288
11772690,923,145,2014-10-01 09:00:00,2014-10-01 14:55:00,American Airlines,92,16160,1,t,45,4355,20410,SAN,t,10/01/2014,14460,,October,t,2014-08-17 18:14:41.668107,2014-08-17 18:17:51.836193
