id,departure_airport_id,arrival_airport_id,departure_time,arrival_time,airline,flight_no,price,number_of_stops,is_first_flight,second_flight_destination,second_flight_no,original_price,origin_code,shortcut,pure_date,cheapest_price,epic,month,new,created_at,updated_at
32380832,947,811,2014-09-26 05:15:00,2014-09-26 07:59:00,US Airways,617,12060,1,t,108,2774,15210,SEA,t,09/26/2014,14160,t,September,t,2014-08-17 06:24:24.595451,2014-08-17 06:27:05.980801
32380349,947,45,2014-09-26 06:30:00,2014-09-26 14:15:00,Delta Air Lines,968,32569,1,t,659,345,52610,SEA,t,09/26/2014,18060,,September,t,2014-08-17 06:23:47.2092,2014-08-17 06:27:06.063294
32380177,947,137,2014-09-26 07:10:00,2014-09-26 15:12:00,American Airlines,1818,25410,1,t,660,731,45710,SEA,t,09/26/2014,21060,,September,t,2014-08-17 06:23:32.801082,2014-08-17 06:27:06.10222
32418913,947,410,2014-10-10 05:45:00,2014-10-10 12:00:00,United,270,16010,1,t,174,5549,19810,SEA,t,10/10/2014,16920,,October,t,2014-08-17 07:41:30.154594,2014-08-17 07:45:14.434423
32514359,947,137,2014-11-13 22:25:00,2014-11-14 06:08:00,US Airways,484,17210,1,t,945,5043,45710,SEA,t,11/13/2014,19160,,November,t,2014-08-17 10:44:38.198886,2014-08-17 10:47:21.617729
32479260,947,809,2014-11-01 08:35:00,2014-11-01 16:44:00,American Airlines,798,24060,1,t,827,4501,37810,SEA,t,11/01/2014,17460,,November,t,2014-08-17 09:40:11.593303,2014-08-17 09:44:01.780384
32356519,947,1156,2014-09-18 08:10:00,2014-09-18 16:08:00,United,1627,26060,1,t,863,1517,50910,SEA,t,09/18/2014,14960,,September,t,2014-08-17 05:36:21.009052,2014-08-17 05:41:09.234772
32356512,947,1156,2014-09-18 22:17:00,2014-09-19 06:10:00,United,1666,21860,1,t,863,1518,50910,SEA,t,09/18/2014,14960,,September,t,2014-08-17 05:36:20.90823,2014-08-17 05:41:09.218765
32518940,947,145,2014-11-15 06:00:00,2014-11-15 12:00:00,US Airways,2240,17660,1,t,663,6275,22110,SEA,t,11/15/2014,18360,,November,t,2014-08-17 10:53:13.427434,2014-08-17 10:57:54.582712
32477344,947,665,2014-10-31 06:55:00,2014-10-31 12:15:00,Delta Air Lines,2314,14160,1,t,762,3779,16210,SEA,t,10/31/2014,15060,,October,t,2014-08-17 09:35:58.165024,2014-08-17 09:39:44.44427
32475333,947,1156,2014-10-30 07:10:00,2014-10-30 15:01:00,United,1601,17360,1,t,945,6174,50910,SEA,t,10/30/2014,14960,,October,t,2014-08-17 09:31:48.889079,2014-08-17 09:34:23.26415
32500060,947,174,2014-11-08 23:55:00,2014-11-09 05:40:00,US Airways,1230,23710,1,t,708,1142,27110,SEA,t,11/08/2014,12860,,November,t,2014-08-17 10:18:50.6603,2014-08-17 10:21:15.925367
32477348,947,665,2014-10-31 11:30:00,2014-10-31 16:44:00,Delta Air Lines,588,14160,1,t,762,2341,21210,SEA,t,10/31/2014,15060,,October,t,2014-08-17 09:35:58.193772,2014-08-17 09:39:44.493974
32391862,947,809,2014-09-30 08:35:00,2014-09-30 16:44:00,American Airlines,798,31876,1,t,780,4097,37810,SEA,t,09/30/2014,17460,,September,t,2014-08-17 06:46:24.005144,2014-08-17 06:49:05.079443
