id,departure_airport_id,arrival_airport_id,departure_time,arrival_time,airline,flight_no,price,number_of_stops,is_first_flight,second_flight_destination,second_flight_no,original_price,origin_code,shortcut,pure_date,cheapest_price,epic,month,new,created_at,updated_at
24536882,924,174,2014-11-04 11:35:00,2014-11-04 17:10:00,American Airlines,2293,14060,1,t,145,2331,47010,SFO,t,11/04/2014,12460,,November,t,2014-08-17 12:23:45.023017,2014-08-17 12:27:43.215699
24567555,924,410,2014-11-14 13:50:00,2014-11-14 19:20:00,United,1727,26310,1,t,660,338,64210,SFO,t,11/14/2014,15560,,November,t,2014-08-17 13:10:16.822969,2014-08-17 13:14:23.682979
24556741,924,174,2014-11-10 08:20:00,2014-11-10 13:45:00,American Airlines,2298,16160,1,t,975,2371,47010,SFO,t,11/10/2014,14860,,November,t,2014-08-17 12:52:58.857578,2014-08-17 12:54:44.11894
24556747,924,174,2014-11-10 14:40:00,2014-11-10 20:10:00,American Airlines,1677,16160,1,t,975,1260,47010,SFO,t,11/10/2014,14860,,November,t,2014-08-17 12:52:58.890356,2014-08-17 12:54:44.144163
24355550,924,174,2014-09-02 00:20:00,2014-09-02 05:35:00,American Airlines,1052,23860,1,t,470,2385,47010,SFO,t,09/02/2014,15510,,September,t,2014-08-17 07:54:53.188428,2014-08-17 07:58:57.922981
24356519,924,659,2014-09-02 01:00:00,2014-09-02 07:22:00,Aeromexico,665,22649,1,t,118,445,43019,SFO,t,09/02/2014,20069,,September,t,2014-08-17 07:56:04.501638,2014-08-17 07:58:58.114088
24556750,924,665,2014-11-10 00:35:00,2014-11-10 06:05:00,Delta Air Lines,806,18160,1,t,975,2178,61010,SFO,t,11/10/2014,15860,,November,t,2014-08-17 12:52:58.905552,2014-08-17 12:54:44.164907
24377630,924,717,2014-09-09 15:00:00,2014-09-09 23:35:00,American Airlines,20,19084,1,t,1026,3490,22510,SFO,t,09/09/2014,16810,,September,t,2014-08-17 08:27:42.480554,2014-08-17 08:29:37.982766
24556751,924,665,2014-11-10 06:40:00,2014-11-10 12:22:00,Delta Air Lines,2566,18160,1,t,975,1987,61010,SFO,t,11/10/2014,15860,,November,t,2014-08-17 12:52:58.910759,2014-08-17 12:54:44.174809
24508800,924,174,2014-10-25 06:00:00,2014-10-25 11:30:00,US Airways,1180,17560,1,t,817,1469,50510,SFO,t,10/25/2014,12460,,October,t,2014-08-17 11:41:07.941979,2014-08-17 11:43:17.436193
24562616,924,174,2014-11-12 08:20:00,2014-11-12 13:45:00,US Airways,2298,17560,1,t,435,1382,50510,SFO,t,11/12/2014,14860,,November,t,2014-08-17 13:01:36.75723,2014-08-17 13:04:09.874713
24562619,924,174,2014-11-12 12:55:00,2014-11-12 18:30:00,US Airways,193,17560,1,t,435,2276,50510,SFO,t,11/12/2014,14860,,November,t,2014-08-17 13:01:36.772757,2014-08-17 13:04:09.88419
24562621,924,145,2014-11-12 23:40:00,2014-11-13 05:35:00,US Airways,1522,17560,1,t,435,8585,22810,SFO,t,11/12/2014,13210,,November,t,2014-08-17 13:01:36.783442,2014-08-17 13:04:10.313112
24462486,924,660,2014-10-09 23:55:00,2014-10-10 08:15:00,American Airlines,272,24910,1,t,971,1376,33410,SFO,t,10/09/2014,22210,,October,t,2014-08-17 10:31:55.547256,2014-08-17 10:34:30.065594
