id,departure_airport_id,arrival_airport_id,departure_time,arrival_time,airline,flight_no,price,number_of_stops,is_first_flight,second_flight_destination,second_flight_no,original_price,origin_code,shortcut,pure_date,cheapest_price,epic,month,new,created_at,updated_at
13950269,927,145,2014-09-24 07:25:00,2014-09-24 13:35:00,American Airlines,46,15260,1,t,92,1624,18410,SJC,t,09/24/2014,13210,,September,t,2014-08-17 07:51:51.848569,2014-08-17 07:52:33.668992
13982667,927,89,2014-11-04 13:15:00,2014-11-04 16:05:00,Alaska Airlines,2404,8059,1,t,828,2315,12210,SJC,t,11/04/2014,12210,t,November,t,2014-08-17 08:42:54.599593,2014-08-17 08:44:01.76578
13936881,927,174,2014-09-07 15:05:00,2014-09-07 20:35:00,American Airlines,189,21260,1,t,145,2344,35810,SJC,t,09/07/2014,16960,,September,t,2014-08-17 07:31:28.664628,2014-08-17 07:32:03.358732
13936886,927,174,2014-09-07 08:30:00,2014-09-07 14:00:00,US Airways,1231,25860,1,t,145,2319,50310,SJC,t,09/07/2014,16960,,September,t,2014-08-17 07:31:28.695282,2014-08-17 07:32:03.388074
13940500,927,174,2014-09-12 08:30:00,2014-09-12 14:00:00,US Airways,1231,29469,1,t,659,2417,50310,SJC,t,09/12/2014,16810,,September,t,2014-08-17 07:36:38.82043,2014-08-17 07:37:43.493211
13975967,927,174,2014-10-26 12:45:00,2014-10-26 18:15:00,American Airlines,1255,20660,1,t,716,2280,35810,SJC,t,10/26/2014,16960,,October,t,2014-08-17 08:32:47.0157,2014-08-17 08:33:02.693905
13956587,927,174,2014-10-02 08:30:00,2014-10-02 14:00:00,American Airlines,1231,17060,1,t,718,1148,35810,SJC,t,10/02/2014,16810,,October,t,2014-08-17 08:02:05.605246,2014-08-17 08:02:53.882167
13956622,927,174,2014-10-02 10:00:00,2014-10-02 15:30:00,American Airlines,1240,17460,1,t,137,2238,35810,SJC,t,10/02/2014,16810,,October,t,2014-08-17 08:02:10.219697,2014-08-17 08:02:53.88956
13940504,927,174,2014-09-12 10:00:00,2014-09-12 15:30:00,US Airways,1240,29469,1,t,659,2350,50310,SJC,t,09/12/2014,16810,,September,t,2014-08-17 07:36:38.838976,2014-08-17 07:37:43.506381
13966186,927,174,2014-10-14 06:20:00,2014-10-14 11:55:00,US Airways,269,14060,1,t,145,2311,35810,SJC,t,10/14/2014,16960,t,October,t,2014-08-17 08:17:29.001464,2014-08-17 08:18:03.155802
