Standard outbound,Standard inbound,Shortcut outbound,Shortcut inbound,Lowest standard return,Lowest shortcut return
402,217,116,248,618,333
402,217,178,142,618,320
402,217,166,183,618,349
365,217,166,364,581,383
365,365,162,304,674,466
365,317,166,280,661,446
365,317,160,246,674,406
217,217,146,280,426,363
217,257,131,132,453,263
217,257,131,132,426,263
217,217,156,132,396,288
217,200,162,110,406,272
217,160,142,110,376,252
217,200,121,134,396,255
160,145,124,132,304,256
160,145,106,132,304,238
160,145,106,132,304,238
160,145,106,132,304,238
160,145,121,128,304,249
160,145,106,148,304,251
160,145,107,205,304,252
145,145,106,132,289,238
145,145,106,132,289,238
145,145,106,134,289,240
145,145,106,148,289,251
200,145,116,152,309,261
145,145,106,110,289,216
145,217,107,132,329,239
145,145,106,132,289,238
145,145,106,132,289,238
145,145,106,132,289,238
200,145,116,132,309,248
145,145,107,110,289,217
145,145,106,110,289,216
200,250,178,174,369,352
145,237,106,134,369,240
145,145,106,132,289,238
145,145,106,132,289,238
217,145,116,132,329,248
217,145,116,110,299,226
145,145,106,110,289,216
145,200,116,132,309,248
145,145,106,132,289,238
145,145,106,132,289,238
145,145,106,132,289,238
145,145,106,134,289,240
145,200,107,134,309,241
145,145,106,134,289,240
145,200,131,205,309,309
145,217,106,132,309,238
145,145,106,132,289,238
145,145,106,132,289,238
145,145,132,134,289,266
200,145,152,134,309,286
145,145,106,134,289,240
145,217,139,152,329,291
200,145,106,134,329,240
145,145,106,132,289,238
145,145,106,132,289,238
145,145,106,134,289,240
145,145,116,132,289,248
145,145,106,134,289,240
200,217,163,110,329,273
145,145,106,110,289,216
145,145,106,110,289,216
145,145,106,110,289,216
145,145,106,132,289,238
145,145,116,132,289,248
145,145,106,134,289,240
145,200,116,132,309,248
145,145,106,132,289,238
145,145,106,132,289,238
145,145,106,132,289,238
145,145,106,132,289,238
145,145,116,110,289,226
145,145,106,110,289,216
145,237,107,110,369,217
145,217,106,110,309,216
145,145,106,110,289,216
145,145,106,110,289,216
200,145,106,132,299,238
200,145,116,128,299,244
145,145,106,99999999,289,251
145,145,107,99999999,289,252
145,145,106,99999999,289,251
145,145,106,99999999,289,251
145,145,106,99999999,289,251
145,145,106,99999999,289,251
145,200,116,99999999,329,316
145,145,106,99999999,289,251
