Standard outbound,Standard inbound,Shortcut outbound,Shortcut inbound,Lowest standard return,Lowest shortcut return
204,134,166,116,337,282
204,134,99999999,107,337,311
204,134,156,67,337,223
164,134,156,67,297,223
164,134,156,67,297,223
164,134,203,82,297,246
164,134,132,147,297,266
134,99,112,103,233,211
134,99,107,67,233,174
134,99,107,67,233,174
134,99,122,67,233,189
134,99,132,67,233,199
134,99,99999999,77,233,211
134,99,99999999,63,233,197
99,55,123,63,153,153
99,49,113,63,147,147
99,49,113,63,147,147
99,55,113,63,153,153
99,55,99,63,153,153
99,49,99999999,92,147,147
99,84,99,63,183,162
55,55,104,63,109,109
49,49,104,63,97,97
49,49,104,63,97,97
55,55,104,63,109,109
55,55,99,63,109,109
49,49,151,92,97,97
55,84,117,63,139,118
55,55,104,63,109,109
49,49,104,63,97,97
49,49,104,63,97,97
55,55,99,63,109,109
55,55,99,63,109,109
49,49,151,63,97,97
55,84,117,63,139,118
55,55,104,63,109,109
49,49,104,63,97,97
49,49,104,63,97,97
55,55,99,63,109,109
55,55,99,63,109,109
49,49,151,92,97,97
55,55,117,63,109,109
55,55,99,63,109,109
49,49,104,63,97,97
49,49,112,63,97,97
55,55,104,63,109,109
55,85,112,63,139,118
49,49,151,63,97,97
55,55,117,63,109,109
55,55,104,63,109,109
49,49,104,63,97,97
49,49,104,63,97,97
55,55,119,63,109,109
55,55,132,63,109,109
49,49,99999999,63,97,97
55,84,117,63,139,118
55,55,113,63,109,109
49,49,104,63,97,97
49,49,104,63,97,97
55,55,104,63,109,109
55,55,112,63,109,109
49,49,99999999,63,97,97
69,55,117,63,124,124
55,55,99,63,109,109
49,49,104,77,97,97
49,49,104,63,97,97
55,55,104,63,109,109
55,55,99,63,109,109
49,49,203,231,97,97
55,55,117,63,109,109
55,55,104,63,109,109
49,49,104,77,97,97
49,49,104,63,97,97
55,55,104,63,109,109
55,55,112,63,109,109
49,49,203,63,97,97
55,55,117,63,109,109
55,55,104,63,109,109
49,49,104,63,97,97
49,49,104,63,97,97
55,55,104,63,109,109
55,55,112,63,109,109
49,49,99999999,63,97,97
55,55,119,99999999,109,109
55,55,104,99999999,109,109
49,49,104,99999999,97,97
49,49,104,99999999,97,97
55,55,104,99999999,109,109
55,55,117,99999999,109,109
49,49,99999999,99999999,97,97
