Standard outbound,Standard inbound,Shortcut outbound,Shortcut inbound,Lowest standard return,Lowest shortcut return
419,166,194,99999999,585,360
289,144,142,99999999,432,286
253,144,142,99999999,396,286
196,151,142,99999999,346,293
188,171,142,99999999,359,313
188,144,142,99999999,332,286
188,144,165,99999999,332,309
151,168,132,99999999,319,300
144,127,132,99999999,271,259
144,128,132,99999999,272,260
148,108,142,99999999,255,250
168,108,166,99999999,275,274
108,108,117,99999999,215,215
144,108,124,99999999,252,232
148,122,152,99999999,270,270
128,103,106,99999999,230,209
103,103,117,99999999,205,205
108,108,106,99999999,215,214
128,108,118,99999999,235,226
103,108,97,99999999,210,205
128,108,132,99999999,235,235
108,122,106,99999999,230,228
103,103,97,99999999,205,200
103,103,97,99999999,205,200
108,108,97,99999999,215,205
128,108,106,99999999,235,214
103,108,97,99999999,210,205
108,108,132,99999999,215,215
108,108,106,99999999,215,214
103,103,97,99999999,205,200
103,103,97,99999999,205,200
108,108,132,99999999,215,215
108,108,119,99999999,215,215
103,103,107,99999999,205,205
108,108,132,99999999,215,215
108,108,97,99999999,215,205
103,103,97,99999999,205,200
103,103,97,99999999,205,200
108,108,106,99999999,215,214
108,108,106,99999999,215,214
103,108,106,99999999,210,210
108,108,126,99999999,215,215
108,108,106,99999999,215,214
103,103,106,99999999,205,205
103,103,97,99999999,205,200
108,108,97,99999999,215,205
108,108,116,99999999,215,215
103,108,97,99999999,210,205
108,108,121,99999999,215,215
108,122,97,99999999,230,219
103,103,97,99999999,205,200
103,103,97,99999999,205,200
108,108,138,99999999,215,215
148,108,153,99999999,255,255
103,108,106,99999999,210,210
108,108,132,99999999,215,215
108,108,116,99999999,215,215
103,103,106,99999999,205,205
103,103,97,99999999,205,200
108,108,127,99999999,215,215
108,108,132,99999999,215,215
103,108,97,99999999,210,205
108,108,138,99999999,215,215
108,108,106,99999999,215,214
103,103,97,99999999,205,200
103,103,97,99999999,205,200
108,108,97,99999999,215,205
108,108,132,99999999,215,215
103,108,97,99999999,210,205
108,108,97,99999999,215,205
108,108,97,99999999,215,205
103,103,97,99999999,205,200
103,103,97,99999999,205,200
108,108,97,99999999,215,205
108,108,97,99999999,215,205
103,108,97,99999999,210,205
108,108,126,99999999,215,215
108,108,106,99999999,215,214
103,103,97,99999999,205,200
103,103,97,99999999,205,200
108,108,105,99999999,215,213
108,108,105,99999999,215,213
103,108,105,99999999,210,210
108,108,121,99999999,215,215
108,108,106,99999999,215,214
103,108,106,99999999,210,210
103,103,105,99999999,205,205
108,122,105,99999999,230,227
108,148,105,99999999,255,253
103,144,154,99999999,247,247
