Standard outbound,Standard inbound,Shortcut outbound,Shortcut inbound,Lowest standard return,Lowest shortcut return
931,181,186,133,1112,319
921,181,187,133,993,320
921,181,176,133,993,309
258,191,176,152,449,328
258,257,176,153,514,329
258,181,182,191,439,363
258,181,195,199,439,376
181,191,160,143,371,303
181,181,142,133,361,275
178,128,142,133,305,270
191,148,170,133,339,303
201,148,180,133,349,313
178,148,126,142,325,268
181,148,129,133,329,262
191,178,149,133,369,282
181,128,126,133,309,254
128,128,126,133,255,254
128,128,129,133,255,255
148,148,129,133,295,262
178,128,119,133,305,247
181,148,126,133,329,259
148,128,119,133,275,247
128,128,119,133,255,247
128,128,119,133,255,247
128,148,119,133,275,252
148,148,119,133,295,252
128,128,126,133,255,254
178,148,126,133,325,259
148,128,119,133,275,247
128,128,119,133,255,247
128,128,119,133,255,247
128,148,119,133,275,252
148,148,119,133,295,252
128,128,126,133,255,254
181,148,119,133,329,252
148,148,119,133,295,252
128,128,119,133,255,247
128,128,119,133,255,247
128,148,119,142,275,261
148,148,119,153,295,267
128,128,126,133,255,254
178,128,119,133,305,247
148,128,126,133,275,254
128,128,119,133,255,247
128,128,119,133,255,247
128,128,139,133,255,255
148,148,139,217,295,287
128,128,119,159,255,247
178,128,119,133,305,247
148,148,119,133,295,252
128,128,119,133,255,247
128,128,119,133,255,247
148,148,145,133,295,278
148,128,177,133,275,275
128,128,126,153,255,254
178,128,141,133,305,269
178,208,119,133,385,252
128,128,119,133,255,247
128,128,126,133,255,254
128,128,126,133,255,254
148,128,126,133,275,254
178,128,126,133,305,254
208,128,197,133,335,325
128,128,119,133,255,247
128,128,119,133,255,247
128,128,126,133,255,254
128,128,126,133,255,254
128,128,126,133,255,254
128,128,126,159,255,254
148,128,119,133,275,247
128,128,119,133,255,247
128,128,119,133,255,247
128,128,126,133,255,254
128,128,126,133,255,254
128,128,126,133,255,254
128,128,126,133,255,254
148,128,126,133,275,254
128,128,119,133,255,247
128,128,119,133,255,247
128,128,126,133,255,254
128,128,119,133,255,247
128,128,119,133,255,247
128,128,119,133,255,247
148,128,126,99999999,275,254
128,128,119,99999999,255,247
128,128,119,99999999,255,247
128,128,119,99999999,255,247
128,178,126,99999999,305,304
128,178,126,99999999,305,304
128,178,126,99999999,305,304
