Standard outbound,Standard inbound,Shortcut outbound,Shortcut inbound,Lowest standard return,Lowest shortcut return
284,216,277,192,500,469
279,159,251,99999999,437,410
253,216,251,268,469,467
163,216,222,356,379,379
249,239,325,302,488,488
163,219,356,356,382,382
249,289,245,424,538,534
164,394,194,469,558,558
159,239,142,283,397,381
173,171,142,99999999,344,313
173,171,266,147,344,320
169,149,245,99999999,318,318
164,168,317,198,332,332
103,182,197,393,285,285
103,129,350,198,232,232
109,109,181,138,217,217
103,109,142,138,212,212
103,113,142,99999999,215,215
103,149,293,99999999,252,252
103,143,112,138,245,241
149,171,271,363,319,319
103,129,99999999,198,232,232
103,109,142,138,212,212
103,103,142,138,205,205
103,113,127,99999999,215,215
123,129,142,298,252,252
103,123,142,99999999,225,225
150,253,277,384,403,403
113,123,99999999,384,235,235
103,113,142,138,215,215
103,103,142,138,205,205
113,113,460,99999999,225,225
131,103,298,99999999,234,234
103,113,142,138,215,215
150,213,370,312,363,363
129,103,99999999,138,232,232
103,103,142,138,205,205
103,103,142,138,205,205
103,103,99999999,99999999,205,205
113,103,142,99999999,215,215
103,103,142,138,205,205
150,143,395,312,293,293
103,103,99999999,138,205,205
103,103,142,138,205,205
103,103,142,138,205,205
103,103,142,99999999,205,205
113,103,142,99999999,215,215
103,103,142,99999999,205,205
143,133,201,138,275,275
103,103,99999999,138,205,205
103,103,142,138,205,205
103,103,99999999,138,205,205
103,103,99999999,99999999,205,205
113,131,177,99999999,244,244
103,103,99999999,138,205,205
150,131,325,384,281,281
113,103,99999999,99999999,215,215
103,103,99999999,138,205,205
103,103,99999999,138,205,205
103,103,99999999,99999999,205,205
103,103,99999999,99999999,205,205
103,103,99999999,138,205,205
168,131,271,138,299,299
103,129,99999999,138,232,232
103,123,142,99999999,225,225
103,103,142,99999999,205,205
103,150,99999999,99999999,253,253
103,149,99999999,99999999,252,252
103,109,142,138,212,212
149,129,142,138,277,271
131,103,142,138,234,234
103,103,127,138,205,205
113,123,128,138,235,235
131,129,142,99999999,260,260
113,131,127,99999999,244,244
103,103,112,99999999,205,205
129,123,142,138,252,252
129,129,99999999,138,257,257
103,113,142,138,215,215
123,113,142,138,235,235
123,131,142,138,254,254
113,123,142,138,235,235
103,109,112,99999999,212,212
129,123,142,99999999,252,252
129,131,99999999,99999999,260,260
103,123,142,99999999,225,225
103,113,142,99999999,215,215
129,131,142,99999999,260,260
123,183,142,99999999,305,305
103,171,99999999,99999999,274,274
