Standard outbound,Standard inbound,Shortcut outbound,Shortcut inbound,Lowest standard return,Lowest shortcut return
903,903,99999999,99999999,1512,1512
1098,903,99999999,99999999,1675,1675
676,903,99999999,99999999,1486,1486
706,1098,99999999,99999999,1378,1378
572,938,99999999,99999999,1087,1087
520,703,99999999,99999999,1223,1223
676,1320,99999999,99999999,809,809
501,676,99999999,99999999,988,988
455,676,99999999,99999999,804,804
455,501,99999999,99999999,766,766
520,455,99999999,99999999,809,809
610,471,99999999,99999999,1076,1076
471,662,99999999,99999999,792,792
455,471,99999999,99999999,766,766
455,455,99999999,99999999,766,766
455,455,99999999,99999999,766,766
455,455,99999999,99999999,766,766
471,455,99999999,99999999,792,792
471,471,99999999,99999999,885,885
471,572,99999999,99999999,809,809
501,610,99999999,99999999,809,809
455,1320,99999999,99999999,809,809
455,1320,99999999,99999999,804,804
455,501,99999999,99999999,766,766
471,455,99999999,99999999,792,792
471,471,99999999,99999999,809,809
471,662,99999999,99999999,809,809
501,520,99999999,99999999,809,809
1320,1320,99999999,99999999,809,809
1320,1320,99999999,99999999,809,809
501,455,99999999,99999999,804,804
471,455,99999999,99999999,792,792
471,471,99999999,99999999,809,809
471,523,99999999,99999999,792,792
501,471,99999999,99999999,809,809
1320,1320,99999999,99999999,809,809
1320,1320,99999999,99999999,809,809
501,455,99999999,99999999,804,804
471,455,99999999,99999999,792,792
471,471,99999999,99999999,809,809
471,520,99999999,99999999,809,809
501,520,99999999,99999999,809,809
1320,1320,99999999,99999999,809,809
1320,1320,99999999,99999999,809,809
577,455,99999999,99999999,809,809
471,455,99999999,99999999,792,792
471,471,99999999,99999999,809,809
471,520,99999999,99999999,792,792
501,471,99999999,99999999,809,809
1320,1320,99999999,99999999,809,809
1320,1320,99999999,99999999,1077,1077
577,501,99999999,99999999,809,809
610,455,99999999,99999999,809,809
610,471,99999999,99999999,1058,1058
651,651,99999999,99999999,809,809
501,471,99999999,99999999,809,809
1320,1320,99999999,99999999,809,809
1320,1320,99999999,99999999,809,809
577,455,99999999,99999999,809,809
471,577,99999999,99999999,792,792
520,471,99999999,99999999,874,874
471,520,99999999,99999999,792,792
501,471,99999999,99999999,809,809
1320,1320,99999999,99999999,809,809
1320,1320,99999999,99999999,809,809
501,455,99999999,99999999,804,804
471,455,99999999,99999999,792,792
471,471,99999999,99999999,833,833
471,520,99999999,99999999,792,792
455,471,99999999,99999999,809,809
1320,1320,99999999,99999999,809,809
1320,1320,99999999,99999999,809,809
455,455,99999999,99999999,766,766
471,455,99999999,99999999,792,792
520,471,99999999,99999999,874,874
471,520,99999999,99999999,792,792
455,471,99999999,99999999,877,877
1320,1320,99999999,99999999,877,877
1320,1320,99999999,99999999,877,877
455,455,99999999,99999999,766,766
471,455,99999999,99999999,792,792
471,471,99999999,99999999,908,908
471,610,99999999,99999999,792,792
455,471,99999999,99999999,766,766
1320,455,99999999,99999999,944,944
1320,455,99999999,99999999,944,944
455,455,99999999,99999999,766,766
471,455,99999999,99999999,792,792
471,471,99999999,99999999,792,792
471,471,99999999,99999999,792,792
