Standard outbound,Standard inbound,Shortcut outbound,Shortcut inbound,Lowest standard return,Lowest shortcut return
599,351,99999999,192,950,791
599,336,99999999,335,935,934
599,336,99999999,192,935,791
539,419,99999999,292,957,831
539,419,99999999,340,957,879
539,336,99999999,316,875,855
539,366,99999999,316,905,855
336,239,99999999,413,575,575
336,213,99999999,192,548,528
336,164,392,145,500,481
351,164,99999999,204,515,515
351,193,277,216,544,470
346,164,277,271,510,441
336,239,99999999,212,575,548
164,191,99999999,167,355,331
164,164,99999999,152,327,316
164,164,99999999,216,327,327
164,199,99999999,290,363,363
193,169,99999999,234,362,362
164,164,99999999,300,327,327
193,321,99999999,266,514,459
164,239,99999999,234,402,398
164,164,99999999,145,327,309
164,164,99999999,234,327,327
164,164,99999999,231,328,328
169,193,99999999,234,361,361
164,321,99999999,234,484,398
169,366,99999999,266,535,435
164,228,99999999,197,392,361
164,164,99999999,145,327,309
193,164,99999999,145,356,338
239,164,99999999,145,402,384
169,176,99999999,234,345,345
164,184,99999999,260,348,348
169,321,99999999,386,489,489
164,191,99999999,152,355,316
164,164,99999999,261,327,327
199,164,99999999,191,362,362
199,164,99999999,145,363,344
169,169,99999999,145,338,314
164,164,99999999,161,327,325
169,193,99999999,271,361,361
164,199,99999999,290,362,362
164,164,99999999,145,327,309
164,164,99999999,99999999,327,327
199,164,99999999,161,363,360
169,169,99999999,99999999,338,338
164,164,99999999,99999999,328,328
169,239,99999999,290,408,408
164,279,99999999,263,442,427
164,164,99999999,234,327,327
164,164,99999999,261,327,327
239,184,99999999,271,423,423
193,169,99999999,191,361,361
193,164,99999999,234,357,357
169,239,99999999,302,407,407
164,199,99999999,256,362,362
164,164,99999999,145,327,309
164,164,99999999,130,327,294
199,164,99999999,256,363,363
169,169,99999999,288,338,338
164,184,99999999,234,348,348
169,279,99999999,266,447,435
164,193,99999999,234,356,356
164,164,99999999,130,327,294
164,164,99999999,130,327,294
199,164,99999999,145,363,344
169,169,99999999,145,337,314
164,164,99999999,322,327,327
169,228,99999999,271,397,397
164,199,99999999,152,363,316
164,164,99999999,145,327,309
164,164,99999999,145,327,309
199,164,99999999,277,363,363
169,193,99999999,270,361,361
164,239,99999999,258,402,402
169,228,99999999,261,397,397
164,193,99999999,152,357,316
164,164,99999999,145,327,309
164,164,99999999,145,327,309
164,164,99999999,145,327,309
169,169,99999999,145,337,314
164,164,99999999,99999999,327,327
169,169,99999999,99999999,337,337
164,164,99999999,99999999,327,327
164,164,99999999,99999999,327,327
164,164,99999999,99999999,327,327
164,169,99999999,99999999,332,332
169,169,99999999,99999999,337,337
164,169,99999999,99999999,332,332
