Standard outbound,Standard inbound,Shortcut outbound,Shortcut inbound,Lowest standard return,Lowest shortcut return
636,376,275,326,1012,601
629,354,202,423,983,556
629,384,251,283,1013,534
436,384,202,432,820,586
436,384,202,273,787,475
436,324,202,382,760,526
436,384,160,437,820,544
269,384,182,341,653,523
269,309,172,205,578,377
269,309,172,255,578,427
269,269,192,192,538,384
324,229,192,196,553,388
269,229,182,192,498,374
269,229,174,169,498,343
229,203,172,169,432,341
269,203,160,169,472,329
269,203,172,169,472,341
229,203,174,169,432,343
229,203,172,169,432,341
199,199,160,169,398,329
199,203,126,169,402,295
203,203,171,169,405,340
203,203,171,169,405,340
203,203,172,169,405,341
179,203,171,169,382,340
199,203,171,169,402,340
179,199,172,169,378,341
179,199,126,169,378,295
203,199,171,169,402,340
203,203,172,169,405,341
203,203,171,169,405,340
199,179,171,169,378,340
203,203,171,169,405,340
179,203,126,169,382,295
199,203,171,169,402,340
203,203,171,169,405,340
203,203,172,169,405,341
203,159,171,169,362,330
179,203,126,169,382,295
179,203,157,169,382,326
199,203,171,169,402,340
203,179,171,169,382,340
203,179,171,169,382,340
203,159,172,169,362,331
203,159,172,169,362,331
199,203,171,169,402,340
199,199,171,169,398,340
159,159,171,169,317,317
203,179,126,169,382,295
199,199,172,169,398,341
159,159,126,169,317,285
159,199,171,169,358,328
199,203,171,169,402,340
179,199,171,169,378,340
159,159,126,169,317,285
203,179,126,169,382,295
203,179,171,169,382,340
159,159,126,169,317,285
159,159,126,169,317,285
179,203,171,169,382,340
179,179,171,169,358,340
199,159,176,169,358,335
203,179,171,169,382,340
203,199,172,169,402,341
203,159,172,169,362,331
203,159,171,169,362,330
199,199,171,169,398,340
179,179,172,99999999,358,351
203,159,126,169,362,285
203,179,186,169,382,355
203,179,126,169,382,295
199,159,172,169,358,331
159,159,172,169,318,318
199,203,172,169,402,341
179,179,157,169,358,326
203,159,172,169,362,331
179,179,171,179,358,350
203,179,186,169,382,355
159,159,172,169,317,317
159,159,172,169,317,317
179,179,172,169,358,341
179,179,157,169,358,326
159,159,172,169,318,318
179,179,172,99999999,358,351
179,179,172,99999999,358,351
159,159,172,99999999,318,318
159,159,172,99999999,318,318
179,199,157,99999999,378,356
179,203,172,99999999,382,375
199,223,172,99999999,422,395
