Standard outbound,Standard inbound,Shortcut outbound,Shortcut inbound,Lowest standard return,Lowest shortcut return
599,439,99999999,229,1037,828
599,439,99999999,255,1037,854
599,439,99999999,290,1037,889
539,439,878,268,977,807
539,439,99999999,268,977,807
539,439,99999999,305,977,844
539,439,99999999,305,977,844
439,279,99999999,268,717,707
439,389,99999999,320,818,759
439,279,99999999,99999999,717,717
439,239,99999999,135,677,574
439,239,99999999,135,677,574
439,239,99999999,280,677,677
439,239,99999999,140,677,579
239,179,99999999,140,417,379
239,179,99999999,140,417,379
239,179,99999999,135,417,374
239,179,99999999,135,417,374
239,179,99999999,212,417,417
239,179,99999999,99999999,417,417
239,179,99999999,233,417,417
179,179,99999999,140,357,319
179,179,99999999,99999999,357,357
179,179,99999999,191,357,357
179,179,99999999,233,358,358
179,179,99999999,99999999,357,357
179,239,99999999,290,417,417
199,179,99999999,280,378,378
179,179,99999999,140,357,319
179,179,99999999,135,357,314
179,179,99999999,99999999,357,357
179,199,99999999,249,377,377
179,179,99999999,99999999,357,357
179,179,99999999,99999999,357,357
179,179,99999999,280,357,357
179,179,99999999,140,357,319
179,179,99999999,135,357,314
199,179,99999999,99999999,378,378
179,179,99999999,305,357,357
194,179,99999999,99999999,372,372
179,179,99999999,99999999,357,357
179,179,99999999,99999999,357,357
179,179,99999999,268,357,357
179,179,99999999,191,357,357
179,179,99999999,99999999,357,357
179,199,99999999,99999999,377,377
179,179,99999999,99999999,357,357
179,179,99999999,99999999,357,357
179,179,99999999,233,357,357
179,199,99999999,99999999,377,377
179,179,99999999,99999999,358,358
179,179,99999999,99999999,357,357
179,179,99999999,99999999,357,357
239,179,99999999,99999999,417,417
179,179,99999999,191,357,357
179,239,99999999,233,417,412
179,179,99999999,178,357,357
179,179,99999999,99999999,357,357
179,179,99999999,99999999,357,357
179,179,99999999,290,357,357
179,179,99999999,99999999,357,357
179,179,99999999,191,357,357
239,179,99999999,280,417,417
239,179,99999999,212,417,417
179,179,99999999,212,357,357
179,179,99999999,99999999,357,357
179,179,99999999,99999999,357,357
179,179,99999999,99999999,357,357
179,179,99999999,191,357,357
179,179,99999999,268,357,357
179,179,99999999,135,357,314
179,179,99999999,135,357,314
179,179,99999999,135,357,314
179,179,99999999,191,357,357
179,179,99999999,191,357,357
179,179,99999999,191,357,357
179,179,99999999,99999999,357,357
179,179,99999999,135,357,314
179,179,99999999,135,357,314
179,179,99999999,99999999,357,357
179,179,99999999,99999999,357,357
179,179,99999999,99999999,357,357
179,179,99999999,99999999,357,357
179,179,99999999,99999999,357,357
179,179,99999999,99999999,357,357
179,179,99999999,99999999,357,357
179,179,99999999,99999999,357,357
179,179,99999999,99999999,357,357
179,239,99999999,99999999,417,417
179,329,99999999,99999999,507,507
