Standard outbound,Standard inbound,Shortcut outbound,Shortcut inbound,Lowest standard return,Lowest shortcut return
549,299,314,209,847,523
549,299,304,175,847,479
549,299,304,175,847,479
399,299,304,435,697,603
399,284,325,230,683,555
399,284,359,377,683,643
399,309,261,297,707,558
284,399,282,332,683,614
284,284,196,272,568,468
284,194,202,199,478,396
284,194,271,175,478,446
284,179,276,173,463,449
284,179,239,175,463,414
284,179,239,175,463,414
194,149,239,191,343,343
179,149,217,157,328,328
179,169,239,157,348,336
179,169,239,175,348,348
179,169,237,175,348,348
179,169,307,175,348,348
194,169,99999999,175,362,362
169,149,99999999,173,318,318
149,149,99999999,175,298,298
149,149,99999999,175,298,298
169,169,99999999,175,337,337
169,169,99999999,173,337,337
149,149,237,175,298,298
179,169,99999999,175,348,348
169,149,99999999,173,318,318
169,169,99999999,157,337,326
149,149,99999999,186,298,298
169,169,277,191,337,337
169,169,99999999,175,337,337
149,169,307,175,318,318
169,169,99999999,175,338,338
179,149,99999999,186,328,328
169,169,141,175,337,310
149,149,99999999,157,298,298
149,169,99999999,173,318,318
149,169,99999999,175,318,318
169,149,99999999,173,318,318
169,169,229,173,338,338
169,169,99999999,191,337,337
169,169,141,191,337,310
169,169,99999999,191,337,337
169,169,99999999,191,337,337
149,169,99999999,191,318,318
169,149,99999999,175,318,318
169,169,99999999,175,337,337
149,149,99999999,175,298,298
169,149,141,175,318,290
169,169,99999999,175,337,337
179,169,99999999,175,348,348
169,169,99999999,175,337,337
169,169,99999999,175,337,337
169,179,99999999,175,348,344
169,149,187,175,318,318
169,149,187,157,318,318
169,149,99999999,175,318,318
169,149,187,175,318,318
169,149,99999999,175,318,318
169,149,99999999,173,318,318
209,149,237,175,358,358
169,149,187,173,318,318
169,169,169,157,337,326
169,169,169,175,337,337
149,169,169,175,318,318
149,149,169,173,298,298
169,169,169,191,337,337
169,149,99999999,191,318,318
169,149,99999999,178,318,318
169,169,169,191,337,337
169,169,169,191,337,337
149,149,169,191,298,298
149,149,169,191,298,298
169,169,169,179,337,337
169,149,187,173,318,318
169,149,99999999,173,318,318
169,169,169,157,337,326
169,149,169,179,318,318
149,149,169,178,298,298
169,149,169,172,318,318
169,169,169,179,337,337
149,149,99999999,99999999,298,298
149,149,99999999,99999999,298,298
169,169,99999999,99999999,337,337
149,169,237,99999999,318,318
149,169,169,99999999,318,318
149,169,169,99999999,318,318
169,219,99999999,99999999,388,388
