Standard outbound,Standard inbound,Shortcut outbound,Shortcut inbound,Lowest standard return,Lowest shortcut return
479,269,424,244,707,668
479,229,368,234,707,597
479,229,368,234,707,597
379,229,276,288,607,505
379,269,276,212,647,488
379,269,379,271,647,647
379,292,99999999,357,671,671
229,383,99999999,326,612,555
229,309,202,271,537,473
229,263,176,271,492,439
229,193,99999999,271,422,422
229,229,99999999,271,457,457
229,229,99999999,267,458,458
229,229,99999999,275,457,457
173,193,277,232,365,365
191,169,99999999,286,359,359
173,169,99999999,271,342,342
173,173,99999999,224,346,346
173,169,99999999,224,342,342
173,193,99999999,256,365,365
173,173,99999999,99999999,346,346
159,169,99999999,138,327,297
159,169,188,138,327,297
159,159,99999999,240,317,317
169,193,99999999,271,362,362
169,169,99999999,99999999,338,338
169,173,99999999,275,342,342
159,173,99999999,271,332,332
159,173,99999999,99999999,332,332
159,159,99999999,138,317,297
159,159,99999999,99999999,317,317
159,173,99999999,271,332,332
159,169,99999999,138,328,297
191,159,99999999,152,349,343
193,173,99999999,152,366,345
159,159,216,152,318,311
159,159,99999999,152,317,311
159,159,99999999,152,317,311
159,159,99999999,152,318,311
159,159,99999999,138,317,297
169,159,99999999,99999999,327,327
159,159,99999999,99999999,317,317
159,159,99999999,152,317,311
159,159,99999999,138,317,297
159,159,99999999,99999999,317,317
159,191,99999999,99999999,349,349
159,159,99999999,99999999,317,317
159,159,99999999,152,317,311
159,159,99999999,99999999,317,317
159,159,99999999,152,318,311
159,159,99999999,152,317,311
159,169,99999999,99999999,327,327
159,173,99999999,191,332,332
169,159,99999999,99999999,327,327
159,159,99999999,152,317,311
169,159,99999999,99999999,327,327
191,159,99999999,138,349,329
159,159,99999999,138,317,297
159,159,99999999,138,317,297
159,159,99999999,138,317,297
159,159,99999999,232,317,317
159,159,99999999,152,317,311
169,159,99999999,138,327,307
169,159,99999999,138,328,307
159,159,99999999,152,317,311
159,159,335,138,317,297
159,159,99999999,152,317,311
159,159,99999999,138,317,297
159,159,99999999,138,317,297
159,159,99999999,138,317,297
159,159,99999999,138,317,297
159,159,99999999,138,317,297
159,159,99999999,138,317,297
159,159,99999999,99999999,317,317
159,159,99999999,138,317,297
159,159,99999999,138,317,297
159,159,99999999,152,317,311
159,159,99999999,138,317,297
159,159,99999999,138,317,297
159,159,99999999,138,317,297
159,159,99999999,152,317,311
159,159,99999999,138,317,297
159,159,99999999,138,317,297
159,159,99999999,99999999,317,317
159,159,99999999,99999999,317,317
159,159,99999999,99999999,317,317
159,159,99999999,99999999,317,317
159,159,99999999,99999999,317,317
159,223,99999999,99999999,369,369
159,203,99999999,99999999,362,362
