Standard outbound,Standard inbound,Shortcut outbound,Shortcut inbound,Lowest standard return,Lowest shortcut return
203,108,150,102,311,252
188,108,132,102,295,234
188,108,132,111,295,240
158,108,132,102,265,234
158,108,132,102,265,234
158,108,189,132,265,265
158,108,112,106,265,218
108,85,112,112,192,192
108,85,107,82,192,189
108,85,107,82,192,189
108,85,142,92,192,192
108,78,154,92,185,185
108,85,101,82,192,183
108,85,101,90,192,186
78,78,109,87,155,155
78,73,94,82,150,150
78,73,94,82,150,150
78,78,99,87,156,156
85,78,99,90,162,162
85,78,99,82,162,162
78,78,99,87,155,155
78,78,99,82,155,155
73,73,94,82,145,145
73,73,94,82,145,145
78,78,99,92,155,155
78,78,99,92,155,155
78,78,99,82,155,155
93,78,99,104,171,171
78,78,99,87,155,155
73,73,94,82,145,145
73,73,94,82,145,145
78,78,104,92,155,155
78,78,99,95,155,155
78,78,99,82,155,155
98,78,99,102,176,176
93,78,99,87,170,170
73,73,94,82,145,145
73,73,94,82,145,145
78,78,99,82,155,155
78,78,99,87,155,155
78,78,99,82,155,155
78,78,99,77,156,155
78,78,99,82,155,155
73,73,94,82,145,145
73,73,94,82,145,145
78,78,99,104,155,155
78,78,99,104,156,156
78,78,99,97,155,155
78,78,102,102,155,155
78,78,99,92,156,156
73,73,94,82,145,145
73,73,94,82,145,145
78,78,113,87,155,155
93,78,119,92,171,171
78,78,112,82,155,155
78,78,99,92,155,155
78,78,99,82,155,155
73,73,94,82,145,145
73,73,94,82,145,145
78,78,99,87,155,155
78,78,99,87,155,155
78,78,99,82,155,155
78,78,99,102,155,155
78,78,99,82,155,155
73,73,94,82,145,145
73,73,94,82,145,145
78,78,99,82,155,155
78,78,99,82,155,155
78,78,99,82,155,155
78,78,104,90,155,155
78,78,99,82,155,155
73,73,94,82,145,145
73,73,94,82,145,145
78,78,99,82,155,155
78,78,99,82,155,155
78,78,99,82,155,155
78,78,99,90,155,155
78,78,99,82,155,155
73,73,94,82,145,145
73,73,94,82,145,145
78,78,99,82,155,155
78,78,99,92,155,155
78,78,99,99999999,155,155
78,78,99,99999999,155,155
78,78,99,99999999,155,155
73,73,94,99999999,145,145
73,73,94,99999999,145,145
78,78,99,99999999,155,155
78,78,99,99999999,155,155
78,78,134,99999999,156,156
