Standard outbound,Standard inbound,Shortcut outbound,Shortcut inbound,Lowest standard return,Lowest shortcut return
493,414,217,99999999,907,631
493,414,216,99999999,906,630
493,414,192,99999999,906,606
493,414,199,99999999,906,613
493,414,195,99999999,906,609
493,414,192,99999999,906,606
493,414,186,99999999,906,600
414,349,162,99999999,763,511
414,243,165,99999999,626,408
414,213,162,99999999,626,375
414,213,202,99999999,626,415
414,213,205,99999999,626,418
414,213,162,99999999,626,375
414,213,175,99999999,626,388
349,183,205,99999999,425,388
213,173,182,99999999,386,355
213,173,162,99999999,385,335
213,183,170,99999999,385,353
213,213,142,99999999,395,355
213,213,162,99999999,395,375
213,243,162,99999999,425,405
173,173,147,99999999,346,320
173,173,127,99999999,345,300
173,173,151,99999999,345,324
183,183,205,99999999,355,355
213,173,142,99999999,355,315
183,173,151,99999999,355,324
213,243,172,99999999,385,385
173,173,141,99999999,346,314
173,173,127,99999999,345,300
173,173,172,99999999,345,345
213,183,235,99999999,355,355
183,173,142,99999999,355,315
173,173,202,99999999,345,345
183,266,205,99999999,355,355
173,213,167,99999999,355,355
173,173,127,99999999,346,300
213,173,192,99999999,345,345
243,183,235,99999999,355,355
183,173,151,99999999,355,324
173,183,151,99999999,345,334
183,213,214,99999999,365,365
173,173,127,99999999,346,300
173,173,127,99999999,345,300
173,173,141,99999999,345,314
183,183,237,99999999,355,355
173,173,146,99999999,346,319
173,183,127,99999999,345,310
173,243,195,99999999,355,355
173,183,142,99999999,355,325
173,173,127,99999999,346,300
173,173,172,99999999,345,345
213,173,214,99999999,355,355
173,173,195,99999999,345,345
173,173,182,99999999,345,345
203,213,205,99999999,375,375
183,183,194,99999999,355,355
173,173,127,99999999,346,300
173,173,172,99999999,345,345
213,173,215,99999999,355,355
183,173,205,99999999,355,355
183,173,151,99999999,345,324
203,203,195,99999999,375,375
173,173,141,99999999,346,314
173,173,127,99999999,345,300
173,173,127,99999999,345,300
183,173,192,99999999,355,355
173,173,146,99999999,345,319
173,173,127,99999999,345,300
173,349,211,99999999,345,345
173,349,127,99999999,355,355
173,349,127,99999999,355,355
173,349,127,99999999,355,355
173,349,187,99999999,355,355
173,349,127,99999999,355,355
173,349,151,99999999,345,345
349,349,167,99999999,577,516
349,349,142,99999999,355,355
349,349,151,99999999,355,355
349,349,142,99999999,355,355
349,349,200,99999999,355,355
349,349,192,99999999,355,355
349,349,151,99999999,345,345
349,349,205,99999999,577,554
349,349,142,99999999,355,355
349,349,151,99999999,355,355
349,349,151,99999999,355,355
349,349,182,99999999,345,345
349,349,192,99999999,355,355
349,349,151,99999999,355,355
