Standard outbound,Standard inbound,Shortcut outbound,Shortcut inbound,Lowest standard return,Lowest shortcut return
529,299,263,99999999,827,562
529,195,99999999,257,724,724
529,195,99999999,257,724,724
489,195,99999999,257,684,684
489,195,99999999,257,684,684
489,195,99999999,257,684,684
489,195,99999999,191,684,680
309,210,99999999,99999999,519,519
299,195,99999999,99999999,494,494
374,210,99999999,99999999,583,583
491,204,99999999,99999999,695,695
529,204,99999999,191,733,720
195,210,99999999,191,405,386
299,210,99999999,296,509,509
272,183,99999999,99999999,455,455
210,183,99999999,99999999,392,392
210,183,99999999,99999999,392,392
210,183,99999999,99999999,392,392
210,183,99999999,296,392,392
210,183,99999999,99999999,393,393
210,279,99999999,99999999,488,488
179,183,153,99999999,362,336
183,183,153,99999999,365,336
183,183,153,99999999,365,336
183,183,99999999,99999999,365,365
179,179,99999999,99999999,358,358
183,183,99999999,296,365,365
179,239,99999999,99999999,418,418
179,183,157,99999999,362,340
183,183,153,99999999,365,336
183,183,99999999,99999999,365,365
183,183,99999999,99999999,365,365
179,179,99999999,99999999,358,358
183,183,99999999,99999999,365,365
179,183,99999999,99999999,362,362
179,183,153,99999999,362,336
183,183,157,99999999,365,340
183,183,157,99999999,365,340
183,179,153,99999999,362,332
183,179,99999999,99999999,362,362
183,183,99999999,99999999,365,365
183,183,99999999,99999999,365,365
183,183,157,99999999,365,340
183,183,153,99999999,365,336
183,183,157,99999999,365,340
183,183,99999999,99999999,365,365
179,183,175,99999999,362,358
183,179,99999999,296,362,362
179,184,157,99999999,363,341
183,184,157,99999999,366,341
183,183,157,99999999,365,340
183,179,99999999,99999999,362,362
183,183,99999999,99999999,365,365
183,179,99999999,99999999,362,362
179,183,99999999,99999999,362,362
179,184,99999999,99999999,363,363
184,183,99999999,99999999,366,366
179,183,157,99999999,362,340
179,183,157,99999999,362,340
184,179,99999999,99999999,363,363
179,179,99999999,99999999,358,358
183,183,167,99999999,365,350
179,183,99999999,99999999,362,362
179,183,157,99999999,362,340
183,183,153,99999999,365,336
183,183,99999999,99999999,365,365
183,179,167,99999999,362,346
179,179,167,99999999,358,346
183,183,99999999,99999999,365,365
183,183,99999999,99999999,365,365
183,183,153,99999999,365,336
183,183,157,99999999,365,340
183,183,157,99999999,365,340
179,179,175,99999999,358,354
179,179,157,99999999,358,336
183,183,99999999,99999999,365,365
179,179,158,99999999,358,337
183,183,153,99999999,365,336
183,183,153,99999999,365,336
183,183,157,99999999,365,340
179,179,99999999,99999999,358,358
179,179,99999999,99999999,358,358
183,183,99999999,99999999,365,365
179,183,158,99999999,362,341
183,183,99999999,99999999,365,365
183,183,158,99999999,365,341
183,183,157,99999999,365,340
179,183,99999999,99999999,362,362
179,203,157,99999999,382,360
183,193,99999999,99999999,375,375
