Standard outbound,Standard inbound,Shortcut outbound,Shortcut inbound,Lowest standard return,Lowest shortcut return
506,163,329,166,669,492
429,88,233,142,517,321
429,88,162,142,517,250
203,138,233,142,290,290
203,193,200,203,340,340
224,193,230,156,417,380
389,138,242,142,447,380
163,118,159,142,281,277
88,103,142,142,191,191
88,88,142,142,176,176
294,103,205,156,397,308
203,103,211,156,305,305
88,88,191,118,176,176
138,103,141,136,225,225
189,359,213,248,340,340
143,88,159,118,231,231
88,88,141,118,175,175
103,103,141,136,190,190
203,103,141,162,305,244
88,88,141,147,176,176
103,103,193,181,190,190
103,103,126,136,205,205
88,88,126,142,176,176
88,88,126,118,175,175
103,103,141,136,190,190
103,103,126,136,205,205
88,88,126,118,176,176
103,103,141,147,190,190
103,103,141,147,205,205
88,88,141,118,176,176
88,88,155,118,175,175
103,103,155,201,190,190
103,103,126,136,205,205
88,88,126,118,176,176
103,103,177,201,190,190
103,103,147,147,205,205
88,88,126,118,176,176
88,88,141,118,175,175
103,103,180,162,190,190
103,103,141,162,205,205
88,88,165,118,176,176
103,103,203,147,190,190
103,103,126,136,205,205
88,88,126,118,176,176
88,88,141,142,175,175
103,118,141,162,190,190
103,118,126,162,220,220
88,88,126,142,176,176
103,118,141,191,190,190
103,118,126,147,220,220
88,88,126,142,176,176
88,88,141,147,175,175
118,103,141,162,205,205
118,103,126,147,220,220
88,88,126,178,176,176
118,103,126,201,205,205
138,103,126,147,240,229
88,88,126,147,176,176
88,88,126,142,175,175
103,103,161,162,190,190
103,103,126,147,205,205
88,88,155,156,176,176
103,103,141,147,190,190
103,103,147,147,205,205
88,88,141,147,176,176
88,88,141,147,175,175
103,103,126,147,190,190
103,103,126,147,205,205
88,88,126,156,176,176
103,143,126,142,190,190
103,103,126,147,206,206
88,88,141,147,176,176
88,88,141,147,175,175
103,103,141,162,190,190
103,103,141,147,205,205
88,88,151,147,176,176
143,103,161,142,230,230
103,103,155,157,205,205
88,88,126,156,176,176
88,88,126,147,175,175
103,103,162,162,190,190
103,103,126,147,205,205
88,88,126,156,176,176
143,143,141,99999999,230,230
103,103,147,99999999,206,206
88,88,126,99999999,176,176
88,88,126,99999999,175,175
103,103,155,99999999,190,190
123,103,155,99999999,225,225
103,123,126,99999999,205,205
