Standard outbound,Standard inbound,Shortcut outbound,Shortcut inbound,Lowest standard return,Lowest shortcut return
303,211,281,153,514,434
303,69,165,190,371,234
303,69,266,190,371,335
303,103,206,99999999,405,309
153,183,218,99999999,335,335
183,69,162,190,251,231
73,83,140,99999999,155,155
69,153,140,364,221,221
69,93,132,99999999,161,161
69,69,180,99999999,137,137
283,69,280,99999999,351,349
263,73,369,99999999,336,336
69,69,180,99999999,137,137
73,93,120,99999999,165,165
93,69,120,99999999,161,161
93,69,107,99999999,161,161
69,69,107,99999999,137,137
69,69,120,99999999,137,137
93,83,120,99999999,175,175
69,69,107,99999999,137,137
93,93,101,99999999,185,185
69,69,101,99999999,137,137
69,69,110,99999999,137,137
69,69,110,99999999,137,137
69,69,110,99999999,137,137
93,83,240,99999999,175,175
69,69,110,99999999,137,137
83,113,110,99999999,195,195
69,69,101,99999999,137,137
69,69,110,99999999,137,137
69,69,81,99999999,137,137
69,69,110,99999999,137,137
83,83,110,99999999,165,165
69,69,99999999,99999999,137,137
83,103,110,99999999,185,185
69,69,101,99999999,137,137
69,69,81,99999999,137,137
69,69,110,99999999,137,137
69,93,101,99999999,161,161
83,133,101,99999999,215,215
69,69,110,99999999,137,137
83,103,110,99999999,185,185
69,93,101,99999999,161,161
69,69,81,99999999,137,137
69,69,110,99999999,137,137
69,93,101,99999999,161,161
83,103,101,99999999,185,185
69,69,81,99999999,137,137
83,123,110,99999999,205,205
69,103,101,99999999,171,171
69,69,99999999,99999999,137,137
69,69,81,99999999,137,137
69,103,101,99999999,171,171
83,103,101,99999999,185,185
69,69,110,99999999,137,137
93,103,99999999,99999999,195,195
69,93,110,99999999,161,161
69,69,120,99999999,137,137
69,69,81,99999999,137,137
69,93,101,99999999,161,161
93,103,101,99999999,195,195
69,69,110,99999999,137,137
93,103,101,99999999,195,195
103,93,101,99999999,195,194
69,69,81,99999999,137,137
69,69,81,99999999,137,137
69,69,101,99999999,137,137
93,93,101,99999999,185,185
69,69,110,99999999,137,137
103,93,110,99999999,195,195
93,93,110,99999999,185,185
69,69,81,99999999,137,137
69,69,110,99999999,137,137
69,93,110,99999999,161,161
93,93,110,99999999,185,185
69,69,81,99999999,137,137
93,93,110,99999999,185,185
93,93,110,99999999,185,185
69,69,81,99999999,137,137
69,69,110,99999999,137,137
69,93,110,99999999,161,161
93,93,110,99999999,185,185
69,69,99999999,99999999,137,137
93,93,110,99999999,185,185
93,93,110,99999999,185,185
69,69,101,99999999,137,137
69,69,110,99999999,137,137
69,138,110,99999999,207,207
93,158,110,99999999,251,251
69,148,99999999,99999999,217,217
