Standard outbound,Standard inbound,Shortcut outbound,Shortcut inbound,Lowest standard return,Lowest shortcut return
261,341,99999999,275,519,519
222,267,99999999,212,489,434
267,261,99999999,212,494,479
212,212,99999999,240,424,424
232,192,99999999,268,424,424
232,286,99999999,300,423,423
192,316,99999999,212,433,404
212,341,99999999,292,444,444
222,373,99999999,275,563,497
212,261,99999999,208,473,420
242,224,99999999,208,454,450
292,212,99999999,212,475,475
247,232,99999999,228,479,475
212,232,99999999,212,443,424
212,247,99999999,212,444,424
222,247,99999999,208,454,430
279,279,99999999,208,424,424
232,212,99999999,208,444,440
212,232,99999999,212,423,423
212,309,99999999,238,443,443
212,292,99999999,212,464,424
212,212,99999999,212,424,424
212,286,99999999,208,424,420
212,279,99999999,208,424,420
232,212,99999999,208,424,424
192,212,99999999,212,403,403
232,309,99999999,238,443,443
241,232,99999999,212,464,453
247,241,99999999,212,444,444
261,212,99999999,208,424,424
212,212,99999999,208,424,420
232,247,99999999,208,444,440
232,212,99999999,212,444,444
232,232,99999999,238,464,464
281,232,99999999,212,464,464
267,212,99999999,212,479,479
212,212,99999999,208,424,420
286,212,99999999,212,424,424
232,212,99999999,212,444,444
232,232,99999999,212,444,444
232,232,99999999,238,464,464
212,247,99999999,310,444,444
212,281,99999999,212,473,424
212,212,99999999,212,424,424
373,212,99999999,212,454,454
336,212,99999999,212,494,494
232,232,99999999,212,444,444
316,232,99999999,238,494,494
241,232,99999999,212,473,453
212,212,99999999,212,424,424
212,212,99999999,212,424,424
212,212,99999999,212,424,424
266,212,99999999,212,454,454
232,232,99999999,212,444,444
292,336,99999999,238,494,494
212,232,99999999,212,444,424
212,241,99999999,212,444,424
212,212,99999999,212,424,424
286,212,99999999,212,454,454
232,212,99999999,212,444,444
247,212,99999999,212,444,444
232,232,99999999,240,464,464
212,309,99999999,212,444,424
212,212,99999999,212,424,424
212,212,99999999,212,424,424
212,212,99999999,212,424,424
232,212,99999999,212,424,424
212,192,99999999,212,404,404
232,232,99999999,238,433,433
281,232,99999999,212,464,464
212,212,99999999,212,424,424
212,212,99999999,212,424,424
247,212,99999999,212,424,424
232,212,99999999,212,424,424
212,232,99999999,212,433,424
232,232,99999999,238,464,464
212,232,99999999,212,444,424
212,212,99999999,212,424,424
212,286,99999999,212,424,424
267,212,99999999,212,424,424
232,212,99999999,212,444,444
292,232,99999999,212,479,479
232,232,99999999,240,464,464
212,232,99999999,99999999,444,444
212,212,99999999,99999999,424,424
212,212,99999999,99999999,424,424
212,222,99999999,99999999,424,424
232,212,99999999,99999999,424,424
232,232,99999999,99999999,444,444
232,232,99999999,99999999,464,464
