Standard outbound,Standard inbound,Shortcut outbound,Shortcut inbound,Lowest standard return,Lowest shortcut return
273,83,99999999,140,356,356
133,73,99999999,99999999,206,206
133,73,99999999,132,205,205
133,68,99999999,142,201,201
273,73,99999999,446,346,346
133,73,99999999,114,205,205
133,133,99999999,140,205,205
73,184,99999999,218,205,205
73,103,99999999,128,176,176
73,63,99999999,114,136,136
93,68,99999999,114,155,155
223,68,99999999,114,291,291
133,73,99999999,77,200,200
73,133,99999999,77,145,145
68,93,99999999,77,161,145
63,63,99999999,77,126,126
63,63,99999999,77,125,125
73,68,99999999,77,135,135
93,68,99999999,99999999,160,160
73,73,99999999,77,140,140
68,133,99999999,110,140,140
68,93,99999999,99999999,161,161
63,63,99999999,77,126,126
63,63,99999999,77,125,125
73,68,99999999,77,135,135
103,68,99999999,77,170,170
73,73,99999999,77,140,140
68,133,99999999,228,140,140
68,93,99999999,77,161,145
63,63,99999999,77,126,126
63,63,99999999,99999999,125,125
73,68,99999999,77,135,135
103,68,99999999,77,170,170
73,73,99999999,77,140,140
68,133,99999999,165,140,140
68,93,99999999,77,161,145
63,63,99999999,77,126,126
63,63,99999999,77,125,125
73,68,99999999,77,135,135
93,68,99999999,77,160,160
73,73,99999999,99999999,140,140
68,133,99999999,165,140,140
68,93,99999999,77,161,145
63,63,99999999,77,126,126
63,63,99999999,99999999,125,125
73,68,99999999,77,135,135
93,68,99999999,99999999,160,160
73,73,99999999,77,140,140
68,103,99999999,99999999,140,140
68,103,99999999,77,170,145
63,73,99999999,77,136,136
63,63,99999999,77,126,126
83,68,99999999,77,145,145
103,68,99999999,77,170,170
93,73,99999999,77,160,160
68,133,99999999,99999999,140,140
68,93,99999999,77,161,145
63,73,99999999,77,136,136
63,63,99999999,77,126,126
73,68,99999999,77,135,135
93,68,99999999,77,160,160
73,73,99999999,77,140,140
68,133,99999999,99999999,140,140
68,93,99999999,99999999,161,161
63,73,99999999,77,136,136
63,63,99999999,77,126,126
73,68,99999999,77,135,135
93,68,99999999,77,160,160
73,73,99999999,77,140,140
68,103,99999999,99999999,140,140
68,83,99999999,99999999,151,151
63,73,99999999,77,136,136
63,63,99999999,77,126,126
73,68,99999999,77,135,135
93,73,99999999,77,160,160
73,73,99999999,99999999,145,145
68,103,99999999,99999999,140,140
68,73,99999999,99,141,141
63,73,99999999,77,135,135
63,63,99999999,77,126,126
73,68,99999999,77,135,135
93,73,99999999,77,160,160
73,73,99999999,99999999,145,145
68,103,99999999,99999999,140,140
68,73,99999999,99999999,141,141
63,73,99999999,99999999,135,135
63,73,99999999,99999999,135,135
73,73,99999999,99999999,145,145
83,73,99999999,99999999,155,155
73,73,99999999,99999999,145,145
