Standard outbound,Standard inbound,Shortcut outbound,Shortcut inbound,Lowest standard return,Lowest shortcut return
159,84,152,99999999,243,236
159,74,139,99999999,233,213
159,74,139,99999999,233,213
99,84,139,99999999,173,173
99,84,150,99999999,183,183
84,74,150,99999999,158,158
119,84,141,99999999,193,193
84,69,103,99999999,153,153
74,59,103,99999999,133,133
74,49,99999999,99999999,123,123
84,59,170,99999999,133,133
119,75,277,99999999,178,178
74,49,170,99999999,123,123
84,59,114,99999999,133,133
75,59,132,99999999,134,134
69,49,99999999,99999999,118,118
49,49,170,99999999,98,98
59,59,99999999,99999999,108,108
59,69,207,99999999,118,118
49,59,99999999,99999999,108,108
75,75,114,99999999,143,143
59,59,99999999,99999999,118,118
49,49,99999999,99999999,98,98
49,49,141,99999999,98,98
59,59,99999999,99999999,108,108
69,69,99999999,99999999,128,128
49,49,99999999,99999999,98,98
59,59,114,99999999,108,108
59,59,99999999,99999999,118,118
49,49,99999999,99999999,98,98
49,49,99999999,99999999,98,98
59,59,99999999,99999999,108,108
59,59,92,99999999,118,118
49,49,99999999,99999999,98,98
69,59,114,99999999,118,118
69,59,99999999,99999999,128,128
49,49,99999999,99999999,98,98
49,49,111,99999999,98,98
59,59,99999999,99999999,108,108
75,59,99999999,99999999,134,134
49,49,99999999,99999999,98,98
75,59,99999999,99999999,134,134
69,59,99999999,99999999,128,128
49,49,99999999,99999999,98,98
49,49,99999999,99999999,98,98
59,59,99999999,99999999,108,108
69,69,99999999,99999999,128,128
49,49,99999999,99999999,98,98
69,69,111,99999999,118,118
69,69,99999999,99999999,138,138
49,49,99999999,99999999,98,98
49,49,99999999,99999999,98,98
59,59,99999999,99999999,108,108
75,75,99999999,99999999,143,143
49,49,99999999,99999999,98,98
75,59,99999999,99999999,133,133
69,59,99999999,99999999,128,128
49,49,99999999,99999999,98,98
49,49,99999999,99999999,98,98
59,59,99999999,99999999,108,108
75,59,99999999,99999999,134,134
49,49,99999999,99999999,98,98
75,69,114,99999999,133,133
69,59,116,99999999,128,128
49,49,99999999,99999999,98,98
49,49,99999999,99999999,98,98
59,59,99999999,99999999,108,108
69,59,99999999,99999999,128,128
49,49,92,99999999,98,98
59,59,114,99999999,108,108
59,59,99999999,99999999,118,118
49,49,99999999,99999999,98,98
49,49,99999999,99999999,98,98
59,59,99999999,99999999,108,108
59,69,99999999,99999999,118,118
49,49,99999999,99999999,98,98
59,59,99999999,99999999,108,108
59,59,99999999,99999999,118,118
49,49,99999999,99999999,98,98
49,49,99999999,99999999,98,98
59,59,99999999,99999999,108,108
59,59,114,99999999,118,118
59,49,99999999,99999999,108,108
59,59,99999999,99999999,108,108
59,59,92,99999999,118,118
49,49,99999999,99999999,98,98
49,49,99999999,99999999,98,98
59,59,99999999,99999999,108,108
59,59,99999999,99999999,118,118
49,49,99999999,99999999,98,98
