Standard outbound,Standard inbound,Shortcut outbound,Shortcut inbound,Lowest standard return,Lowest shortcut return
549,284,209,282,833,491
549,284,209,196,833,405
549,284,266,202,833,468
399,284,266,271,683,537
399,284,266,276,683,542
399,284,279,239,683,518
399,284,297,239,683,536
299,194,209,239,493,403
299,179,175,217,478,354
284,179,175,239,463,354
299,179,435,239,478,478
284,179,230,237,463,409
284,179,377,307,463,463
309,194,297,99999999,503,491
399,169,332,99999999,568,501
284,149,272,99999999,433,421
194,149,199,99999999,343,343
194,169,175,99999999,358,344
179,169,173,99999999,348,342
179,149,175,237,328,324
179,169,175,99999999,328,328
149,169,191,99999999,318,318
149,169,157,99999999,318,318
169,149,157,99999999,318,306
169,169,175,277,337,337
169,169,175,99999999,337,337
169,149,175,307,318,318
169,169,175,99999999,328,328
149,179,173,99999999,328,328
149,169,175,141,318,290
149,149,175,99999999,298,298
169,149,175,99999999,318,318
169,149,173,99999999,318,318
149,169,175,99999999,298,298
169,169,175,229,337,337
149,169,173,99999999,318,318
169,169,157,141,337,298
149,169,186,99999999,318,318
169,169,191,99999999,337,337
169,149,175,99999999,318,318
169,169,175,99999999,328,328
169,169,175,99999999,337,337
149,149,186,99999999,298,298
169,169,175,141,328,310
169,169,157,99999999,337,326
169,169,173,99999999,337,337
169,169,175,99999999,338,338
149,169,173,99999999,318,318
169,169,173,99999999,337,337
169,169,191,187,337,337
169,169,191,187,337,337
169,169,191,99999999,337,337
169,169,191,187,337,337
169,169,191,99999999,337,337
149,169,175,99999999,318,318
169,209,175,237,337,337
149,169,175,187,318,318
149,169,175,169,318,318
169,169,175,169,337,337
169,149,175,169,318,318
169,149,175,169,318,318
169,169,175,169,328,328
169,169,175,99999999,337,337
149,149,175,99999999,298,298
149,169,157,169,298,298
149,169,175,169,318,318
149,149,175,169,298,298
149,149,175,169,298,298
149,169,173,169,298,298
149,169,175,187,318,318
149,169,173,99999999,318,318
169,169,157,169,337,326
169,169,175,169,337,337
169,149,175,169,318,318
149,169,173,169,298,298
169,169,191,169,337,337
149,149,191,99999999,298,298
149,149,178,99999999,298,298
169,169,191,99999999,337,337
169,149,191,237,318,318
149,149,191,169,298,298
149,149,191,169,298,298
169,169,179,99999999,337,337
149,169,173,99999999,318,318
149,149,173,99999999,298,298
169,169,157,99999999,337,326
149,149,179,99999999,298,298
149,169,178,99999999,318,318
149,169,172,99999999,318,318
169,169,179,99999999,337,337
