Standard outbound,Standard inbound,Shortcut outbound,Shortcut inbound,Lowest standard return,Lowest shortcut return
246,193,99999999,130,438,376
246,193,99999999,130,438,376
246,193,99999999,132,438,378
246,162,99999999,132,407,378
246,162,99999999,132,407,378
246,162,99999999,132,407,378
246,162,99999999,99999999,407,407
193,135,99999999,246,327,327
193,135,99999999,99999999,327,327
193,135,99999999,99999999,327,327
162,135,99999999,99999999,296,296
162,135,99999999,99999999,296,296
162,135,99999999,99999999,296,296
162,135,99999999,99999999,296,296
135,113,99999999,99999999,247,247
135,113,99999999,99999999,247,247
135,113,99999999,99999999,247,247
135,113,99999999,99999999,247,247
135,113,99999999,99999999,247,247
135,113,99999999,85,247,220
135,113,99999999,99999999,247,247
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,83,225,196
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,77,225,190
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,77,225,190
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,77,225,190
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
113,113,99999999,99999999,225,225
