Standard outbound,Standard inbound,Shortcut outbound,Shortcut inbound,Lowest standard return,Lowest shortcut return
190,133,172,142,322,305
190,95,162,122,285,257
190,95,162,122,285,257
142,95,162,142,237,237
142,95,162,142,237,237
142,95,162,142,237,237
142,95,140,134,237,235
95,133,140,250,228,228
95,133,140,99999999,228,228
95,79,140,95,174,174
154,81,172,111,234,234
202,82,279,111,284,284
95,79,162,99999999,174,174
95,82,99999999,99999999,177,177
81,66,131,99999999,146,146
79,66,101,99999999,145,145
79,66,101,99999999,145,145
81,66,101,99999999,146,146
82,66,101,99999999,147,147
79,66,101,99999999,145,145
82,66,99999999,271,147,147
66,66,99999999,99999999,131,131
66,66,81,99999999,131,131
66,66,81,99999999,131,131
66,66,99999999,99999999,131,131
66,66,99999999,99999999,131,131
66,66,81,99999999,131,131
66,66,99999999,99999999,131,131
66,66,99999999,99999999,131,131
66,66,81,99999999,131,131
66,66,81,99999999,131,131
66,66,99999999,99999999,131,131
66,66,99999999,99999999,131,131
66,66,81,99999999,131,131
66,66,99999999,99999999,131,131
66,66,99999999,99999999,131,131
66,66,81,99999999,131,131
66,75,81,99999999,140,140
66,75,99999999,99999999,140,140
66,75,99999999,99999999,140,140
66,75,81,99999999,140,140
66,75,99999999,99999999,140,140
66,75,99999999,99999999,140,140
66,75,81,99999999,140,140
75,75,81,99999999,149,149
75,75,99999999,99999999,149,149
75,75,99999999,99999999,149,149
75,75,81,99999999,149,149
75,75,99999999,99999999,149,149
75,75,99999999,99999999,149,149
75,75,81,99999999,149,149
75,75,81,131,149,149
75,75,99999999,99999999,149,149
75,75,99999999,99999999,149,149
75,75,81,99999999,149,149
75,75,99999999,99999999,149,149
75,75,99999999,99999999,149,149
75,75,81,99999999,149,149
75,75,81,99999999,149,149
75,75,99999999,99999999,149,149
75,75,99999999,99999999,149,149
75,75,81,99999999,149,149
75,75,99999999,99999999,149,149
75,75,99999999,99999999,149,149
75,75,81,99999999,149,149
75,75,81,99999999,149,149
75,75,99999999,99999999,149,149
75,75,99999999,99999999,149,149
75,75,81,99999999,149,149
75,75,99999999,131,149,149
75,75,99999999,99999999,149,149
75,75,81,99999999,149,149
75,75,81,99999999,149,149
75,75,99999999,99999999,149,149
75,94,99999999,99999999,169,169
75,75,81,99999999,149,149
75,75,99999999,99999999,149,149
75,75,99999999,99999999,149,149
75,75,81,99999999,149,149
75,75,81,99999999,149,149
75,75,99999999,99999999,149,149
75,75,99999999,99999999,149,149
75,75,81,99999999,149,149
75,75,99999999,99999999,149,149
75,75,99999999,99999999,149,149
75,75,81,99999999,149,149
75,75,81,99999999,149,149
75,75,99999999,99999999,149,149
75,75,99999999,99999999,149,149
75,75,81,99999999,149,149
