Days from today,Price
0,$258
1,$211
2,$211
3,$140
4,$140
5,$140
6,$140
7,$140
8,$140
9,$140
10,$140
11,$140
12,$132
13,$140
14,$166
15,$155
16,$140
17,$140
18,$140
19,$140
20,$132
21,$129
22,$130
23,$129
24,$155
25,$129
26,$129
27,$129
28,$129
29,$149
30,$129
31,$130
32,$129
33,$129
34,$129
35,$129
36,$130
37,$129
38,$130
39,$129
40,$129
41,$129
42,$150
43,$158
44,$246
45,$260
46,$158
47,$129
48,$129
49,$130
50,$158
51,$139
52,$158
53,$129
54,$129
55,$129
56,$129
57,$155
58,$129
59,$158
60,$129
61,$129
62,$129
63,$129
64,$158
65,$129
66,$158
67,$129
68,$129
69,$129
70,$129
71,$130
72,$130
73,$130
74,$130
75,$129
76,$129
77,$130
78,$130
79,$132
80,$130
81,$130
82,$129
83,$129
84,$129
85,$130
86,$129
87,$130
88,$129
89,$129
90,$129
91,$114
92,$114
93,$114
94,$130
95,$129
96,$84
97,$84
98,$114
99,$114
100,$114
101,$130
102,$129
103,$84
104,$84
105,$114
106,$114
107,$114
