Days from today,Price
0,$239
1,$239
2,$239
3,$239
4,$239
5,$239
6,$239
7,$200
8,$120
9,$120
10,$200
11,$200
12,$200
13,$200
14,$117
15,$117
16,$117
17,$117
18,$117
19,$128
20,$183
21,$128
22,$117
23,$117
24,$117
25,$117
26,$117
27,$117
28,$117
29,$117
30,$117
31,$117
32,$117
33,$117
34,$117
35,$117
36,$117
37,$117
38,$117
39,$117
40,$117
41,$117
42,$117
43,$117
44,$117
45,$117
46,$117
47,$117
48,$117
49,$117
50,$117
51,$117
52,$139
53,$139
54,$139
55,$139
56,$139
57,$139
58,$137
59,$134
60,$139
61,$139
62,$139
63,$139
64,$137
65,$134
66,$139
67,$139
68,$139
69,$139
70,$139
71,$137
72,$134
73,$139
74,$139
75,$142
76,$142
77,$142
78,$139
79,$134
80,$134
81,$134
82,$134
83,$139
84,$139
85,$137
86,$134
87,$134
88,$134
89,$134
90,$139
91,$139
92,$137
93,$134
94,$139
95,$134
96,$134
97,$139
98,$139
99,$137
100,$134
101,$139
102,$134
103,$137
104,$139
105,$139
106,$137
107,$134
108,$139
109,$139
110,$137
