Days from today,Price
0,$479
1,$302
2,$302
3,$302
4,$302
5,$302
6,$302
7,$247
8,$254
9,$246
10,$237
11,$245
12,$245
13,$245
14,$242
15,$237
16,$248
17,$169
18,$169
19,$192
20,$207
21,$208
22,$233
23,$192
24,$160
25,$168
26,$187
27,$192
28,$197
29,$208
30,$160
31,$160
32,$160
33,$160
34,$233
35,$228
36,$228
37,$160
38,$160
39,$160
40,$160
41,$207
42,$228
43,$233
44,$160
45,$160
46,$160
47,$160
48,$233
49,$228
50,$228
51,$160
52,$160
53,$160
54,$160
55,$196
56,$233
57,$233
58,$160
59,$160
60,$187
61,$196
62,$196
63,$233
64,$233
65,$197
66,$180
67,$180
68,$160
69,$218
70,$233
71,$239
72,$180
73,$180
74,$160
75,$171
76,$197
77,$197
78,$197
79,$198
80,$160
81,$160
82,$171
83,$197
84,$222
85,$197
86,$180
87,$171
88,$160
89,$192
90,$197
91,$197
92,$197
93,$197
94,$171
95,$192
96,$197
97,$197
98,$197
99,$197
100,$197
101,$180
102,$180
103,$197
104,$197
105,$197
