Days from today,Price
0,$528
1,$286
2,$286
3,$286
4,$288
5,$288
6,$288
7,$242
8,$245
9,$240
10,$239
11,$239
12,$245
13,$242
14,$280
15,$145
16,$145
17,$145
18,$205
19,$215
20,$145
21,$239
22,$145
23,$145
24,$145
25,$145
26,$252
27,$205
28,$239
29,$145
30,$145
31,$145
32,$145
33,$239
34,$145
35,$245
36,$145
37,$145
38,$145
39,$145
40,$239
41,$205
42,$245
43,$145
44,$145
45,$145
46,$145
47,$212
48,$145
49,$252
50,$145
51,$145
52,$145
53,$145
54,$216
55,$204
56,$252
57,$145
58,$145
59,$177
60,$199
61,$241
62,$145
63,$257
64,$145
65,$145
66,$145
67,$145
68,$215
69,$145
70,$257
71,$145
72,$145
73,$145
74,$189
75,$215
76,$205
77,$217
78,$145
79,$145
80,$145
81,$145
82,$215
83,$145
84,$215
85,$205
86,$145
87,$145
88,$204
89,$215
90,$145
91,$215
92,$215
93,$145
94,$145
95,$204
96,$217
97,$145
98,$247
99,$205
100,$145
101,$205
102,$217
103,$245
104,$245
