Days from today,Price
0,$146
1,$146
2,$138
3,$138
4,$138
5,$138
6,$138
7,$124
8,$124
9,$124
10,$124
11,$124
12,$124
13,$124
14,$99
15,$99
16,$99
17,$99
18,$99
19,$99
20,$99
21,$74
22,$74
23,$74
24,$74
25,$74
26,$74
27,$74
28,$74
29,$74
30,$74
31,$74
32,$74
33,$74
34,$74
35,$74
36,$74
37,$74
38,$74
39,$74
40,$74
41,$74
42,$74
43,$74
44,$74
45,$74
46,$74
47,$74
48,$74
49,$74
50,$74
51,$74
52,$74
53,$74
54,$74
55,$74
56,$74
57,$74
58,$74
59,$74
60,$74
61,$74
62,$74
63,$74
64,$74
65,$74
66,$74
67,$74
68,$74
69,$74
70,$74
71,$74
72,$74
73,$124
74,$124
75,$99
76,$99
77,$99
78,$99
79,$74
80,$74
81,$74
82,$74
83,$74
84,$74
85,$74
86,$74
87,$74
88,$74
89,$74
90,$74
91,$74
92,$74
93,$74
94,$74
95,$74
96,$74
97,$74
98,$74
99,$74
100,$74
101,$74
102,$74
103,$74
104,$74
105,$74
106,$74
107,$74
108,$74
109,$74
110,$74
