Days from today,Price
0,$242
1,$193
2,$156
3,$264
4,$193
5,$156
6,$156
7,$193
8,$156
9,$105
10,$156
11,$147
12,$193
13,$156
14,$145
15,$98
16,$76
17,$120
18,$120
19,$109
20,$120
21,$109
22,$105
23,$105
24,$120
25,$145
26,$137
27,$109
28,$143
29,$105
30,$105
31,$98
32,$145
33,$143
34,$131
35,$109
36,$105
37,$98
38,$120
39,$145
40,$143
41,$143
42,$109
43,$98
44,$98
45,$98
46,$131
47,$109
48,$120
49,$109
50,$98
51,$87
52,$87
53,$98
54,$87
55,$109
56,$109
57,$87
58,$76
59,$109
60,$131
61,$137
62,$131
63,$131
64,$105
65,$105
66,$131
67,$131
68,$131
69,$131
70,$131
71,$105
72,$105
73,$131
74,$131
75,$131
76,$131
77,$131
78,$105
79,$105
80,$120
81,$120
82,$120
83,$120
84,$131
85,$105
86,$105
87,$131
88,$120
89,$120
90,$120
91,$143
92,$105
93,$105
94,$145
95,$145
96,$137
97,$145
98,$131
99,$105
100,$105
101,$143
102,$145
103,$131
104,$157
105,$157
106,$105
107,$105
108,$131
109,$145
110,$131
