Days from today,Price
0,$348
1,$194
2,$194
3,$194
4,$194
5,$194
6,$194
7,$144
8,$104
9,$104
10,$124
11,$144
12,$124
13,$144
14,$144
15,$104
16,$104
17,$124
18,$144
19,$124
20,$207
21,$124
22,$84
23,$84
24,$84
25,$84
26,$124
27,$124
28,$124
29,$104
30,$140
31,$143
32,$180
33,$216
34,$200
35,$161
36,$104
37,$104
38,$124
39,$124
40,$124
41,$124
42,$124
43,$104
44,$104
45,$124
46,$124
47,$124
48,$124
49,$124
50,$104
51,$104
52,$124
53,$124
54,$124
55,$124
56,$124
57,$104
58,$104
59,$124
60,$124
61,$124
62,$124
63,$124
64,$144
65,$104
66,$124
67,$124
68,$124
69,$124
70,$124
71,$104
72,$104
73,$124
74,$144
75,$144
76,$201
77,$124
78,$104
79,$104
80,$124
81,$124
82,$124
83,$124
84,$124
85,$104
86,$104
87,$124
88,$124
89,$124
90,$141
91,$140
92,$104
93,$104
94,$124
95,$140
96,$124
97,$140
98,$140
99,$104
100,$104
101,$124
102,$144
103,$124
104,$141
105,$140
106,$104
107,$104
108,$141
109,$141
110,$141
