Days from today,Price
0,$385
1,$235
2,$223
3,$141
4,$141
5,$141
6,$141
7,$141
8,$191
9,$141
10,$141
11,$141
12,$162
13,$188
14,$138
15,$141
16,$163
17,$141
18,$138
19,$138
20,$141
21,$129
22,$150
23,$129
24,$118
25,$118
26,$118
27,$138
28,$129
29,$141
30,$138
31,$118
32,$118
33,$161
34,$243
35,$278
36,$218
37,$129
38,$118
39,$118
40,$129
41,$141
42,$141
43,$141
44,$128
45,$118
46,$118
47,$118
48,$141
49,$139
50,$163
51,$118
52,$118
53,$118
54,$141
55,$141
56,$139
57,$158
58,$129
59,$118
60,$118
61,$129
62,$141
63,$139
64,$153
65,$129
66,$129
67,$118
68,$129
69,$141
70,$139
71,$153
72,$141
73,$118
74,$118
75,$141
76,$141
77,$139
78,$153
79,$141
80,$118
81,$118
82,$129
83,$141
84,$138
85,$141
86,$129
87,$118
88,$118
89,$114
90,$138
91,$118
92,$114
93,$114
94,$84
95,$84
96,$114
97,$138
98,$118
99,$114
100,$114
101,$84
102,$84
103,$114
104,$141
105,$129
