Days from today,Price
0,$245
1,$245
2,$245
3,$155
4,$155
5,$155
6,$155
7,$257
8,$155
9,$155
10,$179
11,$155
12,$155
13,$155
14,$155
15,$155
16,$179
17,$155
18,$130
19,$130
20,$155
21,$155
22,$142
23,$165
24,$155
25,$130
26,$130
27,$200
28,$267
29,$305
30,$240
31,$174
32,$130
33,$130
34,$142
35,$155
36,$164
37,$179
38,$142
39,$130
40,$130
41,$130
42,$155
43,$153
44,$167
45,$130
46,$130
47,$130
48,$155
49,$155
50,$153
51,$174
52,$142
53,$130
54,$130
55,$142
56,$155
57,$153
58,$155
59,$142
60,$142
61,$130
62,$155
63,$155
64,$153
65,$168
66,$155
67,$130
68,$130
69,$155
70,$155
71,$164
72,$168
73,$155
74,$130
75,$130
76,$142
77,$155
78,$153
79,$155
80,$142
81,$130
82,$130
83,$114
84,$130
85,$130
86,$114
87,$114
88,$92
89,$92
90,$114
91,$130
92,$130
93,$114
94,$114
95,$92
96,$92
97,$114
98,$155
99,$142
100,$114
101,$114
102,$92
103,$92
104,$155
105,$174
106,$155
