Days from today,Price
0,$236
1,$245
2,$245
3,$218
4,$208
5,$236
6,$236
7,$236
8,$208
9,$208
10,$208
11,$208
12,$379
13,$474
14,$392
15,$249
16,$259
17,$208
18,$245
19,$236
20,$236
21,$236
22,$246
23,$245
24,$208
25,$208
26,$236
27,$236
28,$236
29,$245
30,$208
31,$208
32,$208
33,$236
34,$368
35,$290
36,$249
37,$249
38,$208
39,$249
40,$296
41,$389
42,$300
43,$249
44,$249
45,$249
46,$249
47,$345
48,$412
49,$300
50,$285
51,$245
52,$245
53,$245
54,$268
55,$389
56,$295
57,$249
58,$249
59,$245
60,$249
61,$268
62,$389
63,$300
64,$249
65,$249
66,$285
67,$313
68,$464
69,$530
70,$464
71,$370
72,$304
73,$255
74,$255
75,$353
76,$437
77,$410
78,$259
79,$249
80,$245
81,$245
82,$259
83,$295
84,$255
85,$208
86,$245
87,$208
88,$245
89,$255
90,$259
91,$259
92,$245
93,$232
94,$245
95,$249
96,$268
97,$236
98,$268
99,$249
100,$245
101,$208
102,$255
103,$268
104,$259
