Days from today,Price
0,US$188
1,US$188
2,US$188
3,US$158
4,US$158
5,US$158
6,US$158
7,US$108
8,US$108
9,US$108
10,US$108
11,US$108
12,US$108
13,US$108
14,US$85
15,US$85
16,US$85
17,US$85
18,US$78
19,US$85
20,US$85
21,US$78
22,US$73
23,US$73
24,US$78
25,US$78
26,US$78
27,US$78
28,US$78
29,US$73
30,US$73
31,US$78
32,US$78
33,US$78
34,US$78
35,US$78
36,US$73
37,US$73
38,US$78
39,US$78
40,US$78
41,US$78
42,US$78
43,US$73
44,US$73
45,US$78
46,US$78
47,US$78
48,US$78
49,US$78
50,US$73
51,US$73
52,US$78
53,US$78
54,US$78
55,US$78
56,US$78
57,US$73
58,US$73
59,US$78
60,US$78
61,US$78
62,US$78
63,US$78
64,US$73
65,US$73
66,US$78
67,US$78
68,US$78
69,US$78
70,US$78
71,US$73
72,US$73
73,US$78
74,US$78
75,US$78
76,US$78
77,US$78
78,US$73
79,US$73
80,US$78
81,US$78
82,US$78
83,US$78
84,US$78
85,US$73
86,US$73
87,US$78
88,US$78
89,US$78
90,US$78
91,US$78
92,US$73
93,US$73
94,US$78
95,US$78
96,US$78
97,US$78
98,US$78
99,US$88
100,US$93
101,US$93
102,US$93
103,US$78
104,US$128
105,US$78
106,US$73
107,US$73
108,US$78
109,US$78
110,US$93
