Days from today,Price
0,$411
1,$259
2,$195
3,$259
4,$195
5,$195
6,$195
7,$168
8,$161
9,$157
10,$149
11,$150
12,$188
13,$241
14,$150
15,$168
16,$170
17,$143
18,$147
19,$147
20,$147
21,$150
22,$171
23,$143
24,$131
25,$147
26,$168
27,$167
28,$150
29,$147
30,$143
31,$143
32,$147
33,$168
34,$191
35,$181
36,$168
37,$143
38,$143
39,$143
40,$169
41,$189
42,$150
43,$143
44,$143
45,$143
46,$148
47,$143
48,$184
49,$153
50,$152
51,$143
52,$143
53,$143
54,$147
55,$189
56,$153
57,$191
58,$147
59,$143
60,$143
61,$143
62,$143
63,$171
64,$199
65,$143
66,$143
67,$143
68,$171
69,$191
70,$198
71,$147
72,$147
73,$147
74,$147
75,$171
76,$170
77,$154
78,$147
79,$143
80,$143
81,$143
82,$147
83,$168
84,$143
85,$147
86,$164
87,$143
88,$147
89,$143
90,$147
91,$143
92,$147
93,$143
94,$143
95,$147
96,$147
97,$143
98,$143
99,$147
100,$164
101,$147
102,$149
103,$171
104,$171
105,$171
