Days from today,Price
0,$324
1,$194
2,$194
3,$297
4,$194
5,$194
6,$194
7,$124
8,$104
9,$194
10,$144
11,$104
12,$104
13,$144
14,$204
15,$204
16,$204
17,$174
18,$104
19,$104
20,$124
21,$84
22,$84
23,$85
24,$84
25,$84
26,$84
27,$124
28,$124
29,$124
30,$124
31,$124
32,$104
33,$104
34,$124
35,$124
36,$124
37,$124
38,$124
39,$104
40,$140
41,$144
42,$221
43,$266
44,$268
45,$144
46,$140
47,$104
48,$124
49,$124
50,$124
51,$141
52,$124
53,$104
54,$104
55,$124
56,$124
57,$124
58,$124
59,$124
60,$104
61,$104
62,$144
63,$144
64,$124
65,$124
66,$124
67,$104
68,$104
69,$124
70,$174
71,$221
72,$174
73,$124
74,$104
75,$104
76,$124
77,$124
78,$124
79,$124
80,$124
81,$104
82,$104
83,$124
84,$124
85,$124
86,$141
87,$124
88,$104
89,$104
90,$124
91,$124
92,$124
93,$144
94,$144
95,$104
96,$104
97,$124
98,$124
99,$124
100,$140
101,$141
102,$104
103,$104
104,$124
105,$124
106,$124
