Days from today,Price
0,$253
1,$239
2,$239
3,$239
4,$239
5,$239
6,$239
7,$135
8,$120
9,$200
10,$200
11,$216
12,$201
13,$201
14,$117
15,$117
16,$117
17,$117
18,$117
19,$117
20,$117
21,$117
22,$117
23,$117
24,$117
25,$117
26,$117
27,$117
28,$117
29,$117
30,$117
31,$117
32,$117
33,$117
34,$117
35,$117
36,$117
37,$117
38,$117
39,$128
40,$117
41,$117
42,$117
43,$117
44,$117
45,$117
46,$117
47,$117
48,$117
49,$117
50,$117
51,$117
52,$139
53,$139
54,$139
55,$139
56,$139
57,$134
58,$134
59,$134
60,$141
61,$139
62,$139
63,$134
64,$134
65,$134
66,$139
67,$150
68,$142
69,$150
70,$139
71,$134
72,$137
73,$139
74,$139
75,$134
76,$139
77,$139
78,$134
79,$134
80,$137
81,$139
82,$134
83,$139
84,$134
85,$134
86,$134
87,$137
88,$139
89,$134
90,$139
91,$134
92,$134
93,$134
94,$139
95,$139
96,$134
97,$139
98,$134
99,$134
100,$134
101,$139
102,$139
103,$134
104,$139
105,$139
106,$137
107,$137
108,$141
109,$141
110,$139
