Days from today,Price
0,US$204
1,US$204
2,US$204
3,US$164
4,US$164
5,US$164
6,US$164
7,US$134
8,US$134
9,US$134
10,US$134
11,US$134
12,US$134
13,US$134
14,US$99
15,US$99
16,US$99
17,US$99
18,US$99
19,US$99
20,US$99
21,US$55
22,US$49
23,US$49
24,US$55
25,US$55
26,US$49
27,US$55
28,US$55
29,US$49
30,US$49
31,US$55
32,US$55
33,US$49
34,US$55
35,US$55
36,US$49
37,US$49
38,US$55
39,US$55
40,US$49
41,US$55
42,US$55
43,US$49
44,US$49
45,US$55
46,US$55
47,US$49
48,US$55
49,US$55
50,US$49
51,US$49
52,US$55
53,US$55
54,US$49
55,US$55
56,US$55
57,US$49
58,US$49
59,US$55
60,US$55
61,US$49
62,US$69
63,US$55
64,US$49
65,US$49
66,US$55
67,US$55
68,US$49
69,US$55
70,US$55
71,US$49
72,US$49
73,US$55
74,US$55
75,US$49
76,US$55
77,US$55
78,US$49
79,US$49
80,US$55
81,US$55
82,US$49
83,US$55
84,US$55
85,US$49
86,US$49
87,US$55
88,US$55
89,US$49
90,US$55
91,US$55
92,US$49
93,US$49
94,US$55
95,US$55
96,US$49
97,US$55
98,US$55
99,US$49
100,US$49
101,US$55
102,US$55
103,US$49
104,US$135
105,US$84
106,US$49
107,US$49
108,US$55
109,US$55
110,US$49
