Days from today,Price
0,US$284
1,US$279
2,US$253
3,US$163
4,US$249
5,US$163
6,US$249
7,US$164
8,US$159
9,US$173
10,US$173
11,US$169
12,US$164
13,US$103
14,US$103
15,US$109
16,US$103
17,US$103
18,US$103
19,US$103
20,US$149
21,US$103
22,US$103
23,US$103
24,US$103
25,US$123
26,US$103
27,US$150
28,US$113
29,US$103
30,US$103
31,US$113
32,US$131
33,US$103
34,US$150
35,US$129
36,US$103
37,US$103
38,US$103
39,US$113
40,US$103
41,US$150
42,US$103
43,US$103
44,US$103
45,US$103
46,US$113
47,US$103
48,US$143
49,US$103
50,US$103
51,US$103
52,US$103
53,US$113
54,US$103
55,US$150
56,US$113
57,US$103
58,US$103
59,US$103
60,US$103
61,US$103
62,US$168
63,US$103
64,US$103
65,US$103
66,US$103
67,US$103
68,US$103
69,US$149
70,US$131
71,US$103
72,US$113
73,US$131
74,US$113
75,US$103
76,US$129
77,US$129
78,US$103
79,US$123
80,US$123
81,US$113
82,US$103
83,US$129
84,US$129
85,US$103
86,US$103
87,US$129
88,US$123
89,US$103
90,US$129
91,US$113
92,US$103
93,US$113
94,US$149
95,US$131
96,US$149
97,US$129
98,US$129
99,US$153
100,US$178
101,US$133
102,US$203
103,US$212
104,US$299
105,US$224
106,US$160
107,US$121
108,US$121
109,US$113
110,US$103
