Days from today,Price
0,$268
1,$228
2,$225
3,$225
4,$225
5,$201
6,$201
7,$138
8,$138
9,$138
10,$170
11,$249
12,$244
13,$233
14,$169
15,$143
16,$143
17,$159
18,$139
19,$159
20,$159
21,$139
22,$140
23,$139
24,$159
25,$159
26,$159
27,$159
28,$159
29,$140
30,$140
31,$159
32,$159
33,$159
34,$159
35,$159
36,$140
37,$140
38,$159
39,$159
40,$159
41,$159
42,$159
43,$143
44,$143
45,$159
46,$159
47,$159
48,$159
49,$159
50,$143
51,$143
52,$159
53,$159
54,$159
55,$159
56,$159
57,$151
58,$139
59,$159
60,$159
61,$159
62,$159
63,$159
64,$151
65,$159
66,$170
67,$199
68,$190
69,$200
70,$167
71,$159
72,$179
73,$139
74,$189
75,$171
76,$189
77,$139
78,$139
79,$139
80,$139
81,$159
82,$159
83,$171
84,$139
85,$139
86,$139
87,$159
88,$159
89,$159
90,$159
91,$159
92,$159
93,$159
94,$159
95,$159
96,$159
97,$159
98,$159
99,$159
100,$159
101,$159
102,$159
103,$159
104,$159
105,$159
106,$159
107,$159
108,$199
109,$189
110,$159
