Days from today,Price
0,$444
1,$392
2,$171
3,$171
4,$171
5,$171
6,$212
7,$171
8,$171
9,$171
10,$212
11,$272
12,$241
13,$230
14,$210
15,$159
16,$143
17,$159
18,$143
19,$159
20,$159
21,$143
22,$159
23,$143
24,$159
25,$159
26,$159
27,$159
28,$143
29,$159
30,$143
31,$159
32,$159
33,$159
34,$159
35,$159
36,$159
37,$143
38,$159
39,$159
40,$159
41,$159
42,$159
43,$159
44,$143
45,$159
46,$159
47,$159
48,$159
49,$159
50,$159
51,$143
52,$159
53,$159
54,$180
55,$195
56,$163
57,$163
58,$143
59,$163
60,$167
61,$180
62,$193
63,$163
64,$163
65,$143
66,$171
67,$191
68,$206
69,$222
70,$180
71,$166
72,$143
73,$180
74,$180
75,$175
76,$180
77,$180
78,$166
79,$166
80,$163
81,$143
82,$166
83,$175
84,$143
85,$166
86,$143
87,$163
88,$168
89,$163
90,$175
91,$163
92,$163
93,$163
94,$168
95,$168
96,$167
97,$171
98,$171
99,$168
100,$171
101,$167
102,$175
103,$171
104,$175
105,$171
106,$171
107,$171
108,$221
109,$233
110,$195
