Days from today,Price
0,$321
1,$308
2,$296
3,$238
4,$315
5,$226
6,$238
7,$159
8,$154
9,$154
10,$160
11,$160
12,$154
13,$191
14,$170
15,$149
16,$149
17,$170
18,$159
19,$208
20,$229
21,$160
22,$145
23,$145
24,$149
25,$159
26,$149
27,$170
28,$149
29,$145
30,$145
31,$149
32,$159
33,$160
34,$204
35,$149
36,$145
37,$145
38,$149
39,$159
40,$159
41,$180
42,$159
43,$145
44,$145
45,$163
46,$159
47,$169
48,$252
49,$159
50,$145
51,$149
52,$159
53,$159
54,$169
55,$230
56,$159
57,$149
58,$154
59,$154
60,$154
61,$160
62,$191
63,$159
64,$154
65,$159
66,$159
67,$170
68,$189
69,$200
70,$169
71,$154
72,$160
73,$170
74,$199
75,$208
76,$204
77,$210
78,$161
79,$159
80,$154
81,$159
82,$170
83,$180
84,$170
85,$154
86,$154
87,$154
88,$154
89,$159
90,$180
91,$170
92,$154
93,$159
94,$159
95,$159
96,$159
97,$170
98,$170
99,$154
100,$159
101,$159
102,$159
103,$159
104,$170
105,$170
106,$160
107,$161
108,$170
109,$159
110,$159
