Days from today,Price
0,$136
1,$136
2,$190
3,$103
4,$103
5,$103
6,$103
7,$65
8,$48
9,$165
10,$145
11,$81
12,$48
13,$59
14,$65
15,$81
16,$136
17,$103
18,$48
19,$48
20,$59
21,$65
22,$76
23,$125
24,$81
25,$48
26,$48
27,$59
28,$65
29,$48
30,$142
31,$81
32,$48
33,$48
34,$65
35,$65
36,$65
37,$124
38,$81
39,$65
40,$65
41,$65
42,$65
43,$81
44,$124
45,$103
46,$65
47,$65
48,$65
49,$65
50,$81
51,$142
52,$81
53,$65
54,$65
55,$65
56,$65
57,$65
58,$142
59,$81
60,$65
61,$65
62,$65
63,$65
64,$65
65,$124
66,$81
67,$65
68,$65
69,$65
70,$65
71,$81
72,$177
73,$103
74,$65
75,$65
76,$65
77,$65
78,$65
79,$154
80,$81
81,$65
82,$65
83,$65
84,$65
85,$65
86,$136
87,$81
88,$65
89,$65
90,$65
91,$65
92,$65
93,$136
94,$81
95,$65
96,$65
97,$65
98,$65
99,$65
100,$136
101,$81
102,$65
103,$65
104,$65
105,$65
106,$65
