Days from today,Price
0,$131
1,$189
2,$135
3,$131
4,$131
5,$134
6,$134
7,$59
8,$59
9,$59
10,$54
11,$54
12,$54
13,$58
14,$49
15,$54
16,$58
17,$49
18,$49
19,$49
20,$54
21,$58
22,$58
23,$49
24,$49
25,$49
26,$49
27,$54
28,$49
29,$54
30,$49
31,$49
32,$49
33,$49
34,$59
35,$49
36,$59
37,$49
38,$49
39,$49
40,$49
41,$59
42,$49
43,$59
44,$49
45,$49
46,$49
47,$69
48,$69
49,$69
50,$59
51,$69
52,$49
53,$49
54,$69
55,$69
56,$69
57,$69
58,$69
59,$49
60,$58
61,$69
62,$69
63,$69
64,$69
65,$69
66,$49
67,$69
68,$69
69,$69
70,$69
71,$59
72,$69
73,$49
74,$69
75,$69
76,$69
77,$69
78,$59
79,$69
80,$49
81,$69
82,$69
83,$69
84,$69
85,$69
86,$69
87,$49
88,$49
89,$49
90,$69
91,$49
92,$59
93,$49
94,$49
95,$49
96,$49
97,$69
98,$49
99,$59
100,$49
101,$49
102,$49
103,$49
104,$69
105,$49
