Days from today,Price
0,US$159
1,US$159
2,US$159
3,US$99
4,US$99
5,US$99
6,US$99
7,US$74
8,US$95
9,US$84
10,US$70
11,US$74
12,US$84
13,US$84
14,US$49
15,US$59
16,US$69
17,US$59
18,US$49
19,US$59
20,US$69
21,US$49
22,US$59
23,US$59
24,US$49
25,US$49
26,US$59
27,US$69
28,US$59
29,US$75
30,US$59
31,US$49
32,US$49
33,US$59
34,US$69
35,US$49
36,US$59
37,US$59
38,US$49
39,US$49
40,US$59
41,US$59
42,US$49
43,US$59
44,US$59
45,US$49
46,US$49
47,US$59
48,US$59
49,US$49
50,US$59
51,US$59
52,US$49
53,US$49
54,US$59
55,US$69
56,US$49
57,US$69
58,US$69
59,US$49
60,US$49
61,US$59
62,US$69
63,US$49
64,US$59
65,US$59
66,US$49
67,US$49
68,US$59
69,US$59
70,US$49
71,US$69
72,US$59
73,US$49
74,US$49
75,US$59
76,US$59
77,US$49
78,US$59
79,US$59
80,US$49
81,US$49
82,US$59
83,US$69
84,US$49
85,US$59
86,US$59
87,US$49
88,US$49
89,US$59
90,US$59
91,US$49
92,US$59
93,US$59
94,US$49
95,US$49
96,US$59
97,US$59
98,US$49
99,US$59
100,US$59
101,US$69
102,US$73
103,US$73
104,US$69
105,US$73
