Days from today,Price
0,US$253
1,US$253
2,US$253
3,US$188
4,US$196
5,US$188
6,US$188
7,US$166
8,US$144
9,US$144
10,US$151
11,US$171
12,US$144
13,US$144
14,US$168
15,US$127
16,US$128
17,US$108
18,US$108
19,US$108
20,US$108
21,US$122
22,US$103
23,US$103
24,US$108
25,US$108
26,US$108
27,US$108
28,US$122
29,US$103
30,US$103
31,US$108
32,US$108
33,US$108
34,US$108
35,US$108
36,US$103
37,US$103
38,US$108
39,US$108
40,US$103
41,US$108
42,US$108
43,US$103
44,US$103
45,US$108
46,US$108
47,US$108
48,US$108
49,US$108
50,US$103
51,US$103
52,US$108
53,US$108
54,US$108
55,US$108
56,US$122
57,US$103
58,US$103
59,US$108
60,US$108
61,US$108
62,US$108
63,US$108
64,US$103
65,US$103
66,US$108
67,US$108
68,US$108
69,US$108
70,US$108
71,US$103
72,US$103
73,US$108
74,US$108
75,US$108
76,US$108
77,US$108
78,US$103
79,US$103
80,US$108
81,US$108
82,US$108
83,US$108
84,US$108
85,US$103
86,US$103
87,US$108
88,US$108
89,US$108
90,US$108
91,US$108
92,US$108
93,US$103
94,US$122
95,US$148
96,US$144
97,US$148
98,US$131
99,US$144
100,US$148
101,US$131
102,US$131
103,US$148
104,US$148
105,US$148
106,US$116
107,US$103
108,US$108
109,US$108
110,US$103
